Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,10.81826,10.887166,10.671835,10.740741,4370817,GFI
2013-01-03,10.671835,10.81826,10.327304,10.361757,5623304,GFI
2013-01-04,10.344531,10.525409,10.249785,10.516796,2907492,GFI
2013-01-07,10.404823,10.559862,10.344531,10.37037,4885720,GFI
2013-01-08,10.335917,10.378984,10.223945,10.335917,3984784,GFI
2013-01-09,10.258398,10.344531,10.232558,10.284238,3227580,GFI
2013-01-10,10.37037,10.44789,10.335917,10.404823,3022896,GFI
2013-01-11,10.361757,10.516796,10.310078,10.482343,2670300,GFI
2013-01-14,10.516796,10.568475,10.413437,10.456503,2857221,GFI
2013-01-15,10.499569,10.577089,10.430663,10.499569,3577157,GFI
2013-01-16,10.516796,10.525409,10.378984,10.490956,2490926,GFI
2013-01-17,10.44789,10.551249,10.310078,10.44789,2993871,GFI
2013-01-18,10.525409,10.645995,10.42205,10.628768,2572892,GFI
2013-01-22,10.577089,10.740741,10.508183,10.654608,5510222,GFI
2013-01-23,10.534022,10.594315,10.353144,10.439276,5474579,GFI
2013-01-24,10.465116,10.525409,10.180879,10.223945,4544851,GFI
2013-01-25,10.310078,10.327304,10.034453,10.034453,6070521,GFI
2013-01-28,10.189492,10.189492,9.94832,9.97416,4780185,GFI
2013-01-29,9.982773,10.086133,9.931094,10.017227,3880875,GFI
2013-01-30,10.103359,10.198105,10.02584,10.043066,5214980,GFI
2013-01-31,10.02584,10.060293,9.94832,10.008613,4425616,GFI
2013-02-01,10.275624,10.439276,10.137812,10.430663,4743614,GFI
2013-02-04,10.301464,10.568475,10.284238,10.516796,3903282,GFI
2013-02-05,10.413437,10.499569,10.301464,10.344531,3046696,GFI
2013-02-06,10.223945,10.267011,10.137812,10.206718,4010326,GFI
2013-02-07,10.146425,10.301464,10.086133,10.232558,4187263,GFI
2013-02-08,10.301464,10.310078,10.155039,10.249785,2697584,GFI
2013-02-11,10.163652,10.206718,10.034453,10.111972,2788258,GFI
2013-02-12,10.223945,10.292851,10.086133,10.275624,3987338,GFI
2013-02-13,10.387597,10.499569,10.103359,10.120586,3595269,GFI
2013-02-14,10.292851,10.404823,10.180879,10.353144,3991750,GFI
2013-02-15,9.956934,9.991387,9.534884,9.612403,9118958,GFI
2013-02-19,9.362618,9.422911,9.259259,9.310939,4930883,GFI
2013-02-20,9.164513,9.18174,8.845823,8.880276,6638830,GFI
2013-02-21,8.63,8.93,8.56,8.77,9144800,GFI
2013-02-22,8.78,8.87,8.6,8.72,3004600,GFI
2013-02-25,8.87,8.9,8.68,8.78,4459100,GFI
2013-02-26,8.86,9.03,8.75,8.9,5099600,GFI
2013-02-27,8.67,8.72,8.55,8.61,4536900,GFI
2013-02-28,8.59,8.59,8.27,8.29,5353000,GFI
2013-03-01,8.21,8.37,8.13,8.19,8737800,GFI
2013-03-04,8.2,8.23,8.01,8.05,5624700,GFI
2013-03-05,8.16,8.2,8.02,8.08,5167300,GFI
2013-03-06,7.89,8.15,7.79,8.13,9906700,GFI
2013-03-07,8.17,8.3,7.97,8.0,6533000,GFI
2013-03-08,7.96,8.17,7.84,8.0,5422900,GFI
2013-03-11,7.97,8.02,7.89,7.92,3750900,GFI
2013-03-12,7.97,8.17,7.91,7.99,6457100,GFI
2013-03-13,8.03,8.07,7.84,7.9,6040600,GFI
2013-03-14,7.86,8.01,7.82,7.91,6905800,GFI
2013-03-15,7.91,8.08,7.88,8.06,20926400,GFI
2013-03-18,8.22,8.27,8.02,8.11,4934900,GFI
2013-03-19,7.95,8.16,7.92,8.04,4915700,GFI
2013-03-20,8.07,8.1,8.0,8.04,2448100,GFI
2013-03-21,8.06,8.22,8.05,8.2,3227700,GFI
2013-03-22,8.02,8.12,7.87,7.93,4214700,GFI
2013-03-25,7.78,7.85,7.65,7.78,4348200,GFI
2013-03-26,7.76,7.81,7.64,7.75,3661500,GFI
2013-03-27,7.65,7.8,7.6,7.78,4891600,GFI
2013-03-28,7.72,7.8,7.67,7.75,2427000,GFI
2013-04-01,7.74,7.75,7.54,7.7,3143900,GFI
2013-04-02,7.59,7.66,7.3,7.31,4187000,GFI
2013-04-03,7.13,7.28,6.83,6.9,8721600,GFI
2013-04-04,6.84,7.27,6.83,7.2,5600900,GFI
2013-04-05,7.17,7.32,7.09,7.16,7293700,GFI
2013-04-08,7.17,7.26,7.11,7.19,4984300,GFI
