Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,6.56,6.58,6.39,6.55,1597500,GPK
2013-01-03,6.55,6.71,6.47,6.6,872300,GPK
2013-01-04,6.64,6.82,6.62,6.79,735500,GPK
2013-01-07,6.73,6.76,6.6,6.66,881400,GPK
2013-01-08,6.69,6.78,6.66,6.7,795800,GPK
2013-01-09,6.73,6.82,6.66,6.68,632200,GPK
2013-01-10,6.74,6.74,6.62,6.7,308900,GPK
2013-01-11,6.71,6.77,6.62,6.72,834800,GPK
2013-01-14,6.69,6.74,6.66,6.7,735500,GPK
2013-01-15,6.65,6.78,6.62,6.76,542700,GPK
2013-01-16,6.7,6.79,6.67,6.76,477100,GPK
2013-01-17,6.81,6.81,6.69,6.72,1212500,GPK
2013-01-18,6.76,6.85,6.73,6.83,1658400,GPK
2013-01-22,6.84,6.85,6.77,6.79,1285500,GPK
2013-01-23,6.8,6.98,6.79,6.92,2207700,GPK
2013-01-24,6.95,6.98,6.79,6.82,1022600,GPK
2013-01-25,6.86,7.05,6.85,7.01,1468700,GPK
2013-01-28,7.02,7.05,6.88,6.93,1390000,GPK
2013-01-29,6.93,6.95,6.82,6.91,1285100,GPK
2013-01-30,6.93,7.01,6.91,6.95,1389500,GPK
2013-01-31,6.96,7.02,6.89,7.01,3612500,GPK
2013-02-01,7.05,7.2,7.03,7.1,2141500,GPK
2013-02-04,7.09,7.12,7.0,7.05,1066300,GPK
2013-02-05,7.1,7.17,7.03,7.1,1345500,GPK
2013-02-06,7.08,7.17,7.06,7.09,1569700,GPK
2013-02-07,7.11,7.23,7.0,7.15,2133000,GPK
2013-02-08,7.2,7.29,7.15,7.24,915800,GPK
2013-02-11,7.65,7.88,7.3,7.38,2436400,GPK
2013-02-12,7.4,7.43,7.32,7.34,1079600,GPK
2013-02-13,7.37,7.5,7.36,7.48,1557200,GPK
2013-02-14,7.44,7.51,7.43,7.49,827200,GPK
2013-02-15,7.48,7.61,7.47,7.55,935900,GPK
2013-02-19,7.55,7.56,7.4,7.42,1965300,GPK
2013-02-20,7.42,7.5,7.15,7.16,1797800,GPK
2013-02-21,7.14,7.28,7.07,7.17,1403900,GPK
2013-02-22,7.24,7.35,7.18,7.35,1460100,GPK
2013-02-25,7.36,7.37,7.09,7.09,1514600,GPK
2013-02-26,7.14,7.26,7.1,7.24,1354100,GPK
2013-02-27,7.26,7.4,7.26,7.38,1038100,GPK
2013-02-28,7.4,7.48,7.34,7.42,1351900,GPK
2013-03-01,7.34,7.42,7.24,7.42,1262200,GPK
2013-03-04,7.4,7.52,7.38,7.49,1151000,GPK
2013-03-05,7.47,7.57,7.42,7.51,1326500,GPK
2013-03-06,7.56,7.56,7.42,7.45,1095000,GPK
2013-03-07,7.47,7.52,7.33,7.5,1730500,GPK
2013-03-08,7.57,7.59,7.49,7.57,765400,GPK
2013-03-11,7.56,7.6,7.53,7.54,758200,GPK
2013-03-12,7.54,7.59,7.49,7.52,620800,GPK
2013-03-13,7.51,7.57,7.45,7.54,697100,GPK
2013-03-14,7.58,7.6,7.5,7.6,1158600,GPK
2013-03-15,7.58,7.6,7.48,7.59,1579400,GPK
2013-03-18,7.46,7.52,7.4,7.5,987400,GPK
2013-03-19,7.39,7.5,7.34,7.46,1313800,GPK
2013-03-20,7.49,7.56,7.4,7.44,1243500,GPK
2013-03-21,7.37,7.39,7.2,7.28,1806700,GPK
2013-03-22,7.07,7.22,7.05,7.17,16636000,GPK
2013-03-25,7.16,7.29,7.11,7.25,3272200,GPK
2013-03-26,7.25,7.44,7.22,7.43,3938100,GPK
2013-03-27,7.43,7.51,7.28,7.4,2737400,GPK
2013-03-28,7.43,7.49,7.39,7.49,3357600,GPK
2013-04-01,7.49,7.49,7.37,7.41,3281700,GPK
2013-04-02,7.41,7.5,7.4,7.42,3123700,GPK
