Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,39.240002,39.299999,38.630001,39.0,897600,PKG
2013-01-03,38.91,39.16,38.73,38.91,971900,PKG
2013-01-04,38.889999,38.98,38.66,38.880001,897700,PKG
2013-01-07,38.630001,39.080002,38.619999,38.970001,697600,PKG
2013-01-08,38.889999,39.389999,38.82,38.82,879700,PKG
2013-01-09,38.91,39.080002,38.790001,38.869999,827200,PKG
2013-01-10,39.130001,39.130001,38.450001,38.490002,839000,PKG
2013-01-11,38.52,38.860001,38.049999,38.860001,695700,PKG
2013-01-14,38.799999,39.34,38.790001,39.169998,388500,PKG
2013-01-15,39.240002,39.639999,39.0,39.200001,928200,PKG
2013-01-16,39.209999,39.209999,38.779999,38.98,583000,PKG
2013-01-17,39.169998,40.240002,39.049999,39.939999,1143600,PKG
2013-01-18,40.009998,40.049999,39.59,40.02,765500,PKG
2013-01-22,38.77,39.25,37.860001,38.810001,3735400,PKG
2013-01-23,38.889999,39.75,38.82,39.290001,1267000,PKG
2013-01-24,39.299999,39.849998,39.119999,39.82,973200,PKG
2013-01-25,39.98,39.98,39.630001,39.82,637000,PKG
2013-01-28,39.810001,39.82,39.209999,39.459999,589600,PKG
2013-01-29,39.349998,39.52,39.139999,39.34,860700,PKG
2013-01-30,39.369999,39.439999,38.580002,38.599998,1117100,PKG
2013-01-31,38.529999,38.830002,38.369999,38.43,1021600,PKG
2013-02-01,38.450001,39.150002,38.360001,39.130001,1448100,PKG
2013-02-04,39.07,39.349998,38.900002,39.189999,657400,PKG
2013-02-05,39.439999,39.75,39.200001,39.360001,636800,PKG
2013-02-06,39.310001,39.68,39.09,39.68,544400,PKG
2013-02-07,39.689999,39.889999,39.290001,39.790001,874100,PKG
2013-02-08,39.779999,40.34,39.77,40.150002,721600,PKG
2013-02-11,40.299999,40.369999,39.68,40.220001,519200,PKG
2013-02-12,40.220001,40.369999,39.869999,40.080002,554600,PKG
2013-02-13,40.23,40.43,39.970001,40.279999,386000,PKG
2013-02-14,40.110001,40.490002,40.099998,40.360001,347600,PKG
2013-02-15,40.48,40.700001,40.360001,40.639999,370600,PKG
2013-02-19,40.759998,40.970001,40.130001,40.25,744200,PKG
2013-02-20,40.290001,40.43,39.23,39.240002,883000,PKG
2013-02-21,39.220001,41.330002,38.91,40.869999,2565300,PKG
2013-02-22,40.900002,42.279999,40.900002,41.799999,1347200,PKG
2013-02-25,42.299999,42.459999,41.099998,41.099998,1080900,PKG
2013-02-26,41.529999,41.709999,41.25,41.66,1271800,PKG
2013-02-27,41.290001,42.259998,41.290001,41.790001,1375700,PKG
2013-02-28,41.84,42.330002,41.669998,41.779999,919300,PKG
2013-03-01,41.610001,41.990002,41.119999,41.619999,1336800,PKG
2013-03-04,41.650002,42.459999,41.57,42.439999,935200,PKG
2013-03-05,42.650002,43.029999,42.560001,42.73,618500,PKG
2013-03-06,42.959999,43.419998,42.860001,42.91,810400,PKG
2013-03-07,42.900002,43.380001,42.889999,43.32,553300,PKG
2013-03-08,43.490002,43.860001,43.240002,43.450001,582900,PKG
2013-03-11,43.459999,43.68,43.34,43.540001,480100,PKG
2013-03-12,43.560001,43.560001,43.029999,43.130001,446500,PKG
2013-03-13,42.970001,42.970001,42.23,42.529999,1106300,PKG
2013-03-14,42.830002,43.040001,42.57,42.91,680600,PKG
2013-03-15,42.959999,43.18,42.669998,43.139999,860700,PKG
2013-03-18,42.200001,43.279999,42.200001,43.0,664900,PKG
2013-03-19,42.959999,43.25,42.77,43.02,918900,PKG
2013-03-20,43.25,43.560001,42.93,43.259998,741800,PKG
2013-03-21,43.18,43.450001,42.779999,42.889999,604100,PKG
2013-03-22,42.950001,43.32,42.630001,43.080002,898300,PKG
2013-03-25,42.599998,43.389999,42.43,43.23,921400,PKG
2013-03-26,43.310001,44.080002,43.310001,44.049999,813100,PKG
2013-03-27,43.869999,44.509998,43.599998,44.439999,715000,PKG
2013-03-28,44.509998,44.93,44.299999,44.869999,569000,PKG
2013-04-01,44.82,44.970001,44.310001,44.540001,645000,PKG
2013-04-02,44.73,45.259998,44.549999,45.0,865500,PKG
2013-04-03,44.970001,45.139999,44.150002,44.509998,1393000,PKG
2013-04-04,44.5,44.68,43.959999,44.080002,1192200,PKG
2013-04-05,43.669998,44.330002,42.779999,44.25,1432000,PKG
