Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,3.6,3.6,3.6,3.6,17400,SUZ
2013-01-03,3.553333,3.733333,3.553333,3.716667,1500,SUZ
2013-01-04,3.716667,3.716667,3.716667,3.716667,0,SUZ
2013-01-07,3.543333,3.543333,3.543333,3.543333,300,SUZ
2013-01-08,3.543333,3.543333,3.543333,3.543333,0,SUZ
2013-01-09,3.733333,3.733333,3.6,3.6,39000,SUZ
2013-01-10,3.633333,3.633333,3.633333,3.633333,8400,SUZ
2013-01-11,3.633333,3.633333,3.633333,3.633333,0,SUZ
2013-01-14,3.633333,3.633333,3.633333,3.633333,0,SUZ
2013-01-15,3.633333,3.633333,3.633333,3.633333,0,SUZ
2013-01-16,3.74,3.793333,3.716667,3.793333,142500,SUZ
2013-01-17,3.766667,3.836667,3.766667,3.818667,19800,SUZ
2013-01-18,3.79,3.79,3.773333,3.78,149700,SUZ
2013-01-22,3.856667,3.856667,3.856667,3.856667,300,SUZ
2013-01-23,3.883333,3.916667,3.883333,3.916667,600,SUZ
2013-01-24,3.916667,3.916667,3.916667,3.916667,0,SUZ
2013-01-25,3.916667,3.916667,3.916667,3.916667,0,SUZ
2013-01-28,3.833333,3.833333,3.733333,3.803333,18300,SUZ
2013-01-29,3.7,3.7,3.7,3.7,300,SUZ
2013-01-30,3.706667,3.706667,3.706667,3.706667,300,SUZ
2013-01-31,3.626667,3.626667,3.626667,3.626667,900,SUZ
2013-02-01,3.733333,3.75,3.733333,3.733333,6600,SUZ
2013-02-04,3.733333,3.733333,3.733333,3.733333,0,SUZ
2013-02-05,3.733333,3.733333,3.733333,3.733333,0,SUZ
2013-02-06,3.733333,3.733333,3.733333,3.733333,0,SUZ
2013-02-07,3.733333,3.733333,3.733333,3.733333,0,SUZ
2013-02-08,3.516667,3.516667,3.383333,3.383333,600,SUZ
2013-02-11,3.383333,3.383333,3.383333,3.383333,0,SUZ
2013-02-12,3.383333,3.383333,3.383333,3.383333,0,SUZ
2013-02-13,3.383333,3.383333,3.383333,3.383333,0,SUZ
2013-02-14,3.316667,3.316667,3.316667,3.316667,300,SUZ
2013-02-15,3.333333,3.403333,3.333333,3.403333,3000,SUZ
2013-02-19,3.4,3.4,3.24,3.24,1200,SUZ
2013-02-20,3.23,3.23,3.23,3.23,300,SUZ
2013-02-21,3.156667,3.156667,3.156667,3.156667,300,SUZ
2013-02-22,3.316667,3.316667,3.316667,3.316667,6600,SUZ
2013-02-25,3.316667,3.316667,3.316667,3.316667,0,SUZ
2013-02-26,3.39,3.393333,3.25,3.3,42000,SUZ
2013-02-27,3.3,3.3,3.3,3.3,0,SUZ
2013-02-28,3.433333,3.433333,3.433333,3.433333,300,SUZ
2013-03-01,3.35,3.383333,3.346667,3.383333,269700,SUZ
2013-03-04,3.383333,3.383333,3.383333,3.383333,0,SUZ
2013-03-05,3.383333,3.383333,3.383333,3.383333,0,SUZ
2013-03-06,3.383333,3.383333,3.383333,3.383333,0,SUZ
2013-03-07,3.383333,3.383333,3.383333,3.383333,0,SUZ
2013-03-08,3.323333,3.323333,3.323333,3.323333,1500,SUZ
2013-03-11,3.323333,3.323333,3.323333,3.323333,0,SUZ
2013-03-12,3.508,3.508,3.453333,3.453333,1500,SUZ
2013-03-13,3.553333,3.593333,3.553333,3.593333,600,SUZ
2013-03-14,3.593333,3.593333,3.593333,3.593333,0,SUZ
2013-03-15,3.593333,3.593333,3.593333,3.593333,0,SUZ
