Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,23.23,23.610001,23.129999,23.209999,207000,AIN
2013-01-03,23.25,23.92,23.15,23.75,180400,AIN
2013-01-04,23.85,23.950001,23.34,23.379999,123100,AIN
2013-01-07,23.309999,23.790001,23.25,23.66,101600,AIN
2013-01-08,23.66,23.719999,23.48,23.67,57900,AIN
2013-01-09,23.799999,24.120001,23.799999,24.040001,89900,AIN
2013-01-10,24.18,24.18,23.76,24.02,102800,AIN
2013-01-11,24.08,24.129999,23.84,24.059999,67500,AIN
2013-01-14,24.059999,24.219999,23.879999,24.040001,101100,AIN
2013-01-15,23.9,24.25,23.82,24.17,66600,AIN
2013-01-16,24.16,24.190001,23.860001,24.030001,89800,AIN
2013-01-17,24.200001,24.389999,24.059999,24.139999,150300,AIN
2013-01-18,24.09,24.23,24.040001,24.16,133400,AIN
2013-01-22,24.129999,24.26,24.030001,24.209999,101400,AIN
2013-01-23,24.120001,24.200001,24.040001,24.120001,79200,AIN
2013-01-24,24.18,24.83,24.18,24.6,82400,AIN
2013-01-25,24.73,24.73,24.299999,24.469999,79300,AIN
2013-01-28,24.5,24.700001,24.219999,24.450001,132900,AIN
2013-01-29,24.459999,25.139999,24.43,25.07,177100,AIN
2013-01-30,25.059999,25.15,24.860001,25.07,173100,AIN
2013-01-31,25.049999,25.280001,24.75,25.059999,125600,AIN
2013-02-01,25.26,25.33,25.09,25.26,150200,AIN
2013-02-04,25.040001,25.15,24.709999,24.780001,97600,AIN
2013-02-05,24.950001,25.040001,24.799999,25.0,108700,AIN
2013-02-06,24.879999,25.209999,24.879999,25.139999,114900,AIN
2013-02-07,25.190001,26.02,24.809999,25.959999,282900,AIN
2013-02-08,25.92,26.59,25.92,26.23,114200,AIN
2013-02-11,26.280001,26.73,26.24,26.73,211500,AIN
2013-02-12,26.77,27.09,26.77,26.99,153700,AIN
2013-02-13,26.99,27.32,26.91,27.16,120300,AIN
2013-02-14,27.030001,27.620001,27.030001,27.51,127000,AIN
2013-02-15,27.700001,28.040001,27.530001,27.9,131800,AIN
2013-02-19,28.040001,28.870001,27.9,28.76,359700,AIN
2013-02-20,28.860001,29.15,27.99,27.99,252200,AIN
2013-02-21,27.950001,28.51,27.799999,28.360001,105000,AIN
2013-02-22,28.559999,28.790001,28.459999,28.639999,83400,AIN
2013-02-25,28.73,28.809999,27.719999,27.74,98200,AIN
2013-02-26,27.950001,28.15,27.459999,27.870001,162100,AIN
2013-02-27,27.92,28.66,27.92,28.41,111600,AIN
2013-02-28,28.41,28.74,28.16,28.559999,138100,AIN
2013-03-01,28.33,28.75,28.17,28.73,107200,AIN
2013-03-04,28.709999,28.85,28.18,28.530001,143400,AIN
2013-03-05,28.629999,29.120001,28.610001,28.85,241200,AIN
2013-03-06,29.02,29.15,28.68,29.059999,109500,AIN
2013-03-07,29.049999,29.58,28.99,29.530001,106900,AIN
2013-03-08,29.76,30.1,29.33,29.43,150200,AIN
2013-03-11,29.41,29.620001,29.15,29.469999,121500,AIN
2013-03-12,29.469999,29.65,29.08,29.280001,103200,AIN
2013-03-13,29.370001,29.65,29.17,29.290001,111400,AIN
2013-03-14,29.33,29.950001,29.33,29.870001,130400,AIN
2013-03-15,29.700001,29.93,29.51,29.57,200900,AIN
2013-03-18,29.33,29.610001,29.309999,29.42,155500,AIN
2013-03-19,29.42,29.469999,28.860001,29.200001,110800,AIN
2013-03-20,29.309999,29.620001,29.280001,29.620001,91400,AIN
2013-03-21,29.370001,29.549999,28.969999,29.040001,53200,AIN
2013-03-22,29.08,29.33,29.02,29.09,50100,AIN
2013-03-25,29.1,29.41,28.73,28.870001,88200,AIN
2013-03-26,28.940001,29.1,28.559999,29.02,73800,AIN
2013-03-27,28.74,28.950001,28.309999,28.879999,70400,AIN
2013-03-28,28.950001,29.07,28.58,28.9,59100,AIN
2013-04-01,28.799999,28.959999,28.0,28.299999,122300,AIN
2013-04-02,28.51,28.91,28.42,28.530001,93500,AIN
2013-04-03,28.42,28.559999,27.799999,27.83,104200,AIN
2013-04-04,28.639999,28.950001,28.459999,28.790001,148200,AIN
2013-04-05,28.309999,28.65,28.15,28.459999,86500,AIN
2013-04-08,28.700001,29.440001,28.540001,29.42,174000,AIN
2013-04-09,29.52,29.52,28.809999,28.860001,136600,AIN
2013-04-10,28.9,29.48,28.9,29.16,134300,AIN
2013-04-11,29.23,30.0,29.23,29.92,75200,AIN
2013-04-12,29.85,29.85,28.950001,29.17,115300,AIN
2013-04-15,28.91,29.040001,27.77,27.809999,104100,AIN
2013-04-16,28.1,28.42,27.799999,28.32,126000,AIN
2013-04-17,28.049999,28.120001,27.42,27.84,92000,AIN
2013-04-18,27.959999,28.190001,27.440001,27.5,94500,AIN
2013-04-19,27.559999,28.4,27.370001,28.09,87500,AIN
