Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,12.14,12.21,11.72,11.81,6563200,BBY
2013-01-03,11.87,12.21,11.82,11.99,6104600,BBY
2013-01-04,11.96,12.11,11.89,12.11,6073000,BBY
2013-01-07,12.06,12.22,12.02,12.21,5150000,BBY
2013-01-08,12.15,12.2,11.75,11.82,6884600,BBY
2013-01-09,11.88,11.94,11.38,11.59,8371900,BBY
2013-01-10,11.78,12.32,11.7,12.21,9775300,BBY
2013-01-11,13.1,14.38,13.01,14.21,45788000,BBY
2013-01-14,14.0,14.67,13.92,14.48,19677200,BBY
2013-01-15,14.38,14.5,14.2,14.42,11247000,BBY
2013-01-16,14.32,14.76,14.32,14.67,6923300,BBY
2013-01-17,14.76,14.96,14.54,14.62,8322800,BBY
2013-01-18,14.71,14.93,14.57,14.88,6261700,BBY
2013-01-22,14.88,15.77,14.75,15.39,13799100,BBY
2013-01-23,15.29,15.73,15.13,15.4,12233300,BBY
2013-01-24,15.27,15.51,15.26,15.34,7004300,BBY
2013-01-25,15.44,15.82,15.35,15.78,9185700,BBY
2013-01-28,16.18,16.360001,15.93,16.059999,10581100,BBY
2013-01-29,16.059999,16.200001,15.87,15.99,5389900,BBY
2013-01-30,16.01,16.139999,15.84,15.9,6743100,BBY
2013-01-31,15.75,16.33,15.62,16.26,6401400,BBY
2013-02-01,16.379999,16.41,15.96,16.110001,4504100,BBY
2013-02-04,16.040001,16.139999,15.73,15.76,6202600,BBY
2013-02-05,15.96,16.17,15.45,15.93,5346100,BBY
2013-02-06,15.79,15.91,15.62,15.91,4596700,BBY
2013-02-07,15.92,15.98,15.44,15.58,3929800,BBY
2013-02-08,15.61,15.65,15.12,15.29,4773500,BBY
2013-02-11,15.24,15.8,15.21,15.71,3859000,BBY
2013-02-12,15.62,15.7,15.28,15.43,4486700,BBY
2013-02-13,15.46,16.200001,13.83,15.12,17336000,BBY
2013-02-14,15.05,16.360001,15.0,15.71,14401800,BBY
2013-02-15,15.93,16.889999,15.92,16.870001,18403300,BBY
2013-02-19,17.530001,17.76,17.200001,17.33,16389900,BBY
2013-02-20,17.66,17.700001,16.889999,17.25,7948000,BBY
2013-02-21,17.17,17.5,16.9,17.41,8612700,BBY
2013-02-22,17.360001,17.41,16.959999,17.02,5182000,BBY
2013-02-25,17.059999,17.34,16.84,17.0,8510600,BBY
2013-02-26,17.0,17.16,16.200001,16.459999,10842200,BBY
2013-02-27,16.299999,16.639999,16.25,16.6,4565300,BBY
2013-02-28,16.950001,16.950001,15.75,16.41,12811700,BBY
2013-03-01,17.379999,17.459999,16.120001,17.16,32701900,BBY
2013-03-04,17.08,18.129999,16.98,17.77,14175700,BBY
2013-03-05,18.01,18.450001,17.690001,18.4,12122100,BBY
2013-03-06,19.290001,19.5,17.790001,18.75,26687200,BBY
2013-03-07,18.84,19.33,18.559999,19.26,10549500,BBY
2013-03-08,19.43,20.610001,19.209999,20.17,22784100,BBY
2013-03-11,20.280001,20.450001,19.99,20.08,20020200,BBY
2013-03-12,20.26,20.6,20.059999,20.290001,15193900,BBY
2013-03-13,20.34,21.26,20.299999,20.959999,11650100,BBY
2013-03-14,20.99,21.549999,20.92,21.5,9247000,BBY
2013-03-15,21.610001,21.799999,21.139999,21.450001,12084900,BBY
2013-03-18,21.219999,22.25,21.219999,22.129999,14993500,BBY
2013-03-19,21.9,22.35,21.76,22.25,11293400,BBY
2013-03-20,22.57,23.459999,22.52,23.07,16460900,BBY
2013-03-21,22.940001,23.35,22.360001,22.459999,15834400,BBY
2013-03-22,22.58,22.98,21.83,22.780001,15684100,BBY
2013-03-25,22.9,23.459999,22.620001,23.200001,9797900,BBY
2013-03-26,23.1,23.24,22.27,22.700001,9421100,BBY
2013-03-27,22.299999,22.73,21.77,22.15,10647800,BBY
2013-03-28,22.18,22.530001,22.0,22.15,8861600,BBY
2013-04-01,22.129999,22.459999,21.639999,21.68,6090200,BBY
2013-04-02,21.75,22.200001,21.57,21.639999,7679200,BBY
2013-04-03,21.73,22.08,21.469999,21.65,7599400,BBY
2013-04-04,21.719999,25.299999,21.709999,25.129999,55397700,BBY
2013-04-05,24.85,25.459999,24.309999,25.450001,25427300,BBY
2013-04-08,25.5,26.290001,24.75,25.959999,31696800,BBY
2013-04-09,25.66,26.09,25.309999,25.74,12262700,BBY
2013-04-10,25.76,25.76,24.4,24.82,14277700,BBY
2013-04-11,24.6,24.9,23.98,24.110001,11820900,BBY
2013-04-12,24.07,24.23,23.42,24.09,14928700,BBY
2013-04-15,23.91,24.27,22.549999,22.940001,11306700,BBY
2013-04-16,23.030001,23.73,22.92,23.66,7348600,BBY
2013-04-17,23.4,23.67,23.059999,23.379999,6153700,BBY
2013-04-18,23.5,23.709999,22.780001,22.969999,6092400,BBY
2013-04-19,23.18,23.58,22.799999,23.25,5041400,BBY
2013-04-22,23.139999,23.940001,22.870001,23.68,5293600,BBY
2013-04-23,23.73,24.34,23.620001,24.129999,6209300,BBY
2013-04-24,24.15,24.379999,23.530001,23.77,4495800,BBY
2013-04-25,23.780001,24.370001,23.700001,24.139999,5284800,BBY
2013-04-26,24.040001,24.209999,23.4,23.5,4644100,BBY
2013-04-29,23.58,24.200001,23.299999,24.200001,5288200,BBY
2013-04-30,25.709999,26.92,25.65,25.99,23284900,BBY
2013-05-01,25.690001,26.440001,25.440001,25.9,7446000,BBY
2013-05-02,25.9,26.370001,25.83,26.26,4392600,BBY
2013-05-03,26.450001,26.620001,25.950001,26.52,5107800,BBY
2013-05-06,26.469999,26.59,25.9,26.34,4664300,BBY
2013-05-07,26.370001,26.450001,26.0,26.120001,3659500,BBY
2013-05-08,26.01,26.42,25.389999,25.51,5985000,BBY
2013-05-09,25.49,26.139999,25.450001,25.6,4496200,BBY
2013-05-10,25.65,25.690001,24.98,25.370001,4185100,BBY
2013-05-13,25.469999,25.540001,25.110001,25.309999,3421600,BBY
2013-05-14,25.33,27.15,25.299999,26.74,7446300,BBY
2013-05-15,26.49,26.65,25.879999,26.4,5577000,BBY
2013-05-16,26.15,26.27,25.700001,25.9,3623000,BBY
2013-05-17,25.889999,26.969999,25.870001,26.9,5906800,BBY
2013-05-20,26.889999,27.370001,26.469999,26.809999,7881000,BBY
2013-05-21,26.09,26.99,25.17,25.639999,20917600,BBY
2013-05-22,25.639999,26.43,25.27,25.65,9695500,BBY
2013-05-23,25.4,26.34,25.299999,26.290001,5321400,BBY
2013-05-24,26.120001,26.34,25.65,26.030001,4140300,BBY
2013-05-28,26.27,26.780001,26.219999,26.73,7288500,BBY
2013-05-29,26.49,27.1,26.360001,27.040001,7166200,BBY
2013-05-30,27.15,28.17,27.15,27.74,10796800,BBY
2013-05-31,27.59,28.26,27.5,27.549999,10217700,BBY
2013-06-03,28.23,28.370001,26.85,27.360001,10415800,BBY
2013-06-04,27.219999,28.040001,27.139999,27.4,6992200,BBY
2013-06-05,27.190001,27.92,27.030001,27.09,8352400,BBY
2013-06-06,27.02,27.709999,26.82,27.68,4857500,BBY
