Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,50.0,50.240002,48.470001,49.82,107600,CVCO
2013-01-03,49.759998,49.959999,48.48,48.82,19200,CVCO
2013-01-04,49.27,50.0,48.779999,49.509998,22000,CVCO
2013-01-07,49.630001,50.040001,49.130001,49.959999,37100,CVCO
2013-01-08,50.0,50.02,48.619999,49.299999,18100,CVCO
2013-01-09,49.610001,50.16,49.509998,49.549999,23200,CVCO
2013-01-10,49.82,50.049999,49.16,49.939999,37100,CVCO
2013-01-11,50.029999,50.110001,48.869999,49.349998,50300,CVCO
2013-01-14,49.32,49.880001,48.889999,49.529999,20100,CVCO
2013-01-15,49.110001,49.450001,48.549999,49.220001,12600,CVCO
2013-01-16,48.93,49.360001,48.93,49.080002,9500,CVCO
2013-01-17,49.18,49.970001,48.810001,49.82,100200,CVCO
2013-01-18,49.740002,50.599998,49.34,50.27,35000,CVCO
2013-01-22,50.200001,51.0,49.57,50.98,22500,CVCO
2013-01-23,50.790001,51.779999,50.720001,51.59,52500,CVCO
2013-01-24,51.66,51.93,51.23,51.48,24200,CVCO
2013-01-25,51.580002,51.75,51.049999,51.389999,34800,CVCO
2013-01-28,51.369999,51.810001,50.73,51.720001,60300,CVCO
2013-01-29,51.200001,52.290001,51.200001,51.580002,39200,CVCO
2013-01-30,51.369999,52.049999,50.77,51.119999,32200,CVCO
2013-01-31,51.349998,51.860001,50.619999,51.860001,22900,CVCO
2013-02-01,51.790001,52.169998,51.029999,51.369999,38800,CVCO
2013-02-04,50.860001,51.110001,47.41,47.77,36200,CVCO
2013-02-05,48.200001,48.200001,47.009998,47.470001,20300,CVCO
2013-02-06,47.459999,47.459999,45.68,46.040001,32300,CVCO
2013-02-07,45.990002,45.990002,45.139999,45.259998,8900,CVCO
2013-02-08,45.330002,46.41,45.110001,45.740002,16800,CVCO
2013-02-11,45.810001,46.549999,45.669998,45.91,5100,CVCO
2013-02-12,46.09,47.470001,45.869999,46.740002,14600,CVCO
2013-02-13,46.919998,46.919998,45.419998,46.139999,11000,CVCO
2013-02-14,46.52,46.66,46.110001,46.259998,2900,CVCO
2013-02-15,46.599998,47.240002,46.259998,46.799999,11000,CVCO
2013-02-19,47.23,47.939999,46.900002,47.380001,14800,CVCO
2013-02-20,47.279999,47.290001,45.560001,45.580002,13600,CVCO
2013-02-21,45.849998,46.34,45.439999,46.0,20500,CVCO
2013-02-22,46.220001,46.619999,45.599998,45.639999,18900,CVCO
2013-02-25,46.049999,46.049999,44.41,44.490002,21500,CVCO
2013-02-26,44.810001,45.82,44.5,44.810001,25400,CVCO
2013-02-27,44.639999,45.610001,44.5,45.439999,9200,CVCO
2013-02-28,46.16,46.16,44.549999,45.110001,21300,CVCO
2013-03-01,44.5,46.18,44.5,45.75,16700,CVCO
2013-03-04,45.490002,46.189999,45.349998,45.970001,11100,CVCO
2013-03-05,45.599998,46.830002,45.599998,46.369999,16300,CVCO
2013-03-06,46.380001,48.549999,46.380001,48.25,15800,CVCO
2013-03-07,48.09,48.279999,47.389999,48.080002,17800,CVCO
2013-03-08,48.630001,48.630001,48.040001,48.540001,16200,CVCO
2013-03-11,48.240002,48.689999,48.049999,48.389999,15000,CVCO
2013-03-12,48.0,48.0,46.040001,46.57,12100,CVCO
2013-03-13,46.740002,47.240002,46.310001,47.220001,7600,CVCO
2013-03-14,47.610001,49.029999,47.610001,48.900002,9600,CVCO
2013-03-15,48.990002,49.099998,47.830002,47.990002,35900,CVCO
2013-03-18,47.98,48.080002,46.66,47.509998,16000,CVCO
2013-03-19,48.110001,48.990002,47.509998,47.75,33300,CVCO
2013-03-20,48.0,48.220001,47.5,48.119999,30700,CVCO
2013-03-21,47.610001,48.369999,47.119999,48.099998,8800,CVCO
2013-03-22,48.560001,48.610001,47.68,47.970001,16600,CVCO
2013-03-25,48.290001,48.740002,47.810001,48.290001,10700,CVCO
2013-03-26,48.700001,48.700001,47.330002,48.0,26400,CVCO
2013-03-27,47.599998,47.84,46.77,47.619999,6300,CVCO
2013-03-28,47.900002,48.23,47.029999,47.57,19200,CVCO
2013-04-01,47.77,47.990002,46.25,46.560001,18000,CVCO
2013-04-02,47.02,47.080002,45.82,46.18,9600,CVCO
2013-04-03,46.540001,46.540001,44.610001,45.07,21700,CVCO
2013-04-04,45.189999,46.009998,45.189999,45.900002,13300,CVCO
2013-04-05,44.98,45.400002,44.98,45.150002,19000,CVCO
2013-04-08,45.450001,45.450001,44.919998,45.16,6200,CVCO
2013-04-09,45.110001,45.169998,44.669998,44.700001,12100,CVCO
2013-04-10,44.610001,45.099998,44.610001,44.98,13800,CVCO
2013-04-11,44.830002,45.139999,44.509998,44.810001,13300,CVCO
2013-04-12,44.580002,45.049999,44.099998,44.619999,14100,CVCO
2013-04-15,44.27,44.34,42.220001,42.799999,46100,CVCO
2013-04-16,43.200001,43.240002,40.599998,43.23,45100,CVCO
2013-04-17,42.689999,43.98,40.66,41.470001,37300,CVCO
2013-04-18,41.57,43.130001,40.43,41.009998,39900,CVCO
2013-04-19,41.029999,43.389999,41.029999,42.93,29900,CVCO
2013-04-22,42.57,44.060001,42.029999,43.700001,10500,CVCO
2013-04-23,44.119999,46.889999,43.990002,45.939999,12900,CVCO
2013-04-24,46.060001,46.599998,44.23,44.830002,34600,CVCO
2013-04-25,45.299999,46.299999,44.5,45.610001,40400,CVCO
2013-04-26,45.630001,45.700001,44.73,45.119999,11400,CVCO
2013-04-29,45.43,46.150002,45.43,45.650002,6600,CVCO
2013-04-30,45.509998,45.970001,44.630001,45.619999,11900,CVCO
2013-05-01,44.990002,45.029999,43.560001,43.560001,23200,CVCO
2013-05-02,43.900002,44.799999,43.720001,44.279999,25900,CVCO
2013-05-03,44.869999,45.970001,44.48,45.299999,7000,CVCO
2013-05-06,45.16,45.16,43.779999,44.799999,17700,CVCO
2013-05-07,45.009998,46.880001,45.009998,46.669998,10000,CVCO
2013-05-08,46.459999,47.16,46.34,46.900002,11300,CVCO
2013-05-09,46.939999,47.849998,46.740002,47.099998,12000,CVCO
2013-05-10,47.310001,47.950001,46.759998,47.669998,8300,CVCO
2013-05-13,47.77,47.959999,47.599998,47.610001,5100,CVCO
2013-05-14,48.599998,49.549999,48.599998,49.389999,11300,CVCO
2013-05-15,48.91,49.59,48.700001,49.540001,7100,CVCO
2013-05-16,49.43,51.0,49.259998,50.07,35100,CVCO
2013-05-17,50.169998,50.869999,49.990002,50.5,25400,CVCO
2013-05-20,50.18,50.450001,49.880001,50.009998,4300,CVCO
2013-05-21,50.060001,50.369999,49.02,49.189999,6800,CVCO
2013-05-22,48.68,49.279999,46.040001,46.84,16900,CVCO
2013-05-23,46.540001,49.970001,46.540001,49.0,52100,CVCO
2013-05-24,48.810001,48.810001,45.0,48.389999,24600,CVCO
2013-05-28,49.080002,49.900002,47.700001,49.209999,12200,CVCO
2013-05-29,48.73,49.220001,47.459999,47.540001,12400,CVCO
2013-05-30,47.869999,49.0,47.509998,47.93,7600,CVCO
2013-05-31,47.43,48.0,47.099998,47.91,13800,CVCO
2013-06-03,47.93,49.720001,47.93,49.470001,31000,CVCO
2013-06-04,49.290001,49.720001,47.880001,48.139999,25300,CVCO
2013-06-05,47.939999,48.779999,47.34,47.720001,31300,CVCO
2013-06-06,47.720001,48.200001,47.299999,47.970001,11900,CVCO
2013-06-07,48.560001,48.650002,47.299999,47.799999,21300,CVCO
2013-06-10,47.650002,47.650002,46.400002,47.48,11500,CVCO
2013-06-11,46.799999,47.310001,46.619999,46.639999,13400,CVCO
2013-06-12,46.82,47.68,46.200001,46.650002,13200,CVCO
2013-06-13,46.599998,50.860001,46.599998,49.349998,22400,CVCO
2013-06-14,49.049999,50.25,48.110001,48.110001,19300,CVCO
2013-06-17,48.220001,48.799999,46.75,47.82,67700,CVCO
2013-06-18,48.02,48.98,47.790001,48.689999,27700,CVCO
2013-06-19,48.790001,49.889999,48.209999,48.599998,38900,CVCO
2013-06-20,47.830002,48.580002,47.029999,47.790001,50100,CVCO
2013-06-21,48.049999,48.950001,46.799999,47.57,183400,CVCO
2013-06-24,47.27,48.869999,47.150002,48.43,25300,CVCO
2013-06-25,48.889999,50.23,48.68,49.82,22500,CVCO
2013-06-26,50.139999,50.650002,48.75,49.59,24600,CVCO
2013-06-27,50.07,50.5,49.580002,50.189999,20100,CVCO
2013-06-28,50.0,50.639999,49.610001,50.450001,50600,CVCO
2013-07-01,50.709999,52.490002,50.709999,51.610001,23400,CVCO
2013-07-02,51.73,51.75,50.68,51.0,22900,CVCO
2013-07-03,51.75,52.040001,51.09,51.59,14300,CVCO
2013-07-05,51.849998,51.849998,49.759998,50.689999,16700,CVCO
2013-07-08,51.0,51.380001,50.619999,51.060001,10500,CVCO
2013-07-09,51.290001,51.380001,50.82,51.25,29800,CVCO
2013-07-10,51.389999,51.700001,51.110001,51.450001,13500,CVCO
2013-07-11,51.75,53.0,51.75,52.959999,16800,CVCO
2013-07-12,52.82,53.970001,52.66,53.439999,13800,CVCO
2013-07-15,54.439999,54.639999,53.110001,54.349998,23100,CVCO
2013-07-16,54.57,55.779999,53.52,54.529999,33300,CVCO
2013-07-17,54.939999,55.32,54.16,54.849998,24700,CVCO
2013-07-18,54.970001,55.77,54.740002,55.209999,19100,CVCO
2013-07-19,54.869999,55.900002,54.869999,55.400002,46400,CVCO
2013-07-22,55.139999,55.77,53.77,54.099998,14600,CVCO
2013-07-23,54.41,54.919998,53.75,54.66,18800,CVCO
2013-07-24,55.189999,55.189999,53.220001,53.77,28900,CVCO
2013-07-25,53.450001,54.189999,51.599998,53.959999,42100,CVCO
2013-07-26,53.389999,55.689999,53.389999,54.27,15100,CVCO
2013-07-29,53.959999,54.790001,52.900002,52.959999,7300,CVCO
2013-07-30,53.43,53.740002,52.810001,53.16,20300,CVCO
2013-07-31,53.220001,55.639999,52.009998,54.790001,26900,CVCO
2013-08-01,55.68,56.759998,54.580002,55.18,31600,CVCO
2013-08-02,54.490002,58.740002,53.459999,57.689999,34900,CVCO
2013-08-05,56.299999,57.220001,54.619999,55.200001,21000,CVCO
2013-08-06,55.419998,55.419998,53.049999,53.25,16200,CVCO
2013-08-07,52.93,54.360001,52.119999,53.650002,19400,CVCO
2013-08-08,53.380001,53.650002,52.849998,53.279999,25100,CVCO
2013-08-09,54.02,54.02,52.310001,53.419998,32500,CVCO
2013-08-12,52.689999,54.18,52.689999,54.099998,23600,CVCO
2013-08-13,53.5,53.990002,52.34,52.799999,27200,CVCO
2013-08-14,52.77,52.77,50.310001,50.790001,34200,CVCO
2013-08-15,50.189999,53.790001,48.400002,52.700001,33100,CVCO
2013-08-16,52.310001,54.91,52.099998,52.919998,37500,CVCO
2013-08-19,52.490002,53.560001,50.849998,51.990002,28600,CVCO
2013-08-20,51.869999,55.009998,51.869999,54.459999,16100,CVCO
2013-08-21,54.099998,55.400002,52.240002,53.119999,17400,CVCO
2013-08-22,53.529999,56.400002,53.529999,55.98,20600,CVCO
2013-08-23,56.07,56.759998,54.009998,56.080002,19900,CVCO
2013-08-26,56.419998,57.220001,55.98,56.02,14100,CVCO
2013-08-27,55.049999,55.779999,53.810001,54.009998,13200,CVCO
2013-08-28,53.790001,56.43,51.689999,52.93,30900,CVCO
2013-08-29,52.639999,54.040001,52.5,53.330002,17500,CVCO
2013-08-30,53.07,53.27,51.740002,52.540001,15500,CVCO
2013-09-03,53.209999,54.470001,50.77,51.139999,24300,CVCO
2013-09-04,51.060001,52.009998,50.349998,51.799999,21000,CVCO
2013-09-05,51.130001,52.310001,50.369999,52.18,22400,CVCO
2013-09-06,52.32,54.950001,51.759998,53.77,29100,CVCO
2013-09-09,55.369999,57.669998,55.240002,57.220001,34300,CVCO
2013-09-10,56.970001,57.91,55.639999,56.220001,17300,CVCO
2013-09-11,55.91,57.799999,55.91,57.200001,17800,CVCO
2013-09-12,57.790001,58.5,56.200001,56.380001,10800,CVCO
2013-09-13,56.830002,58.080002,56.43,57.990002,9400,CVCO
2013-09-16,59.209999,59.209999,57.009998,57.459999,19300,CVCO
2013-09-17,57.540001,57.700001,56.049999,57.09,11800,CVCO
2013-09-18,57.27,60.200001,55.91,59.860001,29600,CVCO
2013-09-19,59.34,60.34,58.98,59.59,28700,CVCO
2013-09-20,59.669998,59.82,58.349998,58.400002,82900,CVCO
2013-09-23,58.900002,58.900002,57.259998,58.25,18700,CVCO
2013-09-24,58.529999,59.709999,58.240002,58.77,23400,CVCO
2013-09-25,58.110001,58.860001,57.470001,57.869999,19500,CVCO
2013-09-26,57.849998,58.560001,57.25,58.299999,8400,CVCO
2013-09-27,57.73,57.73,57.41,57.52,2700,CVCO
2013-09-30,57.0,57.369999,56.540001,56.950001,11400,CVCO
2013-10-01,57.23,57.919998,57.02,57.75,7600,CVCO
2013-10-02,57.27,57.689999,56.939999,57.540001,7600,CVCO
2013-10-03,57.540001,57.540001,55.560001,56.0,12500,CVCO
2013-10-04,56.099998,57.389999,55.700001,56.240002,21500,CVCO
2013-10-07,56.0,57.049999,55.259998,55.720001,12500,CVCO
