Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,22.053871,22.601009,21.902357,22.554714,32786186,EBAY
2013-01-03,22.512627,22.579966,21.948652,22.074917,25735406,EBAY
2013-01-04,22.079124,22.356901,21.978113,22.213804,15411449,EBAY
2013-01-07,22.108585,22.550505,21.910774,22.521044,24200986,EBAY
2013-01-08,22.457912,22.811447,22.100168,22.171717,27391003,EBAY
2013-01-09,22.23064,22.483166,22.074917,22.205387,19245362,EBAY
2013-01-10,22.449495,22.516834,22.066498,22.306396,17419169,EBAY
2013-01-11,22.36532,22.655724,22.33165,22.601009,27193795,EBAY
2013-01-14,22.550505,22.588385,22.234848,22.382154,25185838,EBAY
2013-01-15,22.386364,22.5,22.037037,22.100168,22867574,EBAY
2013-01-16,22.276936,22.5,21.835016,22.264311,52873366,EBAY
2013-01-17,22.781986,23.097643,22.622053,22.798822,58113634,EBAY
2013-01-18,22.798822,22.93771,22.601009,22.815657,25087471,EBAY
2013-01-22,22.790403,22.861954,22.33165,22.46212,25371403,EBAY
2013-01-23,22.470539,22.735689,22.445286,22.46633,21471437,EBAY
2013-01-24,22.550505,23.291246,22.546295,23.228113,30296851,EBAY
2013-01-25,23.569023,23.846802,23.535355,23.792088,31672555,EBAY
2013-01-28,23.648991,23.71212,23.455387,23.547979,18714326,EBAY
2013-01-29,23.425926,23.501684,23.270203,23.425926,16720387,EBAY
2013-01-30,23.560606,23.779461,23.367002,23.476431,16582817,EBAY
2013-01-31,23.299664,23.678452,23.27862,23.556396,18880646,EBAY
2013-02-01,23.741583,24.103535,23.623737,24.078283,20128046,EBAY
2013-02-04,23.842592,23.876263,23.4133,23.438553,20574259,EBAY
2013-02-05,23.58165,23.935184,23.484848,23.74579,14695322,EBAY
2013-02-06,23.573233,23.779461,23.451178,23.61532,16639841,EBAY
2013-02-07,23.640572,23.733166,23.295456,23.623737,18168322,EBAY
2013-02-08,23.762627,24.023569,23.733166,23.829966,19166954,EBAY
2013-02-11,23.78788,23.813131,23.463804,23.741583,12238538,EBAY
2013-02-12,23.737373,24.065657,23.61532,23.897306,23816311,EBAY
2013-02-13,23.930977,24.099327,23.741583,24.010942,21612096,EBAY
2013-02-14,23.901514,24.040403,23.834175,23.91835,16762205,EBAY
2013-02-15,23.909933,24.05303,23.741583,23.863636,21693355,EBAY
2013-02-19,23.930977,23.981482,23.720539,23.855219,13548190,EBAY
2013-02-20,23.947811,24.031986,23.350168,23.371212,17572896,EBAY
2013-02-21,23.291246,23.392256,22.685184,22.988214,25490678,EBAY
2013-02-22,23.131313,23.202862,22.967173,23.156567,12087425,EBAY
2013-02-25,23.320707,23.421717,22.558924,22.563131,17431286,EBAY
2013-02-26,22.63047,22.714645,22.356901,22.651514,20108088,EBAY
2013-02-27,22.735689,22.962963,22.588385,22.790403,18205625,EBAY
2013-02-28,22.93771,23.223906,22.8367,23.026094,22751388,EBAY
2013-03-01,22.97559,23.190235,22.735689,23.106062,15260810,EBAY
2013-03-04,22.870371,23.354378,22.832493,23.350168,23168138,EBAY
2013-03-05,23.379629,23.569023,23.047138,23.257576,23314738,EBAY
2013-03-06,23.13973,23.148148,22.491583,22.546295,34595273,EBAY
2013-03-07,22.596802,22.67256,22.201178,22.297979,22453200,EBAY
2013-03-08,22.382154,22.5,21.994949,22.361111,31070952,EBAY
2013-03-11,22.348486,22.449495,22.167507,22.205387,21300840,EBAY
2013-03-12,21.759258,22.348486,21.42256,22.289562,38310386,EBAY
2013-03-13,22.289562,22.306396,21.304714,21.456228,47057155,EBAY
2013-03-14,21.797138,22.264311,21.717173,21.801348,40736045,EBAY
2013-03-15,21.767677,21.919191,21.182659,21.21633,51718392,EBAY
2013-03-18,20.984848,21.275253,20.854378,21.090067,34069464,EBAY
2013-03-19,21.464645,21.624578,21.237373,21.506735,34745911,EBAY
2013-03-20,21.746634,22.142256,21.485689,22.06229,34767295,EBAY
2013-03-21,21.969698,22.32744,21.86027,22.272726,33398244,EBAY
2013-03-22,22.310606,22.5,22.289562,22.420034,20198851,EBAY
2013-03-25,22.474747,22.474747,21.51936,21.595118,43189740,EBAY
2013-03-26,21.746634,21.944445,21.506735,21.923401,25564097,EBAY
2013-03-27,21.742424,22.129629,21.443604,21.914984,29501604,EBAY
2013-03-28,21.902357,22.941919,21.654039,22.819864,57564540,EBAY
2013-04-01,23.417507,23.88468,23.333332,23.44697,48992882,EBAY
2013-04-02,23.678452,23.901514,23.547979,23.636364,36184342,EBAY
2013-04-03,23.489058,23.569023,23.282827,23.358585,27315446,EBAY
2013-04-04,23.291246,23.514311,23.190235,23.48064,14034557,EBAY
2013-04-05,23.034512,23.396465,22.93771,23.367002,17193449,EBAY
2013-04-08,23.324917,23.92256,23.270203,23.514311,24205738,EBAY
2013-04-09,23.333332,23.758417,23.282827,23.598486,14883739,EBAY
2013-04-10,23.707912,24.234007,23.686869,24.116161,19011089,EBAY
2013-04-11,24.166668,24.427608,24.078283,24.318182,17323891,EBAY
2013-04-12,24.368687,24.368687,23.909933,24.120371,15005390,EBAY
2013-04-15,23.981482,24.191919,23.438553,23.501684,21854210,EBAY
2013-04-16,23.648991,24.05303,23.569023,23.994108,20503930,EBAY
2013-04-17,23.775253,23.91835,23.421717,23.611111,34952386,EBAY
2013-04-18,22.664141,22.828283,22.19276,22.23064,60248470,EBAY
2013-04-19,22.209597,22.407408,21.843433,22.049664,37065600,EBAY
2013-04-22,21.944445,22.020203,21.531986,21.729797,32696611,EBAY
2013-04-23,21.868687,22.209597,21.822392,22.091751,30124354,EBAY
2013-04-24,22.306396,22.445286,22.154882,22.293772,24300778,EBAY
