Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,26.947826,27.81739,26.869564,27.643478,523710,ZD
2013-01-03,27.565216,27.765217,27.373913,27.556522,570400,ZD
2013-01-04,27.704348,27.886957,27.565216,27.721739,320160,ZD
2013-01-07,27.539129,27.765217,27.321739,27.608696,243800,ZD
2013-01-08,27.565216,27.895653,27.486958,27.686956,239315,ZD
2013-01-09,27.73913,28.026087,27.73913,27.904348,152260,ZD
2013-01-10,27.965218,28.017391,27.756521,27.965218,200790,ZD
2013-01-11,28.034782,28.130436,27.78261,27.973913,267490,ZD
2013-01-14,27.991304,28.173912,27.799999,27.982609,124085,ZD
2013-01-15,27.791304,27.930435,27.504349,27.73913,170545,ZD
2013-01-16,27.773912,28.0,27.678261,27.843477,185150,ZD
2013-01-17,27.982609,27.991304,27.686956,27.843477,178365,ZD
2013-01-18,27.904348,27.939131,27.565216,27.652174,178480,ZD
2013-01-22,27.652174,27.808697,27.408695,27.730434,264385,ZD
2013-01-23,27.799999,27.965218,27.66087,27.869564,390655,ZD
2013-01-24,27.834784,27.973913,27.486958,27.617392,423430,ZD
2013-01-25,27.713043,27.799999,27.434784,27.565216,313950,ZD
2013-01-28,27.582609,27.843477,27.504349,27.591305,362710,ZD
2013-01-29,27.626087,27.765217,27.347826,27.626087,324990,ZD
2013-01-30,27.678261,27.799999,27.330435,27.391304,362595,ZD
2013-01-31,27.443478,27.81739,27.286957,27.669565,395600,ZD
2013-02-01,27.826088,28.147825,27.521738,27.713043,437115,ZD
2013-02-04,27.652174,27.92174,27.539129,27.834784,500135,ZD
2013-02-05,27.895653,27.895653,26.834784,27.13913,600300,ZD
2013-02-06,27.034782,27.295652,26.513042,27.200001,660560,ZD
2013-02-07,27.243479,27.243479,26.886957,27.07826,238740,ZD
2013-02-08,27.13913,27.556522,26.991304,27.408695,378810,ZD
2013-02-11,27.434784,27.799999,27.321739,27.443478,747730,ZD
2013-02-12,27.504349,27.634783,27.330435,27.495651,198490,ZD
2013-02-13,27.582609,27.843477,27.460871,27.686956,724845,ZD
2013-02-14,30.608696,31.669565,29.565216,31.573914,1992490,ZD
2013-02-15,31.834784,32.591305,31.460871,31.486958,1158395,ZD
2013-02-19,31.573914,31.834784,31.304348,31.73913,732550,ZD
2013-02-20,31.73913,31.904348,31.026087,31.07826,435620,ZD
2013-02-21,31.069565,31.165216,30.382608,30.643478,297390,ZD
2013-02-22,30.834784,30.947826,30.391304,30.930435,215740,ZD
2013-02-25,31.034782,31.18261,30.408695,30.417391,214820,ZD
2013-02-26,30.669565,30.730434,30.043478,30.304348,205390,ZD
2013-02-27,30.286957,31.113043,30.13913,30.678261,277150,ZD
2013-02-28,30.713043,31.286957,30.713043,31.026087,468740,ZD
2013-03-01,30.730434,31.634783,30.730434,31.591305,458620,ZD
2013-03-04,31.626087,31.81739,31.417391,31.617392,363400,ZD
2013-03-05,31.730434,32.13913,31.730434,32.104347,295895,ZD
2013-03-06,31.930435,32.313042,31.913042,32.060871,295435,ZD
2013-03-07,32.008698,32.391304,32.008698,32.33913,245985,ZD
2013-03-08,32.547825,32.556522,32.260872,32.460869,201250,ZD
2013-03-11,32.486958,32.530434,31.92174,32.052174,194350,ZD
2013-03-12,32.104347,32.243477,32.078262,32.165218,202055,ZD
2013-03-13,32.18261,32.61739,31.956522,32.513042,199985,ZD
2013-03-14,32.634785,32.773914,32.356522,32.634785,365470,ZD
2013-03-15,32.626087,32.626087,32.208694,32.304348,317515,ZD
