Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,8.282,8.448,8.282,8.382,48000,ABEV
2013-01-03,8.368,8.472,8.356,8.44,48500,ABEV
2013-01-04,8.384,8.446,8.376,8.446,43000,ABEV
2013-01-07,8.444,8.452,8.374,8.38,37000,ABEV
2013-01-08,8.446,8.478,8.386,8.43,33000,ABEV
2013-01-09,8.466,8.52,8.45,8.49,169500,ABEV
2013-01-10,8.528,8.556,8.452,8.538,47500,ABEV
2013-01-11,8.524,8.528,8.444,8.444,16500,ABEV
2013-01-14,8.464,8.554,8.438,8.554,83500,ABEV
2013-01-15,8.518,8.66,8.48,8.66,65000,ABEV
2013-01-16,8.584,8.762,8.55,8.746,70000,ABEV
2013-01-17,8.798,8.902,8.756,8.856,41500,ABEV
2013-01-18,8.836,8.946,8.836,8.946,59500,ABEV
2013-01-22,8.89,8.948,8.868,8.93,208500,ABEV
2013-01-23,8.962,8.97,8.85,8.85,303500,ABEV
2013-01-24,8.94,9.016,8.938,8.938,147500,ABEV
2013-01-25,8.976,8.996,8.618,8.92,1546000,ABEV
2013-01-28,9.002,9.006,8.76,8.98,658500,ABEV
2013-01-29,9.012,9.172,9.012,9.172,63000,ABEV
2013-01-30,9.036,9.224,9.014,9.208,215500,ABEV
2013-01-31,9.246,9.246,9.02,9.188,145000,ABEV
2013-02-01,9.156,9.156,9.064,9.1,145000,ABEV
2013-02-04,9.1,9.158,9.06,9.06,119500,ABEV
2013-02-05,9.176,9.176,9.034,9.062,98000,ABEV
2013-02-06,9.03,9.084,9.018,9.084,59500,ABEV
2013-02-07,9.158,9.19,9.046,9.082,92000,ABEV
2013-02-08,9.068,9.242,8.982,9.24,648000,ABEV
2013-02-11,9.248,9.27,9.09,9.122,28500,ABEV
2013-02-12,9.094,9.122,9.086,9.1,11000,ABEV
2013-02-13,9.132,9.268,9.132,9.238,183000,ABEV
2013-02-14,9.18,9.238,9.174,9.194,43000,ABEV
2013-02-15,9.19,9.206,9.134,9.15,47000,ABEV
2013-02-19,9.196,9.29,9.196,9.244,31000,ABEV
2013-02-20,9.284,9.296,9.21,9.244,74500,ABEV
2013-02-21,9.188,9.188,8.928,8.96,70500,ABEV
2013-02-22,9.004,9.138,8.97,9.126,66000,ABEV
2013-02-25,9.068,9.068,8.738,8.76,322000,ABEV
2013-02-26,8.816,8.898,8.738,8.86,50000,ABEV
2013-02-27,8.74,8.752,8.668,8.706,213500,ABEV
2013-02-28,8.678,8.88,8.678,8.85,110500,ABEV
2013-03-01,8.796,8.956,8.776,8.93,26500,ABEV
2013-03-04,8.874,8.93,8.858,8.92,41000,ABEV
2013-03-05,8.942,9.046,8.942,9.022,45000,ABEV
2013-03-06,8.978,9.128,8.962,9.128,65500,ABEV
2013-03-07,9.032,9.084,8.95,9.002,112500,ABEV
2013-03-08,8.964,9.098,8.964,9.038,174000,ABEV
2013-03-11,9.08,9.08,8.98,9.01,96000,ABEV
2013-03-12,8.97,8.972,8.78,8.816,43500,ABEV
2013-03-13,8.844,8.844,8.706,8.72,54500,ABEV
2013-03-14,8.696,8.77,8.696,8.748,53000,ABEV
2013-03-15,8.746,8.754,8.45,8.45,127500,ABEV
2013-03-18,8.434,8.588,8.432,8.546,51000,ABEV
2013-03-19,8.53,8.546,8.482,8.524,83000,ABEV
2013-03-20,8.52,8.554,8.488,8.506,52000,ABEV
2013-03-21,8.474,8.5,8.406,8.416,63000,ABEV
2013-03-22,8.416,8.416,8.262,8.37,492500,ABEV
2013-03-25,8.42,8.44,8.144,8.178,119500,ABEV
2013-03-26,8.162,8.248,8.074,8.236,268000,ABEV
2013-03-27,8.088,8.212,8.05,8.206,188500,ABEV
2013-03-28,8.19,8.284,8.134,8.284,101500,ABEV
2013-04-01,8.248,8.27,8.204,8.21,85500,ABEV
2013-04-02,8.31,8.31,8.07,8.158,285500,ABEV
2013-04-03,8.168,8.168,7.944,7.944,193000,ABEV
2013-04-04,7.96,8.0,7.906,7.97,208000,ABEV
2013-04-05,7.932,8.098,7.882,8.044,64500,ABEV
2013-04-08,8.06,8.082,7.994,8.052,61000,ABEV
2013-04-09,8.108,8.116,8.038,8.038,70500,ABEV
2013-04-10,8.124,8.262,8.096,8.186,67500,ABEV
2013-04-11,8.166,8.168,7.992,8.062,64500,ABEV
2013-04-12,7.962,8.178,7.874,7.978,84000,ABEV
2013-04-15,7.878,7.878,7.642,7.666,147000,ABEV
2013-04-16,7.764,7.812,7.726,7.804,92000,ABEV
2013-04-17,7.816,7.816,7.646,7.74,668000,ABEV
2013-04-18,7.786,7.786,7.718,7.724,54500,ABEV
