Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,68.5,69.5,67.68,69.330002,31400,COKE
2013-01-03,69.639999,69.639999,67.779999,68.620003,7800,COKE
2013-01-04,68.989998,69.309998,68.290001,68.699997,7800,COKE
2013-01-07,68.519997,68.980003,67.190002,67.519997,7500,COKE
2013-01-08,67.669998,67.669998,66.5,66.5,10800,COKE
2013-01-09,66.669998,67.239998,66.5,66.82,10300,COKE
2013-01-10,66.989998,67.25,66.0,66.68,13500,COKE
2013-01-11,66.830002,67.0,66.309998,66.459999,3100,COKE
2013-01-14,66.519997,66.519997,66.010002,66.089996,6400,COKE
2013-01-15,65.839996,67.0,65.550003,66.150002,6600,COKE
2013-01-16,66.0,66.43,65.699997,65.980003,14900,COKE
2013-01-17,65.879997,66.5,65.75,66.470001,8900,COKE
2013-01-18,66.190002,66.300003,65.949997,65.959999,9700,COKE
2013-01-22,65.949997,66.290001,65.279999,65.599998,22900,COKE
2013-01-23,65.830002,65.830002,64.68,64.970001,28400,COKE
2013-01-24,65.290001,66.029999,64.0,64.5,18000,COKE
2013-01-25,64.900002,64.900002,64.059998,64.260002,12900,COKE
2013-01-28,64.669998,65.57,64.269997,65.449997,14900,COKE
2013-01-29,65.269997,65.660004,65.150002,65.410004,9000,COKE
2013-01-30,65.080002,65.129997,64.5,64.510002,20800,COKE
2013-01-31,64.510002,65.080002,64.5,64.730003,10600,COKE
2013-02-01,64.730003,65.169998,64.730003,64.989998,11600,COKE
2013-02-04,64.650002,64.980003,63.799999,63.91,8900,COKE
2013-02-05,64.190002,64.809998,64.019997,64.290001,6000,COKE
2013-02-06,64.389999,64.389999,63.959999,63.990002,12200,COKE
2013-02-07,64.0,64.080002,63.0,63.209999,11000,COKE
2013-02-08,63.48,63.779999,63.23,63.41,8700,COKE
2013-02-11,63.48,63.580002,63.029999,63.040001,8200,COKE
2013-02-12,63.049999,63.389999,63.0,63.16,8200,COKE
2013-02-13,63.200001,63.779999,63.200001,63.650002,6000,COKE
2013-02-14,63.5,63.990002,63.07,63.639999,9500,COKE
2013-02-15,64.139999,65.699997,63.5,64.129997,57700,COKE
2013-02-19,63.57,64.760002,62.580002,62.849998,31000,COKE
2013-02-20,62.84,63.59,62.040001,62.889999,28700,COKE
2013-02-21,63.040001,63.639999,62.860001,63.040001,11500,COKE
2013-02-22,63.490002,64.18,63.049999,64.169998,17300,COKE
2013-02-25,64.440002,64.699997,63.919998,63.970001,9900,COKE
2013-02-26,64.300003,64.699997,64.019997,64.290001,36100,COKE
2013-02-27,64.389999,64.940002,64.260002,64.709999,29100,COKE
2013-02-28,64.709999,65.610001,64.57,65.43,16400,COKE
2013-03-01,65.0,65.669998,64.599998,65.330002,7400,COKE
2013-03-04,65.510002,66.25,65.5,65.970001,12400,COKE
2013-03-05,66.239998,66.349998,64.110001,64.519997,29800,COKE
2013-03-06,64.910004,64.910004,63.779999,64.18,18400,COKE
2013-03-07,65.0,65.0,62.0,62.439999,27100,COKE
2013-03-08,62.619999,62.990002,62.400002,62.599998,14000,COKE
2013-03-11,63.970001,63.970001,62.09,62.5,19000,COKE
2013-03-12,62.34,62.73,62.189999,62.380001,10400,COKE
2013-03-13,62.610001,63.25,62.610001,62.939999,9700,COKE
2013-03-14,63.0,63.0,62.41,62.759998,12200,COKE
2013-03-15,62.75,63.099998,62.610001,62.799999,29200,COKE
2013-03-18,62.509998,63.060001,62.509998,62.720001,6300,COKE
2013-03-19,62.68,62.919998,61.98,62.02,14900,COKE
2013-03-20,62.48,62.560001,62.049999,62.560001,11400,COKE
2013-03-21,62.299999,62.580002,60.700001,60.799999,16300,COKE
2013-03-22,61.310001,61.560001,60.599998,60.740002,13000,COKE
2013-03-25,60.779999,61.459999,60.400002,60.59,17200,COKE
2013-03-26,60.599998,60.75,60.0,60.5,17900,COKE
2013-03-27,60.0,60.290001,59.869999,60.09,18200,COKE
2013-03-28,60.25,60.509998,60.009998,60.32,20700,COKE
2013-04-01,60.5,61.0,60.009998,60.98,15100,COKE
2013-04-02,61.099998,61.700001,60.580002,61.290001,14100,COKE
2013-04-03,61.669998,61.669998,60.610001,60.610001,12000,COKE
2013-04-04,61.139999,61.689999,61.139999,61.68,8600,COKE
2013-04-05,61.299999,61.98,61.259998,61.48,11500,COKE
2013-04-08,61.5,61.84,60.060001,60.540001,22900,COKE
2013-04-09,60.830002,61.0,60.009998,60.139999,10100,COKE
2013-04-10,60.259998,60.740002,60.049999,60.509998,12800,COKE
2013-04-11,60.619999,60.619999,60.110001,60.380001,12300,COKE
2013-04-12,60.290001,60.490002,60.099998,60.349998,16200,COKE
2013-04-15,59.799999,59.98,58.0,58.009998,37700,COKE
2013-04-16,59.209999,60.73,59.169998,60.560001,49500,COKE
2013-04-17,60.549999,60.990002,59.540001,60.560001,14700,COKE
2013-04-18,60.799999,60.98,60.5,60.549999,11800,COKE
2013-04-19,60.400002,61.349998,60.400002,60.939999,20700,COKE
2013-04-22,61.0,61.0,60.259998,60.759998,9700,COKE
2013-04-23,61.040001,61.869999,60.849998,61.029999,11600,COKE
2013-04-24,61.02,61.830002,60.779999,60.779999,18600,COKE
2013-04-25,60.75,61.630001,60.740002,61.169998,9300,COKE
2013-04-26,61.110001,61.470001,60.509998,60.939999,11600,COKE
2013-04-29,61.240002,61.82,61.060001,61.419998,14700,COKE
2013-04-30,61.279999,61.869999,61.110001,61.5,12300,COKE
2013-05-01,61.240002,61.240002,59.75,59.75,31800,COKE
2013-05-02,60.330002,60.740002,60.110001,60.41,12600,COKE
2013-05-03,61.099998,61.240002,60.580002,61.23,11100,COKE
2013-05-06,61.470001,61.5,60.709999,61.110001,10100,COKE
2013-05-07,61.299999,61.740002,61.02,61.740002,20000,COKE
2013-05-08,61.799999,61.799999,61.27,61.650002,12000,COKE
2013-05-09,61.68,61.68,61.0,61.060001,11100,COKE
2013-05-10,61.41,61.5,61.0,61.049999,18600,COKE
2013-05-13,61.139999,61.549999,61.099998,61.380001,12300,COKE
2013-05-14,61.52,61.52,61.0,61.200001,14400,COKE
2013-05-15,61.209999,61.450001,61.009998,61.139999,12100,COKE
2013-05-16,61.139999,61.5,61.099998,61.110001,11800,COKE
2013-05-17,61.400002,61.5,61.080002,61.380001,11900,COKE
2013-05-20,61.380001,61.59,61.0,61.080002,11500,COKE
2013-05-21,61.23,61.5,61.110001,61.16,10200,COKE
2013-05-22,61.419998,61.5,61.0,61.02,19300,COKE
2013-05-23,61.0,61.18,60.400002,60.75,15000,COKE
2013-05-24,60.560001,61.169998,60.529999,61.040001,7200,COKE
2013-05-28,60.759998,61.34,60.759998,61.25,21700,COKE
2013-05-29,60.82,61.130001,60.389999,60.419998,18800,COKE
2013-05-30,60.450001,60.84,60.0,60.080002,15700,COKE
2013-05-31,60.0,60.389999,59.560001,59.790001,42700,COKE
2013-06-03,59.790001,61.130001,59.540001,61.080002,32700,COKE
2013-06-04,61.25,61.48,60.630001,61.07,68200,COKE
2013-06-05,61.209999,61.369999,60.669998,60.91,11300,COKE
2013-06-06,61.029999,61.299999,60.68,61.27,32400,COKE
