Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,72.860001,74.330002,72.540001,74.330002,1365200,HSY
2013-01-03,74.199997,74.279999,73.269997,73.510002,1042500,HSY
2013-01-04,73.57,74.589996,73.480003,74.540001,848300,HSY
2013-01-07,74.360001,74.540001,73.940002,74.459999,943400,HSY
2013-01-08,74.379997,74.470001,73.639999,73.660004,854000,HSY
2013-01-09,73.779999,74.650002,73.669998,74.459999,873600,HSY
2013-01-10,74.870003,75.959999,74.269997,75.93,1380800,HSY
2013-01-11,75.949997,76.129997,75.559998,76.120003,499200,HSY
2013-01-14,76.019997,76.620003,75.870003,76.550003,556400,HSY
2013-01-15,76.120003,76.379997,75.919998,76.190002,999600,HSY
2013-01-16,75.949997,76.540001,75.949997,76.540001,739100,HSY
2013-01-17,76.910004,78.120003,76.809998,78.019997,1008400,HSY
2013-01-18,77.949997,78.309998,77.650002,78.279999,866200,HSY
2013-01-22,78.309998,78.790001,78.169998,78.790001,1001000,HSY
2013-01-23,78.709999,78.809998,78.300003,78.800003,857000,HSY
2013-01-24,78.5,78.779999,77.900002,78.089996,1208600,HSY
2013-01-25,78.379997,78.379997,77.550003,77.849998,1239300,HSY
2013-01-28,77.959999,77.959999,76.849998,77.209999,1364800,HSY
2013-01-29,77.57,77.910004,77.32,77.790001,1600300,HSY
2013-01-30,77.769997,78.360001,77.639999,78.279999,1466300,HSY
2013-01-31,78.309998,79.959999,78.309998,79.449997,1865200,HSY
2013-02-01,80.0,80.449997,79.400002,80.139999,1499100,HSY
2013-02-04,78.449997,79.800003,78.449997,79.690002,1544100,HSY
2013-02-05,79.900002,80.440002,79.830002,80.019997,1279500,HSY
2013-02-06,79.709999,80.360001,79.589996,80.349998,733300,HSY
2013-02-07,80.300003,80.400002,79.769997,80.330002,655900,HSY
2013-02-08,80.110001,80.300003,79.919998,80.209999,721900,HSY
2013-02-11,80.209999,80.650002,80.029999,80.379997,542300,HSY
2013-02-12,80.449997,80.889999,80.209999,80.769997,988200,HSY
2013-02-13,80.769997,81.370003,80.720001,81.349998,1001800,HSY
2013-02-14,81.529999,81.809998,80.830002,80.889999,1215500,HSY
2013-02-15,81.080002,81.239998,80.699997,80.93,1458300,HSY
2013-02-19,81.0,81.790001,80.269997,81.730003,1235800,HSY
2013-02-20,81.57,81.709999,80.82,80.849998,1325100,HSY
2013-02-21,79.959999,80.82,79.139999,80.300003,1764200,HSY
2013-02-22,80.300003,81.239998,79.860001,81.230003,831100,HSY
2013-02-25,81.230003,81.830002,80.599998,80.610001,1642700,HSY
2013-02-26,80.68,81.709999,80.349998,81.620003,1243900,HSY
2013-02-27,81.540001,82.690002,81.220001,82.599998,1808800,HSY
2013-02-28,82.559998,83.669998,82.559998,83.339996,1947500,HSY
2013-03-01,83.0,83.550003,82.57,83.449997,1278200,HSY
2013-03-04,83.559998,84.769997,83.360001,84.580002,1460600,HSY
2013-03-05,84.860001,85.5,84.690002,85.199997,954000,HSY
2013-03-06,85.220001,85.43,84.349998,84.480003,693000,HSY
2013-03-07,84.639999,85.059998,84.459999,84.519997,739300,HSY
2013-03-08,84.93,84.93,83.93,84.32,981500,HSY
2013-03-11,84.5,84.769997,84.059998,84.220001,781500,HSY
2013-03-12,84.220001,84.480003,84.0,84.290001,923700,HSY
2013-03-13,84.519997,84.550003,84.139999,84.360001,922600,HSY
2013-03-14,84.480003,84.610001,84.300003,84.5,577100,HSY
2013-03-15,83.870003,84.5,83.82,83.900002,1775000,HSY
2013-03-18,83.440002,84.349998,83.32,84.220001,842900,HSY
2013-03-19,84.410004,85.769997,84.400002,85.449997,1181500,HSY
2013-03-20,85.709999,86.010002,85.550003,85.919998,949200,HSY
2013-03-21,85.5,86.300003,85.199997,85.230003,670800,HSY
2013-03-22,85.510002,85.940002,85.300003,85.910004,795200,HSY
2013-03-25,86.099998,86.309998,85.120003,85.489998,760800,HSY
2013-03-26,85.559998,86.940002,85.550003,86.940002,858500,HSY
2013-03-27,86.5,86.959999,86.32,86.900002,719100,HSY
2013-03-28,87.0,87.620003,86.610001,87.529999,926700,HSY
2013-04-01,87.349998,87.489998,86.769997,87.029999,568100,HSY
2013-04-02,87.080002,87.32,86.0,86.43,1370800,HSY
2013-04-03,86.330002,86.480003,85.709999,85.849998,1674300,HSY
2013-04-04,86.099998,86.410004,85.550003,85.779999,864800,HSY
2013-04-05,85.410004,85.730003,85.239998,85.440002,1073400,HSY
2013-04-08,85.400002,85.620003,84.839996,85.25,772300,HSY
2013-04-09,85.349998,86.029999,85.120003,85.699997,936700,HSY
2013-04-10,85.82,86.779999,85.760002,86.75,732500,HSY
2013-04-11,86.760002,87.110001,86.389999,86.610001,801300,HSY
2013-04-12,86.5,86.730003,86.220001,86.519997,745100,HSY
2013-04-15,86.470001,87.029999,86.209999,86.410004,1325000,HSY
2013-04-16,86.959999,89.220001,86.5,89.18,1450200,HSY
2013-04-17,88.889999,89.18,88.519997,88.949997,1058800,HSY
2013-04-18,89.040001,89.760002,88.760002,89.470001,1041100,HSY
2013-04-19,89.550003,90.699997,89.550003,90.379997,1051500,HSY
2013-04-22,90.349998,90.489998,89.639999,90.339996,1392500,HSY
2013-04-23,90.580002,91.419998,90.349998,91.25,1096500,HSY
2013-04-24,91.349998,91.989998,89.269997,89.339996,1817200,HSY
2013-04-25,89.800003,91.43,88.540001,88.889999,1854500,HSY
2013-04-26,88.519997,88.519997,87.110001,87.57,1916200,HSY
2013-04-29,87.589996,88.199997,87.330002,88.120003,1546300,HSY
2013-04-30,88.129997,89.169998,87.93,89.160004,1375800,HSY
2013-05-01,88.919998,89.220001,87.839996,88.0,1435700,HSY
2013-05-02,87.940002,89.5,87.919998,89.279999,1051500,HSY
2013-05-03,89.68,89.739998,89.019997,89.559998,765000,HSY
2013-05-06,89.449997,89.449997,88.449997,88.660004,428600,HSY
2013-05-07,88.75,89.339996,88.739998,89.260002,598000,HSY
2013-05-08,89.089996,89.400002,88.360001,88.919998,769800,HSY
2013-05-09,88.970001,89.239998,87.629997,87.75,838300,HSY
2013-05-10,87.809998,87.989998,87.32,87.900002,649400,HSY
2013-05-13,88.0,88.720001,87.830002,88.610001,799100,HSY
2013-05-14,88.610001,89.900002,88.610001,89.830002,764100,HSY
