Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,8.17,8.4,8.12,8.39,676000,PRMW
2013-01-03,8.36,8.42,8.25,8.37,281500,PRMW
2013-01-04,8.39,8.61,8.36,8.59,260600,PRMW
2013-01-07,8.58,8.58,8.38,8.41,248700,PRMW
2013-01-08,8.41,8.49,8.39,8.46,64200,PRMW
2013-01-09,8.5,8.51,8.44,8.5,70900,PRMW
2013-01-10,8.55,8.55,8.49,8.53,131900,PRMW
2013-01-11,8.56,8.6,8.51,8.6,241700,PRMW
2013-01-14,8.58,8.62,8.5,8.61,144900,PRMW
2013-01-15,8.61,8.74,8.58,8.73,536200,PRMW
2013-01-16,8.69,8.85,8.63,8.75,275800,PRMW
2013-01-17,8.68,8.81,8.52,8.64,509400,PRMW
2013-01-18,8.59,8.78,8.47,8.78,503300,PRMW
2013-01-22,8.78,8.91,8.7,8.9,313100,PRMW
2013-01-23,8.87,8.91,8.7,8.74,293000,PRMW
2013-01-24,8.74,8.77,8.56,8.65,270500,PRMW
2013-01-25,8.69,8.83,8.64,8.82,307200,PRMW
2013-01-28,8.85,8.85,8.65,8.66,137800,PRMW
2013-01-29,8.63,8.88,8.56,8.77,253500,PRMW
2013-01-30,8.81,8.85,8.78,8.84,203600,PRMW
2013-01-31,8.82,9.07,8.73,9.06,398500,PRMW
2013-02-01,9.08,9.16,9.0,9.06,449700,PRMW
2013-02-04,9.06,9.18,9.05,9.09,391900,PRMW
2013-02-05,9.1,9.12,8.94,8.99,213100,PRMW
2013-02-06,9.0,9.02,8.93,9.02,159800,PRMW
2013-02-07,9.02,9.1,8.98,8.99,248200,PRMW
2013-02-08,9.0,9.03,8.92,8.92,97100,PRMW
2013-02-11,8.93,9.0,8.88,8.96,174300,PRMW
2013-02-12,8.95,9.01,8.92,8.98,411700,PRMW
2013-02-13,8.96,9.0,8.8,8.9,197000,PRMW
2013-02-14,8.89,8.93,8.59,8.6,649000,PRMW
2013-02-15,8.56,9.0,8.4,8.96,1319400,PRMW
2013-02-19,8.91,9.43,8.91,9.39,1410500,PRMW
2013-02-20,9.33,9.38,9.13,9.2,1107100,PRMW
2013-02-21,9.2,9.33,9.15,9.26,600500,PRMW
2013-02-22,9.29,9.41,9.23,9.35,486400,PRMW
2013-02-25,9.35,9.43,9.29,9.31,301000,PRMW
2013-02-26,9.34,9.38,9.15,9.36,405700,PRMW
2013-02-27,9.37,9.44,9.29,9.39,259100,PRMW
2013-02-28,9.4,9.59,9.36,9.55,354400,PRMW
2013-03-01,9.55,9.55,9.38,9.5,249200,PRMW
2013-03-04,9.45,9.51,9.44,9.47,383500,PRMW
2013-03-05,9.5,9.52,9.38,9.51,305900,PRMW
2013-03-06,9.53,9.63,9.39,9.42,353000,PRMW
2013-03-07,9.42,9.53,9.39,9.5,377500,PRMW
2013-03-08,9.5,9.56,9.45,9.46,358800,PRMW
2013-03-11,9.48,9.51,9.38,9.5,343900,PRMW
2013-03-12,9.53,9.53,9.4,9.45,331700,PRMW
2013-03-13,9.46,9.5,9.37,9.45,188900,PRMW
2013-03-14,9.48,9.61,9.39,9.6,885700,PRMW
2013-03-15,9.6,9.62,9.55,9.59,271200,PRMW
2013-03-18,9.5,9.67,9.43,9.65,240600,PRMW
2013-03-19,9.64,9.81,9.64,9.73,303000,PRMW
2013-03-20,9.79,9.86,9.74,9.84,390100,PRMW
2013-03-21,9.84,9.98,9.8,9.87,391500,PRMW
2013-03-22,9.88,9.95,9.82,9.9,208800,PRMW
2013-03-25,9.95,9.99,9.91,9.93,371000,PRMW
2013-03-26,9.97,9.98,9.9,9.91,638300,PRMW
2013-03-27,9.93,10.0,9.82,9.99,631100,PRMW
2013-03-28,9.98,10.15,9.97,10.12,491900,PRMW
2013-04-01,10.14,10.23,10.07,10.22,404600,PRMW
2013-04-02,10.24,10.38,10.2,10.29,260500,PRMW
2013-04-03,10.33,10.36,10.0,10.05,261600,PRMW
2013-04-04,10.07,10.23,10.07,10.17,550600,PRMW
2013-04-05,10.04,10.14,10.04,10.11,570400,PRMW
2013-04-08,10.14,10.14,10.05,10.1,528400,PRMW
2013-04-09,10.11,10.34,10.1,10.3,441400,PRMW
2013-04-10,10.28,10.45,10.28,10.36,711500,PRMW
2013-04-11,10.37,10.48,10.37,10.47,464400,PRMW
2013-04-12,10.48,10.5,10.37,10.42,521200,PRMW
2013-04-15,10.4,10.41,10.21,10.24,460700,PRMW
2013-04-16,10.33,10.5,10.32,10.46,820900,PRMW
2013-04-17,10.46,10.61,10.41,10.5,734800,PRMW
2013-04-18,10.49,10.85,10.49,10.71,1543300,PRMW
2013-04-19,10.53,10.8,10.52,10.75,814200,PRMW
2013-04-22,10.74,10.82,10.7,10.82,664800,PRMW
2013-04-23,10.88,11.05,10.82,10.94,807700,PRMW
2013-04-24,10.99,11.09,10.94,10.96,886100,PRMW
2013-04-25,11.08,11.1,10.95,11.08,755300,PRMW
2013-04-26,11.09,11.25,11.05,11.13,652800,PRMW
2013-04-29,11.19,11.19,11.0,11.05,394800,PRMW
2013-04-30,11.0,11.08,10.87,10.95,639500,PRMW
2013-05-01,10.02,10.15,9.39,9.43,2004300,PRMW
2013-05-02,9.36,9.37,9.16,9.29,1510300,PRMW
2013-05-03,9.35,9.35,8.9,9.06,1149800,PRMW
2013-05-06,9.03,9.09,8.97,8.98,805700,PRMW
2013-05-07,8.97,9.1,8.94,8.99,536300,PRMW
2013-05-08,8.96,8.99,8.92,8.95,316300,PRMW
2013-05-09,8.92,8.98,8.78,8.79,501100,PRMW
2013-05-10,8.76,8.86,8.72,8.84,445700,PRMW
2013-05-13,8.87,8.88,8.62,8.67,414400,PRMW
2013-05-14,8.65,8.75,8.61,8.73,366600,PRMW
2013-05-15,8.69,8.78,8.65,8.75,489000,PRMW
2013-05-16,8.74,8.95,8.74,8.88,499200,PRMW
2013-05-17,8.88,8.97,8.84,8.88,504000,PRMW
2013-05-20,8.86,8.88,8.73,8.76,400300,PRMW
2013-05-21,8.85,8.88,8.7,8.78,406300,PRMW
2013-05-22,8.77,8.8,8.59,8.59,382600,PRMW
2013-05-23,8.58,8.58,8.47,8.5,352700,PRMW
2013-05-24,8.44,8.55,8.38,8.51,403900,PRMW
2013-05-28,8.77,8.77,8.49,8.5,367000,PRMW
2013-05-29,8.49,8.53,8.33,8.37,335000,PRMW
2013-05-30,8.4,8.44,8.25,8.26,299300,PRMW
2013-05-31,8.27,8.28,8.13,8.19,304200,PRMW
2013-06-03,8.16,8.16,8.03,8.08,671200,PRMW
2013-06-04,8.05,8.21,7.99,8.07,645200,PRMW
2013-06-05,8.08,8.13,8.02,8.1,501100,PRMW
2013-06-06,8.12,8.23,8.06,8.14,444100,PRMW
2013-06-07,8.16,8.25,8.02,8.05,321900,PRMW
2013-06-10,8.06,8.15,7.93,8.13,338300,PRMW
2013-06-11,8.1,8.11,7.95,7.99,299700,PRMW
2013-06-12,7.99,8.14,7.96,8.11,328800,PRMW
2013-06-13,8.11,8.11,8.03,8.09,164200,PRMW
2013-06-14,8.09,8.13,7.95,7.98,178200,PRMW
2013-06-17,7.99,8.08,7.9,7.98,214400,PRMW
2013-06-18,7.98,7.99,7.86,7.97,390000,PRMW
2013-06-19,7.92,8.01,7.79,7.84,491900,PRMW
2013-06-20,7.73,7.8,7.58,7.6,691700,PRMW
2013-06-21,7.61,7.67,7.53,7.64,502400,PRMW
2013-06-24,7.57,7.64,7.39,7.56,454100,PRMW
2013-06-25,7.6,7.65,7.54,7.6,533900,PRMW
2013-06-26,7.63,7.79,7.63,7.69,470800,PRMW
2013-06-27,7.74,7.81,7.68,7.71,409300,PRMW
2013-06-28,7.67,7.88,7.63,7.81,596500,PRMW
2013-07-01,7.85,8.06,7.81,8.0,458800,PRMW
2013-07-02,7.93,8.06,7.9,7.97,501900,PRMW
2013-07-03,7.92,7.98,7.82,7.91,159600,PRMW
2013-07-05,7.92,8.0,7.82,7.86,277800,PRMW
2013-07-08,7.86,7.97,7.77,7.82,173700,PRMW
2013-07-09,7.85,8.08,7.81,7.97,291600,PRMW
2013-07-10,8.0,8.12,7.96,7.99,218300,PRMW
2013-07-11,8.09,8.18,8.0,8.17,202400,PRMW
2013-07-12,8.19,8.41,8.19,8.3,381600,PRMW
2013-07-15,8.27,8.35,8.15,8.2,317900,PRMW
2013-07-16,8.16,8.24,8.15,8.21,438000,PRMW
2013-07-17,8.2,8.34,8.2,8.32,335400,PRMW
2013-07-18,8.32,8.45,8.28,8.38,508300,PRMW
2013-07-19,8.32,8.41,8.32,8.38,163600,PRMW
2013-07-22,8.41,8.45,8.37,8.41,233600,PRMW
2013-07-23,8.41,8.44,8.37,8.43,149800,PRMW
2013-07-24,8.45,8.59,8.42,8.51,748500,PRMW
2013-07-25,8.49,8.57,8.49,8.55,405800,PRMW
2013-07-26,8.5,8.56,8.46,8.53,649000,PRMW
2013-07-29,8.49,8.51,8.38,8.43,507000,PRMW
2013-07-30,8.4,8.47,8.34,8.38,487700,PRMW
2013-07-31,8.41,8.48,8.36,8.37,828600,PRMW
2013-08-01,8.38,8.84,8.29,8.75,1829000,PRMW
2013-08-02,8.77,8.81,8.62,8.64,466500,PRMW
2013-08-05,8.63,8.65,8.52,8.65,188100,PRMW
2013-08-06,8.65,8.7,8.53,8.56,244700,PRMW
2013-08-07,8.53,8.58,8.49,8.5,194800,PRMW
2013-08-08,8.55,8.55,8.43,8.49,285200,PRMW
2013-08-09,8.49,8.49,8.36,8.38,214400,PRMW
2013-08-12,8.32,8.4,8.23,8.35,324700,PRMW
2013-08-13,8.34,8.4,8.27,8.29,113800,PRMW
2013-08-14,8.27,8.28,8.14,8.26,359700,PRMW
2013-08-15,8.18,8.23,8.11,8.12,222800,PRMW
2013-08-16,8.15,8.15,8.01,8.12,235200,PRMW
2013-08-19,8.07,8.07,7.94,7.98,334100,PRMW
2013-08-20,7.96,8.04,7.94,8.04,266200,PRMW
2013-08-21,8.01,8.04,7.92,7.99,720300,PRMW
2013-08-22,8.01,8.05,7.95,8.0,205300,PRMW
2013-08-23,8.0,8.05,7.89,8.01,356800,PRMW
2013-08-26,8.0,8.14,7.95,7.97,367400,PRMW
2013-08-27,7.87,7.98,7.85,7.9,436500,PRMW
2013-08-28,7.88,7.96,7.87,7.9,291000,PRMW
2013-08-29,7.88,7.95,7.85,7.9,213800,PRMW
2013-08-30,7.88,8.04,7.88,7.99,301700,PRMW
2013-09-03,8.0,8.07,7.99,7.99,430600,PRMW
2013-09-04,7.97,8.1,7.92,8.01,1554300,PRMW
2013-09-05,8.04,8.23,8.0,8.17,698700,PRMW
2013-09-06,8.23,8.24,8.0,8.0,217800,PRMW
2013-09-09,8.04,8.07,7.96,8.03,449300,PRMW
2013-09-10,8.08,8.11,8.03,8.07,561500,PRMW
2013-09-11,8.08,8.2,8.02,8.17,634500,PRMW
2013-09-12,8.17,8.22,8.02,8.02,215400,PRMW
2013-09-13,8.06,8.06,8.01,8.02,173200,PRMW
2013-09-16,8.07,8.1,7.97,8.03,543000,PRMW
2013-09-17,8.05,8.21,8.0,8.1,403700,PRMW
2013-09-18,8.09,8.29,8.02,8.24,418800,PRMW
2013-09-19,8.27,8.28,8.12,8.13,204300,PRMW
2013-09-20,8.15,8.16,8.01,8.01,206400,PRMW
