Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,19.709999,19.99,19.610001,19.98,3407100,TSN
2013-01-03,19.92,20.5,19.83,20.35,5739000,TSN
2013-01-04,20.33,20.440001,20.15,20.34,4163200,TSN
2013-01-07,20.219999,20.299999,20.030001,20.219999,3549500,TSN
2013-01-08,20.25,20.389999,20.129999,20.32,4083200,TSN
2013-01-09,20.309999,20.32,20.07,20.280001,4621300,TSN
2013-01-10,20.360001,20.370001,20.110001,20.16,2591900,TSN
2013-01-11,20.23,20.34,20.01,20.32,2802500,TSN
2013-01-14,20.34,20.5,20.200001,20.450001,1825500,TSN
2013-01-15,20.360001,20.440001,20.219999,20.41,1443400,TSN
2013-01-16,20.33,20.530001,20.33,20.459999,1346800,TSN
2013-01-17,20.51,21.440001,20.5,21.23,7872800,TSN
2013-01-18,21.549999,22.1,21.530001,21.85,13498500,TSN
2013-01-22,21.799999,22.17,21.76,22.15,5025300,TSN
2013-01-23,22.08,22.360001,21.879999,22.27,4997100,TSN
2013-01-24,22.24,22.41,22.139999,22.299999,2497400,TSN
2013-01-25,22.309999,22.5,22.24,22.440001,2417900,TSN
2013-01-28,22.450001,22.5,22.24,22.26,3656100,TSN
2013-01-29,22.790001,22.860001,22.469999,22.5,7734000,TSN
2013-01-30,22.459999,22.58,22.08,22.209999,6008600,TSN
2013-01-31,22.15,22.42,22.08,22.120001,5957300,TSN
2013-02-01,22.950001,23.040001,22.65,22.799999,8425500,TSN
2013-02-04,22.5,23.120001,22.290001,22.83,6745400,TSN
2013-02-05,22.9,23.15,22.879999,23.059999,3691200,TSN
2013-02-06,23.0,23.459999,22.99,23.389999,4756100,TSN
2013-02-07,23.440001,23.9,23.41,23.77,9338000,TSN
2013-02-08,23.73,23.809999,23.58,23.780001,5680600,TSN
2013-02-11,23.690001,23.76,23.469999,23.639999,2699600,TSN
2013-02-12,23.709999,23.75,23.43,23.51,4220400,TSN
2013-02-13,23.52,23.92,23.52,23.860001,4463500,TSN
2013-02-14,23.860001,24.24,23.780001,24.219999,4730900,TSN
2013-02-15,24.059999,24.219999,23.91,24.01,5145000,TSN
2013-02-19,24.120001,24.309999,23.889999,24.129999,4787600,TSN
2013-02-20,24.08,24.139999,23.51,23.559999,8058700,TSN
2013-02-21,23.52,23.549999,23.1,23.4,5373500,TSN
2013-02-22,23.5,23.93,23.42,23.799999,4261000,TSN
