Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,77.849998,77.849998,74.300003,76.550003,275860,CRK
2013-01-03,76.349998,77.349998,75.0,76.0,205260,CRK
2013-01-04,76.300003,77.099998,75.300003,75.699997,270400,CRK
2013-01-07,75.5,77.099998,74.199997,76.650002,345840,CRK
2013-01-08,76.5,76.949997,75.199997,76.150002,254380,CRK
2013-01-09,76.5,76.5,68.800003,70.199997,782640,CRK
2013-01-10,70.449997,73.900002,69.949997,72.699997,700840,CRK
2013-01-11,76.400002,77.449997,73.0,74.199997,263540,CRK
2013-01-14,74.0,74.800003,72.800003,73.25,182700,CRK
2013-01-15,72.75,73.800003,72.599998,73.599998,202040,CRK
2013-01-16,73.349998,73.400002,71.650002,72.800003,151940,CRK
2013-01-17,73.050003,74.25,72.75,73.599998,155160,CRK
2013-01-18,73.5,74.550003,72.550003,74.5,186040,CRK
2013-01-22,73.050003,75.199997,70.5,74.75,474640,CRK
2013-01-23,74.25,75.349998,73.150002,73.25,178400,CRK
2013-01-24,73.300003,73.650002,71.5,71.949997,254780,CRK
2013-01-25,71.849998,73.400002,71.300003,72.199997,175440,CRK
2013-01-28,72.150002,72.800003,69.599998,72.050003,267300,CRK
2013-01-29,72.0,74.449997,71.5,74.25,251660,CRK
2013-01-30,74.800003,75.599998,72.800003,73.349998,278920,CRK
2013-01-31,73.199997,73.949997,71.0,72.949997,188460,CRK
2013-02-01,73.599998,73.949997,71.099998,72.849998,270200,CRK
2013-02-04,71.849998,72.550003,70.75,70.800003,135020,CRK
2013-02-05,71.25,72.0,70.400002,71.150002,267940,CRK
2013-02-06,70.75,73.050003,70.650002,73.0,176020,CRK
2013-02-07,72.800003,73.349998,71.050003,71.150002,204880,CRK
2013-02-08,71.199997,71.5,70.25,70.949997,182800,CRK
2013-02-11,70.650002,72.349998,68.699997,70.949997,232540,CRK
2013-02-12,67.5,69.400002,64.800003,65.349998,966940,CRK
2013-02-13,65.099998,69.449997,64.150002,68.849998,479360,CRK
2013-02-14,68.599998,70.550003,67.400002,70.0,354260,CRK
2013-02-15,69.650002,70.050003,67.949997,68.599998,352400,CRK
2013-02-19,69.099998,70.300003,67.900002,70.300003,295960,CRK
2013-02-20,70.300003,70.300003,68.5,68.5,346660,CRK
2013-02-21,68.349998,68.800003,65.599998,68.199997,257820,CRK
2013-02-22,68.550003,69.400002,67.75,69.150002,198180,CRK
2013-02-25,69.849998,72.25,69.0,69.25,273900,CRK
2013-02-26,69.5,70.150002,67.849998,69.300003,296080,CRK
2013-02-27,69.199997,71.050003,68.5,70.150002,241480,CRK
2013-02-28,70.050003,71.5,68.75,70.599998,202460,CRK
2013-03-01,69.900002,71.050003,68.550003,70.199997,249620,CRK
2013-03-04,69.849998,71.199997,69.050003,70.5,237040,CRK
2013-03-05,70.900002,72.699997,70.900002,71.449997,158960,CRK
2013-03-06,71.599998,74.300003,71.300003,73.599998,265120,CRK
2013-03-07,73.5,79.400002,72.400002,79.150002,344480,CRK
2013-03-08,79.5,80.550003,78.050003,79.800003,216800,CRK
2013-03-11,79.25,80.0,78.150002,79.699997,151400,CRK
2013-03-12,79.949997,79.949997,76.949997,77.849998,163700,CRK
2013-03-13,78.25,79.099998,74.599998,75.599998,307900,CRK
2013-03-14,75.949997,79.900002,75.800003,79.800003,374460,CRK
2013-03-15,88.349998,94.300003,87.099998,90.0,1115780,CRK
2013-03-18,88.25,91.400002,88.25,89.849998,486960,CRK
2013-03-19,90.75,90.800003,85.75,87.5,408680,CRK
2013-03-20,88.400002,88.449997,86.5,86.699997,319060,CRK
2013-03-21,86.099998,88.5,85.5,85.599998,437880,CRK
2013-03-22,86.5,87.900002,83.5,83.949997,310360,CRK
2013-03-25,82.25,84.0,80.400002,81.0,345880,CRK
2013-03-26,81.550003,83.550003,81.349998,83.050003,249700,CRK
2013-03-27,82.300003,83.150002,81.699997,82.099998,225040,CRK
2013-03-28,82.050003,83.0,80.800003,81.25,194080,CRK
2013-04-01,80.900002,81.050003,78.050003,78.900002,337960,CRK
2013-04-02,79.050003,79.050003,74.599998,74.949997,434420,CRK
2013-04-03,75.0,75.0,71.650002,72.099998,348860,CRK
2013-04-04,71.699997,73.800003,70.550003,72.800003,312060,CRK
2013-04-05,72.349998,77.300003,72.300003,77.25,533760,CRK
2013-04-08,77.849998,78.0,75.800003,77.349998,430680,CRK
2013-04-09,77.5,81.199997,77.300003,80.650002,345980,CRK
2013-04-10,80.900002,84.0,80.900002,83.25,305840,CRK
2013-04-11,83.199997,86.75,83.0,85.150002,311620,CRK
2013-04-12,84.050003,85.199997,82.550003,83.050003,263140,CRK
2013-04-15,81.199997,81.5,76.900002,77.050003,246240,CRK
2013-04-16,78.300003,81.650002,76.650002,80.099998,447660,CRK
2013-04-17,79.349998,79.949997,77.0,79.25,317520,CRK
2013-04-18,79.849998,82.5,77.75,80.949997,257560,CRK
2013-04-19,81.25,81.400002,77.75,80.449997,208160,CRK
2013-04-22,80.550003,81.849998,78.449997,81.150002,199380,CRK
2013-04-23,81.349998,82.199997,79.150002,79.5,216060,CRK
2013-04-24,79.5,81.900002,79.25,81.5,225600,CRK
2013-04-25,81.949997,83.349998,80.650002,81.150002,205380,CRK
2013-04-26,80.699997,81.099998,78.150002,79.449997,227480,CRK
2013-04-29,81.300003,81.699997,78.0,79.0,453700,CRK
2013-04-30,78.949997,81.75,77.800003,78.300003,527600,CRK
2013-05-01,78.300003,80.5,75.800003,78.449997,351100,CRK
2013-05-02,76.599998,77.849998,74.650002,76.099998,382280,CRK
2013-05-03,77.199997,79.599998,76.599998,77.75,275440,CRK
2013-05-06,77.699997,80.150002,77.0,80.0,150700,CRK
2013-05-07,80.599998,83.5,80.449997,82.199997,221220,CRK
2013-05-08,82.400002,83.849998,81.050003,83.050003,146960,CRK
2013-05-09,83.099998,85.25,81.699997,83.550003,152480,CRK
2013-05-10,82.949997,85.449997,81.699997,85.050003,145880,CRK
2013-05-13,84.650002,86.800003,84.300003,86.550003,197320,CRK
2013-05-14,86.449997,89.050003,86.349998,88.800003,144980,CRK
2013-05-15,88.0,91.099998,86.199997,86.75,276800,CRK
2013-05-16,84.349998,85.5,80.5,81.099998,344300,CRK
2013-05-17,81.75,83.0,80.949997,82.75,347380,CRK
2013-05-20,82.650002,85.349998,82.349998,85.150002,223740,CRK
2013-05-21,85.5,87.800003,85.349998,86.150002,168260,CRK
2013-05-22,86.0,88.050003,84.349998,85.349998,278580,CRK
2013-05-23,84.599998,86.599998,83.699997,86.25,157460,CRK
2013-05-24,85.449997,87.150002,85.099998,85.199997,211000,CRK
2013-05-28,86.800003,87.400002,85.349998,86.650002,256380,CRK
2013-05-29,85.449997,87.849998,84.400002,85.5,181000,CRK
2013-05-30,85.25,85.75,83.599998,83.650002,157520,CRK
2013-05-31,82.849998,84.050003,80.550003,80.650002,197020,CRK
2013-06-03,80.650002,82.25,79.400002,80.849998,169740,CRK
2013-06-04,80.650002,82.349998,80.150002,82.0,157860,CRK
2013-06-05,82.050003,82.900002,81.25,82.0,119800,CRK
2013-06-06,81.849998,83.050003,81.199997,82.5,146420,CRK
2013-06-07,82.849998,86.099998,82.75,86.099998,137620,CRK
2013-06-10,86.099998,86.849998,84.699997,86.849998,211540,CRK
2013-06-11,85.25,85.800003,84.150002,84.599998,108520,CRK
2013-06-12,85.599998,85.599998,83.5,83.949997,68840,CRK
2013-06-13,83.550003,86.300003,83.0,85.949997,109340,CRK
2013-06-14,86.199997,86.199997,82.800003,82.949997,91780,CRK
2013-06-17,84.099998,86.050003,83.699997,85.150002,126860,CRK
2013-06-18,85.5,86.550003,85.25,86.0,103400,CRK
2013-06-19,86.050003,88.25,86.050003,86.400002,131760,CRK
2013-06-20,84.5,84.550003,80.300003,80.849998,152160,CRK
2013-06-21,81.099998,81.900002,79.150002,81.599998,247280,CRK
2013-06-24,79.75,82.650002,77.949997,80.900002,158780,CRK
2013-06-25,82.150002,82.25,79.800003,82.099998,111620,CRK
2013-06-26,82.699997,83.199997,80.949997,81.900002,108980,CRK
2013-06-27,82.449997,83.099998,79.449997,80.0,238520,CRK
2013-06-28,80.150002,81.25,78.449997,78.650002,164040,CRK
2013-07-01,79.449997,80.800003,78.75,80.0,103020,CRK
2013-07-02,80.0,81.449997,79.650002,80.25,149300,CRK
2013-07-03,80.099998,80.550003,77.900002,78.099998,109380,CRK
2013-07-05,79.150002,79.300003,77.650002,78.199997,124500,CRK
2013-07-08,78.650002,79.900002,78.449997,79.099998,181840,CRK
2013-07-09,80.0,80.699997,78.25,80.25,138480,CRK
2013-07-10,80.5,82.25,80.5,82.050003,144020,CRK
2013-07-11,83.400002,85.449997,82.150002,82.550003,167420,CRK
2013-07-12,82.650002,83.300003,81.849998,83.25,106660,CRK
2013-07-15,83.599998,83.900002,82.199997,82.199997,102180,CRK
2013-07-16,82.75,85.150002,81.650002,84.949997,255360,CRK
2013-07-17,85.150002,85.800003,84.25,85.5,181740,CRK
2013-07-18,86.0,90.050003,85.900002,89.25,293880,CRK
2013-07-19,89.650002,91.150002,88.75,90.650002,139760,CRK
2013-07-22,90.25,90.900002,89.0,89.25,103740,CRK
2013-07-23,89.150002,90.599998,88.75,89.199997,146600,CRK
2013-07-24,89.150002,89.150002,87.699997,88.050003,121020,CRK
2013-07-25,87.699997,92.099998,87.349998,90.199997,109900,CRK
2013-07-26,89.599998,90.800003,89.050003,90.349998,138840,CRK
2013-07-29,89.550003,89.949997,87.949997,89.349998,233640,CRK
2013-07-30,85.25,87.550003,82.599998,84.300003,716840,CRK
2013-07-31,85.300003,86.150002,82.599998,83.849998,254820,CRK
2013-08-01,85.099998,86.550003,83.75,84.75,200740,CRK
2013-08-02,84.449997,85.400002,83.699997,84.5,170660,CRK
2013-08-05,84.400002,85.599998,82.900002,84.400002,205380,CRK
2013-08-06,84.349998,84.599998,82.800003,83.400002,132000,CRK
2013-08-07,83.199997,83.199997,80.900002,81.300003,218200,CRK
2013-08-08,81.800003,82.599998,79.599998,80.5,345460,CRK
2013-08-09,80.349998,81.550003,80.0,80.400002,230480,CRK
2013-08-12,80.300003,81.050003,79.949997,80.800003,155520,CRK
2013-08-13,80.949997,81.050003,78.800003,80.449997,114180,CRK
2013-08-14,80.400002,80.599998,78.949997,79.25,142720,CRK
2013-08-15,78.5,79.449997,77.199997,78.900002,149340,CRK
2013-08-16,78.550003,78.800003,76.800003,77.400002,128480,CRK
2013-08-19,77.5,77.650002,74.349998,74.699997,132520,CRK
2013-08-20,74.699997,75.949997,73.800003,74.75,111940,CRK
2013-08-21,74.25,74.5,72.099998,72.400002,199660,CRK
2013-08-22,72.650002,75.0,72.5,74.349998,176220,CRK
2013-08-23,74.449997,75.699997,73.599998,75.449997,167740,CRK
2013-08-26,75.449997,76.300003,74.650002,74.800003,113820,CRK
2013-08-27,74.199997,75.400002,74.150002,75.0,295780,CRK
2013-08-28,75.25,76.650002,74.900002,75.5,298160,CRK
2013-08-29,75.400002,75.949997,74.199997,74.5,100880,CRK
2013-08-30,74.449997,74.75,72.900002,73.0,91600,CRK
2013-09-03,74.349998,75.050003,71.599998,72.0,194380,CRK
2013-09-04,71.199997,72.900002,71.050003,72.449997,203800,CRK
