Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,25.42,26.0,25.42,25.99,82800,SUN
2013-01-03,25.950001,27.0,25.66,26.860001,43900,SUN
2013-01-04,26.469999,26.85,25.98,26.76,60700,SUN
2013-01-07,26.780001,26.969999,26.27,26.809999,36800,SUN
2013-01-08,26.9,27.469999,26.809999,27.219999,73100,SUN
2013-01-09,27.469999,28.4,27.18,28.299999,123100,SUN
2013-01-10,28.27,28.889999,27.91,28.639999,74100,SUN
2013-01-11,28.639999,28.99,28.280001,28.709999,93700,SUN
2013-01-14,28.77,28.950001,28.049999,28.790001,79200,SUN
2013-01-15,28.459999,28.92,28.43,28.68,31300,SUN
2013-01-16,28.809999,29.25,28.74,29.110001,98200,SUN
2013-01-17,29.25,30.120001,28.530001,28.719999,90700,SUN
2013-01-18,28.620001,29.41,28.620001,28.969999,38500,SUN
2013-01-22,28.959999,29.370001,28.940001,28.99,30300,SUN
2013-01-23,28.93,29.129999,28.83,28.879999,13400,SUN
2013-01-24,29.01,29.139999,28.84,28.93,17000,SUN
2013-01-25,29.059999,29.139999,28.75,28.950001,38300,SUN
2013-01-28,29.049999,29.049999,28.809999,28.93,16100,SUN
2013-01-29,29.059999,29.110001,28.860001,28.879999,26300,SUN
2013-01-30,28.83,29.120001,28.75,28.75,36100,SUN
2013-01-31,28.65,29.120001,28.65,29.0,60800,SUN
2013-02-01,28.99,29.120001,27.52,27.98,359100,SUN
2013-02-04,28.0,28.129999,27.9,27.93,24400,SUN
2013-02-05,27.969999,28.469999,27.969999,28.41,30900,SUN
2013-02-06,28.41,28.91,28.309999,28.809999,21900,SUN
2013-02-07,28.559999,28.950001,28.440001,28.66,22700,SUN
2013-02-08,28.5,29.200001,28.5,29.129999,19900,SUN
2013-02-11,29.129999,29.129999,28.84,29.0,33000,SUN
2013-02-12,29.290001,29.290001,28.389999,28.43,45100,SUN
2013-02-13,28.68,29.290001,28.0,28.299999,81500,SUN
2013-02-14,27.67,28.75,27.610001,27.75,71200,SUN
2013-02-15,27.98,28.01,26.52,26.709999,180900,SUN
2013-02-19,26.780001,28.48,25.85,28.370001,417900,SUN
