Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,11.175,11.345,11.105,11.295,810200,UGP
2013-01-03,11.165,11.24,11.03,11.18,757000,UGP
2013-01-04,11.245,11.475,11.22,11.45,656400,UGP
2013-01-07,11.48,11.54,11.425,11.505,766000,UGP
2013-01-08,11.52,11.565,11.455,11.515,532000,UGP
2013-01-09,11.515,11.555,11.445,11.5,516800,UGP
2013-01-10,11.485,11.51,11.33,11.445,510000,UGP
2013-01-11,11.465,11.47,11.38,11.445,326000,UGP
2013-01-14,11.4,11.435,11.235,11.38,577600,UGP
2013-01-15,11.315,11.41,11.3,11.37,353600,UGP
2013-01-16,11.25,11.335,11.225,11.275,346200,UGP
2013-01-17,11.29,11.37,11.22,11.24,588000,UGP
2013-01-18,11.21,11.31,11.09,11.245,931800,UGP
2013-01-22,11.175,11.215,11.075,11.18,663200,UGP
2013-01-23,11.16,11.425,11.14,11.39,536000,UGP
2013-01-24,11.365,11.39,11.14,11.275,657000,UGP
2013-01-25,11.335,11.55,11.29,11.51,870200,UGP
2013-01-28,11.55,11.75,11.535,11.705,687000,UGP
2013-01-29,11.865,12.17,11.815,12.145,1143000,UGP
2013-01-30,12.02,12.32,11.95,12.255,1654400,UGP
2013-01-31,12.145,12.26,12.015,12.05,525000,UGP
2013-02-01,11.935,12.27,11.91,12.225,820000,UGP
2013-02-04,12.155,12.155,11.995,12.015,441800,UGP
2013-02-05,12.075,12.15,12.01,12.07,816800,UGP
2013-02-06,11.96,12.16,11.865,12.065,984800,UGP
2013-02-07,12.215,12.31,12.065,12.25,525200,UGP
2013-02-08,12.275,12.515,12.23,12.415,778800,UGP
2013-02-11,12.435,12.48,12.19,12.245,181600,UGP
2013-02-12,12.305,12.305,12.18,12.235,151200,UGP
2013-02-13,12.32,12.61,12.29,12.59,735000,UGP
2013-02-14,12.54,12.715,12.495,12.71,851600,UGP
2013-02-15,12.58,12.69,12.515,12.52,727200,UGP
2013-02-19,12.55,12.635,12.53,12.585,399000,UGP
2013-02-20,12.74,12.89,12.735,12.855,907400,UGP
2013-02-21,13.185,13.37,13.05,13.26,1304800,UGP
2013-02-22,13.27,13.365,13.16,13.315,806400,UGP
2013-02-25,13.265,13.3,13.05,13.055,812600,UGP
2013-02-26,13.005,13.07,12.805,12.94,951200,UGP
2013-02-27,13.09,13.11,13.005,13.04,558000,UGP
2013-02-28,13.015,13.045,12.855,12.995,1050800,UGP
2013-03-01,12.785,12.835,12.73,12.82,1030000,UGP
2013-03-04,12.835,12.88,12.735,12.845,1567800,UGP
2013-03-05,12.96,13.0,12.89,12.91,1237200,UGP
2013-03-06,12.945,12.96,12.73,12.8,887400,UGP
2013-03-07,12.835,12.835,12.54,12.64,1044600,UGP
2013-03-08,12.765,12.82,12.675,12.715,780200,UGP
2013-03-11,12.765,12.765,12.465,12.515,623600,UGP
2013-03-12,12.45,12.845,12.415,12.735,725000,UGP
2013-03-13,12.86,12.86,12.655,12.715,785200,UGP
2013-03-14,12.715,12.76,12.61,12.64,322800,UGP
2013-03-15,12.655,12.655,12.515,12.6,446200,UGP
2013-03-18,12.555,12.69,12.5,12.645,763000,UGP
2013-03-19,12.715,12.76,12.6,12.685,581800,UGP
2013-03-20,12.665,12.705,12.58,12.635,859600,UGP
2013-03-21,12.615,12.68,12.43,12.46,1525600,UGP
2013-03-22,12.405,12.45,12.315,12.385,648200,UGP
2013-03-25,12.35,12.51,12.315,12.415,785400,UGP
2013-03-26,12.37,12.535,12.37,12.47,397200,UGP
2013-03-27,12.43,12.615,12.375,12.59,386200,UGP
2013-03-28,12.58,12.715,12.55,12.69,1391200,UGP
2013-04-01,12.69,12.69,12.57,12.65,307200,UGP
2013-04-02,12.725,12.825,12.61,12.735,784600,UGP
2013-04-03,12.68,12.75,12.615,12.66,837000,UGP
2013-04-04,12.7,12.705,12.545,12.61,583200,UGP
2013-04-05,12.495,12.63,12.415,12.6,677600,UGP
2013-04-08,12.635,12.64,12.44,12.57,840600,UGP
2013-04-09,12.705,12.955,12.675,12.86,666600,UGP
2013-04-10,12.895,13.155,12.895,13.11,707800,UGP
2013-04-11,13.12,13.155,12.985,13.085,423600,UGP
2013-04-12,13.08,13.155,12.915,13.095,683400,UGP
