Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,14.55,14.7,14.39,14.7,1225400,AGO
2013-01-03,14.63,14.89,14.49,14.8,812000,AGO
2013-01-04,14.87,15.66,14.82,15.62,1853300,AGO
2013-01-07,15.59,15.72,15.16,15.26,1228600,AGO
2013-01-08,15.2,15.26,14.87,14.9,759500,AGO
2013-01-09,14.91,15.02,14.85,14.9,894300,AGO
2013-01-10,15.04,15.04,14.78,14.91,1491400,AGO
2013-01-11,14.9,14.92,14.73,14.88,1147300,AGO
2013-01-14,14.87,14.99,14.53,14.69,862800,AGO
2013-01-15,14.54,14.71,14.23,14.62,1139000,AGO
2013-01-16,14.6,14.75,14.56,14.66,1010300,AGO
2013-01-17,14.75,14.86,14.48,14.6,1363500,AGO
2013-01-18,14.01,15.24,13.95,15.0,6309800,AGO
2013-01-22,15.02,16.15,14.96,16.1,4243900,AGO
2013-01-23,16.1,17.0,16.1,16.98,3948300,AGO
2013-01-24,16.93,16.959999,16.610001,16.700001,2505300,AGO
2013-01-25,16.77,16.93,16.67,16.82,1448400,AGO
2013-01-28,16.870001,16.940001,16.48,16.75,1565900,AGO
2013-01-29,16.780001,17.08,16.690001,17.0,2990300,AGO
2013-01-30,16.940001,18.049999,16.940001,17.9,6307600,AGO
2013-01-31,17.809999,18.219999,17.74,18.129999,3351400,AGO
2013-02-01,18.33,18.530001,18.120001,18.32,3943600,AGO
2013-02-04,18.18,18.200001,17.690001,17.84,1703500,AGO
2013-02-05,18.0,18.09,17.49,17.75,1937300,AGO
2013-02-06,19.0,19.82,18.4,19.559999,9436000,AGO
2013-02-07,19.549999,19.620001,18.780001,19.24,3973100,AGO
2013-02-08,19.299999,19.389999,18.969999,19.0,2120900,AGO
2013-02-11,18.98,19.34,18.780001,19.190001,2592600,AGO
2013-02-12,19.15,19.299999,18.870001,19.049999,4650300,AGO
2013-02-13,19.139999,19.24,18.99,19.23,2002500,AGO
2013-02-14,19.200001,19.879999,19.02,19.799999,3122900,AGO
2013-02-15,19.77,19.870001,19.59,19.709999,2125900,AGO
2013-02-19,19.620001,20.190001,19.540001,19.77,6497000,AGO
2013-02-20,19.76,19.99,18.440001,18.549999,4578600,AGO
2013-02-21,18.52,18.809999,18.35,18.59,1862700,AGO
2013-02-22,18.75,18.870001,18.700001,18.799999,1061400,AGO
2013-02-25,18.889999,19.01,17.91,17.969999,2298000,AGO
2013-02-26,18.139999,18.469999,17.9,18.33,1786100,AGO
2013-02-27,18.290001,18.459999,18.129999,18.440001,1101000,AGO
2013-02-28,18.5,19.700001,18.5,18.67,6498200,AGO
2013-03-01,18.6,18.950001,18.209999,18.860001,3052200,AGO
2013-03-04,18.85,19.799999,18.85,19.34,3002400,AGO
2013-03-05,19.5,20.030001,19.5,19.940001,2469900,AGO
2013-03-06,20.049999,20.4,19.82,20.049999,1619200,AGO
2013-03-07,20.02,20.24,19.809999,20.24,1978500,AGO
2013-03-08,20.360001,20.5,19.950001,20.18,1551200,AGO
2013-03-11,20.18,20.440001,20.129999,20.23,1160300,AGO
2013-03-12,20.26,20.780001,20.26,20.65,2235200,AGO
2013-03-13,20.629999,20.9,20.5,20.639999,1364900,AGO
2013-03-14,20.68,20.959999,20.629999,20.950001,1265900,AGO
2013-03-15,20.83,20.99,20.51,20.559999,1772700,AGO
2013-03-18,20.200001,20.889999,20.110001,20.51,1556100,AGO
2013-03-19,20.549999,20.68,19.959999,20.129999,1871000,AGO
2013-03-20,20.23,20.76,20.18,20.559999,1690600,AGO
2013-03-21,20.43,20.809999,20.42,20.440001,1204800,AGO
2013-03-22,20.549999,21.299999,20.51,20.93,1847100,AGO
2013-03-25,21.02,21.27,20.389999,20.559999,1733700,AGO
2013-03-26,20.68,20.860001,20.27,20.309999,1941200,AGO
2013-03-27,20.030001,20.190001,19.83,19.98,1915300,AGO
2013-03-28,20.07,20.629999,19.98,20.610001,1619600,AGO
2013-04-01,20.540001,20.9,19.84,19.940001,2192800,AGO
2013-04-02,20.059999,20.34,19.790001,20.0,2432400,AGO
2013-04-03,19.99,20.049999,19.139999,19.620001,2185000,AGO
2013-04-04,19.68,19.92,19.48,19.639999,1104300,AGO
2013-04-05,19.26,20.030001,19.24,19.84,1172400,AGO
2013-04-08,19.870001,20.32,19.709999,20.280001,1910500,AGO
2013-04-09,20.35,20.790001,20.139999,20.139999,1389600,AGO
2013-04-10,20.24,20.52,20.07,20.49,1351700,AGO
2013-04-11,20.5,20.67,20.290001,20.559999,1247500,AGO
2013-04-12,20.450001,20.68,19.959999,20.139999,899400,AGO
2013-04-15,19.98,20.059999,19.33,19.389999,1740200,AGO
2013-04-16,19.629999,19.75,19.43,19.709999,1206300,AGO
2013-04-17,19.530001,19.65,19.1,19.16,1279500,AGO
2013-04-18,19.23,19.34,18.92,19.09,888300,AGO
2013-04-19,19.24,19.719999,19.17,19.68,871000,AGO
2013-04-22,19.76,20.01,19.459999,20.0,1520100,AGO
2013-04-23,20.17,20.43,20.08,20.280001,1285000,AGO
2013-04-24,20.26,20.35,19.93,20.280001,1163000,AGO
2013-04-25,20.440001,20.77,20.25,20.709999,1192600,AGO
2013-04-26,20.66,20.969999,20.450001,20.75,1289600,AGO
2013-04-29,20.809999,21.01,20.549999,20.66,824200,AGO
2013-04-30,20.450001,20.780001,20.389999,20.629999,1048500,AGO
2013-05-01,20.530001,20.799999,20.309999,20.66,1539400,AGO
2013-05-02,20.68,20.959999,20.530001,20.85,837400,AGO
2013-05-03,21.0,21.26,20.790001,20.83,1157700,AGO
2013-05-06,21.209999,22.459999,21.209999,22.18,6593600,AGO
2013-05-07,22.23,22.73,21.969999,22.6,3646600,AGO
2013-05-08,22.709999,23.360001,22.540001,23.200001,4051100,AGO
2013-05-09,23.26,23.77,22.790001,23.67,4165200,AGO
2013-05-10,23.73,24.24,23.48,24.08,4298800,AGO
2013-05-13,24.15,24.280001,23.940001,24.09,2047600,AGO
2013-05-14,24.09,24.620001,24.040001,24.610001,1783000,AGO
2013-05-15,24.59,24.73,24.219999,24.23,2024900,AGO
2013-05-16,24.24,24.459999,23.860001,23.959999,1395700,AGO
2013-05-17,24.040001,24.110001,23.91,23.950001,1074200,AGO
2013-05-20,23.84,24.18,23.73,24.110001,1759000,AGO
2013-05-21,24.139999,24.299999,23.74,23.84,1442300,AGO
2013-05-22,23.82,23.92,23.1,23.360001,2213000,AGO
2013-05-23,23.02,23.34,22.58,23.09,1780100,AGO
2013-05-24,22.950001,22.950001,22.469999,22.65,1488100,AGO
2013-05-28,23.0,23.309999,22.75,22.860001,925200,AGO
2013-05-29,22.620001,22.92,22.440001,22.76,1364300,AGO
2013-05-30,22.780001,23.280001,22.780001,23.209999,2007400,AGO
2013-05-31,23.08,23.41,22.610001,22.620001,1006400,AGO
2013-06-03,22.540001,23.139999,22.33,22.469999,1942400,AGO
2013-06-04,22.52,22.709999,21.870001,22.15,2918900,AGO
2013-06-05,22.139999,22.4,21.879999,22.25,1665200,AGO
2013-06-06,22.309999,22.99,22.200001,22.99,1501900,AGO
2013-06-07,23.219999,23.48,22.940001,22.969999,2697200,AGO
