Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,20.0,20.1,19.74,19.98,685200,CATY
2013-01-03,19.4,19.709999,19.35,19.549999,682200,CATY
2013-01-04,19.67,19.9,19.58,19.75,442100,CATY
2013-01-07,19.549999,19.84,19.450001,19.719999,210400,CATY
2013-01-08,19.639999,19.73,19.440001,19.530001,265500,CATY
2013-01-09,19.639999,19.969999,19.6,19.780001,264000,CATY
2013-01-10,19.9,19.940001,19.66,19.809999,177300,CATY
2013-01-11,19.440001,19.549999,19.16,19.24,322100,CATY
2013-01-14,19.219999,19.32,18.950001,19.18,476600,CATY
2013-01-15,19.09,19.6,19.02,19.559999,264700,CATY
2013-01-16,19.5,19.709999,19.440001,19.629999,225500,CATY
2013-01-17,19.68,19.9,19.530001,19.77,279200,CATY
2013-01-18,19.73,19.85,19.49,19.59,477400,CATY
2013-01-22,19.629999,19.969999,19.620001,19.969999,477600,CATY
2013-01-23,19.959999,19.98,19.74,19.780001,219900,CATY
2013-01-24,19.629999,19.719999,18.799999,19.059999,789200,CATY
2013-01-25,19.190001,19.309999,19.030001,19.26,412200,CATY
2013-01-28,19.26,19.549999,19.07,19.48,253800,CATY
2013-01-29,19.41,19.58,19.299999,19.5,271000,CATY
2013-01-30,19.42,19.58,19.379999,19.459999,277800,CATY
2013-01-31,19.450001,19.65,19.370001,19.41,283600,CATY
2013-02-01,19.57,19.799999,19.450001,19.690001,287100,CATY
2013-02-04,19.52,19.620001,19.25,19.459999,226200,CATY
2013-02-05,19.559999,19.85,19.5,19.67,358700,CATY
2013-02-06,19.559999,19.709999,19.530001,19.65,191700,CATY
2013-02-07,19.65,19.790001,19.469999,19.74,120900,CATY
2013-02-08,19.74,19.950001,19.700001,19.85,225000,CATY
2013-02-11,19.780001,19.950001,19.66,19.870001,204900,CATY
2013-02-12,19.99,20.129999,19.860001,20.059999,249200,CATY
2013-02-13,20.120001,20.309999,19.950001,20.290001,244000,CATY
2013-02-14,20.15,20.25,20.09,20.110001,126600,CATY
2013-02-15,20.280001,20.290001,20.1,20.139999,224900,CATY
2013-02-19,20.139999,20.360001,20.139999,20.32,214500,CATY
2013-02-20,20.389999,20.389999,19.719999,19.74,328200,CATY
2013-02-21,19.780001,19.870001,19.41,19.450001,298200,CATY
2013-02-22,19.610001,19.84,19.52,19.790001,388100,CATY
2013-02-25,19.959999,19.959999,19.219999,19.27,382000,CATY
2013-02-26,19.440001,19.620001,19.15,19.459999,180800,CATY
2013-02-27,19.48,19.68,19.43,19.559999,189600,CATY
2013-02-28,19.48,19.73,19.450001,19.49,233600,CATY
2013-03-01,19.26,19.59,19.07,19.33,443200,CATY
2013-03-04,19.290001,19.629999,19.290001,19.610001,207800,CATY
2013-03-05,19.68,20.059999,19.68,19.870001,309800,CATY
2013-03-06,19.959999,19.99,19.690001,19.780001,337400,CATY
2013-03-07,19.75,19.99,19.67,19.950001,207900,CATY
2013-03-08,20.110001,20.15,19.959999,20.049999,222300,CATY
2013-03-11,19.959999,20.1,19.950001,20.08,152600,CATY
2013-03-12,20.01,20.25,20.01,20.15,160300,CATY
2013-03-13,20.18,20.48,20.1,20.389999,159400,CATY
2013-03-14,20.43,20.65,20.4,20.57,235500,CATY
2013-03-15,20.6,20.700001,20.450001,20.58,878600,CATY
2013-03-18,20.27,20.540001,20.15,20.24,188200,CATY
2013-03-19,20.360001,20.52,20.120001,20.360001,165200,CATY
2013-03-20,20.530001,20.75,20.41,20.66,273400,CATY
2013-03-21,20.459999,20.530001,20.059999,20.110001,253900,CATY
2013-03-22,20.139999,20.219999,20.040001,20.120001,176500,CATY
2013-03-25,20.16,20.24,19.91,20.02,238400,CATY
2013-03-26,20.17,20.17,19.93,20.09,132400,CATY
2013-03-27,19.9,20.200001,19.84,20.16,184400,CATY
2013-03-28,20.219999,20.24,20.049999,20.120001,223100,CATY
2013-04-01,20.030001,20.129999,19.48,19.610001,320700,CATY
2013-04-02,19.690001,19.77,19.309999,19.33,218200,CATY
2013-04-03,19.41,19.41,18.99,19.0,305900,CATY
2013-04-04,19.09,19.32,19.01,19.290001,194100,CATY
2013-04-05,19.0,19.290001,18.91,19.049999,279600,CATY
2013-04-08,19.15,19.27,18.870001,19.25,154600,CATY
2013-04-09,19.35,19.35,19.049999,19.15,198500,CATY
2013-04-10,19.27,19.549999,19.190001,19.49,170900,CATY
2013-04-11,19.52,19.57,19.26,19.4,174100,CATY
2013-04-12,19.219999,19.57,19.059999,19.209999,196600,CATY
2013-04-15,19.15,19.25,18.4,18.4,482800,CATY
2013-04-16,18.629999,18.780001,18.41,18.709999,299400,CATY
2013-04-17,18.48,18.83,17.870001,18.370001,625800,CATY
2013-04-18,18.74,18.879999,18.43,18.799999,573900,CATY
2013-04-19,18.799999,18.91,18.58,18.91,353600,CATY
2013-04-22,18.98,18.99,18.540001,18.93,345200,CATY
2013-04-23,19.07,19.299999,19.01,19.27,274200,CATY
2013-04-24,19.280001,19.48,19.110001,19.389999,202500,CATY
2013-04-25,19.4,19.76,19.219999,19.629999,408800,CATY
2013-04-26,19.59,19.59,19.299999,19.450001,301700,CATY
2013-04-29,19.549999,19.610001,19.370001,19.530001,131100,CATY
2013-04-30,19.57,19.709999,19.41,19.709999,301300,CATY
2013-05-01,19.66,19.709999,18.860001,18.91,436000,CATY
2013-05-02,18.969999,19.51,18.9,19.469999,379600,CATY
2013-05-03,19.77,19.950001,19.620001,19.77,220600,CATY
2013-05-06,19.73,20.18,19.59,20.01,194400,CATY
2013-05-07,20.0,20.530001,19.9,20.52,256000,CATY
2013-05-08,20.49,20.49,20.0,20.110001,345500,CATY
2013-05-09,20.059999,20.120001,19.870001,19.9,120400,CATY
2013-05-10,19.99,20.110001,19.889999,20.030001,135900,CATY
2013-05-13,20.01,20.26,19.889999,20.190001,175000,CATY
2013-05-14,20.16,20.49,20.16,20.469999,174000,CATY
2013-05-15,20.459999,20.719999,20.35,20.5,206900,CATY
2013-05-16,20.459999,20.59,20.290001,20.4,152400,CATY
2013-05-17,20.469999,20.66,20.459999,20.629999,224300,CATY
2013-05-20,20.52,20.809999,20.52,20.799999,219000,CATY
2013-05-21,20.77,21.0,20.639999,20.93,158700,CATY
2013-05-22,20.9,21.049999,20.120001,20.17,332300,CATY
2013-05-23,19.98,20.25,19.74,20.219999,429800,CATY
2013-05-24,20.120001,20.41,19.92,20.370001,139500,CATY
2013-05-28,20.610001,21.059999,20.549999,20.82,163800,CATY
2013-05-29,20.610001,20.92,20.52,20.690001,96700,CATY
2013-05-30,20.719999,21.02,20.52,20.99,125000,CATY
2013-05-31,20.82,20.950001,20.27,20.290001,345000,CATY
2013-06-03,20.35,20.629999,20.01,20.57,389400,CATY
2013-06-04,20.559999,20.76,19.799999,20.01,376800,CATY
2013-06-05,20.02,20.02,19.34,19.43,345200,CATY
2013-06-06,19.450001,20.25,19.290001,20.18,352500,CATY
2013-06-07,20.389999,20.389999,20.129999,20.26,150000,CATY
2013-06-10,20.309999,20.559999,20.190001,20.549999,111700,CATY
2013-06-11,20.23,20.459999,20.049999,20.139999,99500,CATY
2013-06-12,20.26,20.32,19.68,19.780001,135000,CATY
2013-06-13,19.73,20.24,19.690001,20.190001,108000,CATY
2013-06-14,20.1,20.190001,19.559999,19.610001,165900,CATY
2013-06-17,19.83,19.870001,19.4,19.59,225200,CATY
2013-06-18,19.67,20.049999,19.299999,19.98,284100,CATY
2013-06-19,19.959999,20.0,19.549999,19.74,179200,CATY
2013-06-20,19.4,19.92,19.4,19.49,222700,CATY
2013-06-21,19.6,19.889999,19.370001,19.709999,1318700,CATY
2013-06-24,19.51,19.799999,19.440001,19.440001,277800,CATY
2013-06-25,19.65,20.049999,19.280001,19.98,311300,CATY
2013-06-26,20.17,20.24,19.74,19.93,208800,CATY
2013-06-27,20.030001,20.49,20.030001,20.459999,198100,CATY
2013-06-28,20.379999,20.5,20.18,20.35,479100,CATY
2013-07-01,20.41,21.27,20.41,21.049999,261700,CATY
2013-07-02,21.0,21.57,20.879999,21.5,275800,CATY
2013-07-03,21.440001,21.92,21.200001,21.780001,171300,CATY
2013-07-05,22.0,22.549999,21.93,22.530001,243700,CATY
