Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,22.85,22.85,22.235001,22.375,63600,CRVL
2013-01-03,22.33,22.495001,22.004999,22.165001,34400,CRVL
2013-01-04,22.225,22.415001,22.0,22.014999,28600,CRVL
2013-01-07,21.815001,22.049999,21.815001,21.875,17000,CRVL
2013-01-08,21.67,21.870001,21.565001,21.77,42800,CRVL
2013-01-09,21.77,21.844999,21.655001,21.75,43000,CRVL
2013-01-10,21.809999,21.809999,21.535,21.73,22400,CRVL
2013-01-11,21.799999,21.825001,21.655001,21.695,24400,CRVL
2013-01-14,21.695,21.709999,21.459999,21.57,19200,CRVL
2013-01-15,21.459999,21.615,21.405001,21.555,14000,CRVL
2013-01-16,21.495001,21.495001,21.295,21.375,34000,CRVL
2013-01-17,21.375,21.860001,21.285,21.709999,46400,CRVL
2013-01-18,21.645,22.1,21.645,21.905001,25000,CRVL
2013-01-22,21.805,22.25,21.805,22.245001,20400,CRVL
2013-01-23,22.200001,22.344999,21.99,22.195,36600,CRVL
2013-01-24,22.205,22.41,22.02,22.065001,27400,CRVL
2013-01-25,22.264999,22.34,21.950001,22.299999,21400,CRVL
2013-01-28,22.275,22.825001,22.275,22.65,22400,CRVL
2013-01-29,22.629999,23.27,22.485001,22.985001,33200,CRVL
2013-01-30,22.945,23.105,22.65,23.0,107600,CRVL
2013-01-31,22.91,23.200001,22.67,22.9,60000,CRVL
2013-02-01,23.0,23.35,23.0,23.084999,31600,CRVL
2013-02-04,22.915001,22.915001,22.34,22.504999,36400,CRVL
2013-02-05,22.59,22.985001,22.58,22.895,25800,CRVL
2013-02-06,23.014999,23.200001,22.875,22.98,24200,CRVL
2013-02-07,23.030001,23.225,22.950001,23.18,25600,CRVL
2013-02-08,23.165001,23.545,23.165001,23.495001,35600,CRVL
2013-02-11,23.440001,23.65,23.285,23.379999,35200,CRVL
2013-02-12,23.575001,23.575001,23.205,23.205,21600,CRVL
2013-02-13,23.26,23.495001,22.9,23.110001,34000,CRVL
2013-02-14,23.08,23.495001,23.08,23.440001,36600,CRVL
2013-02-15,23.51,23.995001,23.344999,23.790001,31800,CRVL
2013-02-19,23.76,23.889999,23.635,23.889999,16400,CRVL
2013-02-20,23.875,23.9,23.33,23.4,33000,CRVL
2013-02-21,23.41,23.99,23.174999,23.855,38200,CRVL
2013-02-22,24.0,24.030001,23.75,23.9,24600,CRVL
2013-02-25,24.469999,24.6,23.195,23.225,51800,CRVL
2013-02-26,23.35,24.365,23.35,24.030001,139800,CRVL
2013-02-27,23.875,24.49,23.875,24.15,36400,CRVL
2013-02-28,24.16,24.43,23.6,24.02,20200,CRVL
2013-03-01,23.775,24.4,23.725,24.24,31800,CRVL
2013-03-04,24.08,24.475,23.985001,24.27,30800,CRVL
2013-03-05,24.17,24.455,24.135,24.24,24000,CRVL
2013-03-06,24.225,24.305,24.065001,24.139999,10200,CRVL
2013-03-07,24.049999,24.445,24.049999,24.344999,22400,CRVL
2013-03-08,24.465,24.639999,24.115,24.395,42800,CRVL
2013-03-11,24.299999,24.6,24.035,24.309999,27000,CRVL
2013-03-12,24.215,24.375,24.0,24.115,12000,CRVL
2013-03-13,24.165001,24.475,24.105,24.24,10800,CRVL
2013-03-14,24.254999,24.395,24.055,24.325001,23000,CRVL
2013-03-15,24.35,24.745001,24.219999,24.5,111400,CRVL
2013-03-18,24.309999,24.535,24.155001,24.165001,19800,CRVL
2013-03-19,24.190001,24.299999,24.08,24.15,17400,CRVL
2013-03-20,24.25,24.605,24.16,24.459999,26400,CRVL
2013-03-21,24.25,24.615,24.18,24.49,23200,CRVL
2013-03-22,24.49,24.860001,24.49,24.695,30000,CRVL
2013-03-25,24.525,24.809999,24.459999,24.775,20400,CRVL
2013-03-26,24.799999,24.950001,24.629999,24.885,26200,CRVL
2013-03-27,24.775,24.965,24.639999,24.76,29200,CRVL
2013-03-28,24.85,25.0,24.545,24.745001,27000,CRVL
