Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,8.92,9.05,8.92,9.05,1371400,EXG
2013-01-03,9.01,9.06,8.95,9.01,1143300,EXG
2013-01-04,8.97,9.11,8.97,9.1,1105100,EXG
2013-01-07,9.1,9.14,9.08,9.14,1214100,EXG
2013-01-08,9.14,9.16,9.09,9.14,1016200,EXG
2013-01-09,9.18,9.21,9.15,9.19,948400,EXG
2013-01-10,9.23,9.28,9.19,9.25,1507500,EXG
2013-01-11,9.27,9.31,9.25,9.29,1229800,EXG
2013-01-14,9.3,9.31,9.24,9.3,863300,EXG
2013-01-15,9.26,9.29,9.24,9.28,1193800,EXG
2013-01-16,9.23,9.28,9.23,9.27,995500,EXG
2013-01-17,9.32,9.38,9.31,9.37,1009200,EXG
2013-01-18,9.38,9.43,9.33,9.43,1314400,EXG
2013-01-22,9.18,9.34,9.18,9.32,1841500,EXG
2013-01-23,9.32,9.34,9.28,9.33,1143200,EXG
2013-01-24,9.32,9.38,9.3,9.35,1153900,EXG
2013-01-25,9.38,9.41,9.32,9.39,1424000,EXG
2013-01-28,9.4,9.42,9.35,9.39,1009700,EXG
2013-01-29,9.37,9.44,9.35,9.42,1503500,EXG
2013-01-30,9.42,9.49,9.4,9.42,1686600,EXG
2013-01-31,9.45,9.48,9.42,9.46,1478400,EXG
2013-02-01,9.52,9.54,9.45,9.52,1632500,EXG
2013-02-04,9.47,9.47,9.36,9.37,1583700,EXG
2013-02-05,9.4,9.52,9.39,9.48,1461600,EXG
2013-02-06,9.44,9.49,9.42,9.49,1000100,EXG
2013-02-07,9.5,9.5,9.37,9.46,1273800,EXG
2013-02-08,9.45,9.48,9.44,9.45,842400,EXG
2013-02-11,9.45,9.46,9.41,9.44,804100,EXG
2013-02-12,9.4,9.44,9.4,9.42,1208000,EXG
2013-02-13,9.43,9.46,9.42,9.44,1316800,EXG
2013-02-14,9.41,9.43,9.38,9.42,1467200,EXG
2013-02-15,9.44,9.45,9.39,9.41,1075300,EXG
2013-02-19,9.37,9.41,9.35,9.36,1321600,EXG
2013-02-20,9.34,9.37,9.27,9.28,1581000,EXG
2013-02-21,9.27,9.27,9.12,9.17,1421100,EXG
2013-02-22,9.2,9.24,9.19,9.22,850900,EXG
2013-02-25,9.25,9.29,9.11,9.11,1285600,EXG
2013-02-26,9.16,9.17,9.1,9.12,1151600,EXG
2013-02-27,9.14,9.27,9.12,9.25,1175000,EXG
2013-02-28,9.28,9.3,9.23,9.27,1033900,EXG
2013-03-01,9.24,9.3,9.19,9.29,1069700,EXG
2013-03-04,9.26,9.32,9.24,9.3,1121100,EXG
2013-03-05,9.33,9.4,9.33,9.39,1398900,EXG
2013-03-06,9.42,9.43,9.36,9.39,1001500,EXG
2013-03-07,9.4,9.44,9.38,9.42,1139500,EXG
2013-03-08,9.46,9.47,9.39,9.45,1025200,EXG
2013-03-11,9.45,9.48,9.43,9.48,879000,EXG
2013-03-12,9.46,9.48,9.43,9.43,700700,EXG
2013-03-13,9.43,9.48,9.4,9.45,781800,EXG
2013-03-14,9.46,9.52,9.45,9.51,1279400,EXG
2013-03-15,9.49,9.51,9.43,9.5,960900,EXG
2013-03-18,9.4,9.46,9.31,9.4,1008000,EXG
2013-03-19,9.33,9.37,9.27,9.31,1200700,EXG
2013-03-20,9.43,9.43,9.32,9.37,1338100,EXG
2013-03-21,9.37,9.37,9.27,9.3,1246000,EXG
2013-03-22,9.32,9.35,9.31,9.33,770500,EXG
2013-03-25,9.38,9.4,9.27,9.31,1216800,EXG
2013-03-26,9.35,9.38,9.34,9.36,784100,EXG
2013-03-27,9.32,9.37,9.3,9.36,897200,EXG
2013-03-28,9.4,9.4,9.32,9.32,1993800,EXG
2013-04-01,9.35,9.38,9.26,9.28,1124800,EXG
2013-04-02,9.32,9.39,9.31,9.35,941700,EXG
2013-04-03,9.31,9.35,9.25,9.28,1146900,EXG
2013-04-04,9.32,9.36,9.28,9.32,1154600,EXG
2013-04-05,9.27,9.35,9.24,9.34,1024200,EXG
2013-04-08,9.34,9.35,9.27,9.35,881600,EXG
2013-04-09,9.34,9.38,9.3,9.37,903900,EXG
2013-04-10,9.36,9.45,9.36,9.44,1426100,EXG
2013-04-11,9.43,9.49,9.43,9.45,900500,EXG
2013-04-12,9.42,9.47,9.4,9.43,740700,EXG
2013-04-15,9.41,9.41,9.27,9.28,1050900,EXG
2013-04-16,9.37,9.41,9.35,9.4,857300,EXG
2013-04-17,9.37,9.38,9.29,9.33,1262400,EXG
2013-04-18,9.36,9.36,9.26,9.28,949800,EXG
2013-04-19,9.22,9.29,9.21,9.27,139800,EXG
2013-04-22,9.29,9.31,9.25,9.29,978400,EXG
2013-04-23,9.32,9.39,9.28,9.39,1114200,EXG
2013-04-24,9.39,9.41,9.36,9.41,667000,EXG
2013-04-25,9.44,9.51,9.43,9.47,1222100,EXG
2013-04-26,9.46,9.5,9.43,9.47,603000,EXG
2013-04-29,9.5,9.54,9.48,9.52,1046300,EXG
2013-04-30,9.51,9.63,9.5,9.6,1517700,EXG
2013-05-01,9.6,9.61,9.51,9.51,1273700,EXG
2013-05-02,9.54,9.6,9.53,9.59,966500,EXG
2013-05-03,9.69,9.71,9.62,9.64,1083800,EXG
2013-05-06,9.65,9.67,9.6,9.6,914200,EXG
