Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,15.749265,15.82762,15.553379,15.749265,171834,GBDC
2013-01-03,15.768854,15.808031,15.602351,15.700294,78515,GBDC
2013-01-04,15.788443,16.062683,15.710088,15.925563,204098,GBDC
2013-01-07,15.915769,16.180216,15.788443,16.160627,172345,GBDC
2013-01-08,16.111654,16.111654,15.798237,16.043095,144880,GBDC
2013-01-09,16.072477,16.248775,15.994123,16.219393,91379,GBDC
2013-01-10,16.25857,16.376102,15.857003,16.0333,137733,GBDC
2013-01-11,16.131245,16.180216,15.915769,15.935357,86172,GBDC
2013-01-14,15.935357,16.013712,15.680705,15.817826,137018,GBDC
2013-01-15,15.426053,15.563173,15.416259,15.494613,2416911,GBDC
2013-01-16,15.494613,15.670911,15.475024,15.602351,644251,GBDC
2013-01-17,15.621939,15.641528,15.523996,15.563173,388184,GBDC
2013-01-18,15.612145,15.641528,15.523996,15.582762,314570,GBDC
2013-01-22,15.670911,15.670911,15.543585,15.582762,237280,GBDC
2013-01-23,15.572968,15.661117,15.572968,15.582762,396863,GBDC
2013-01-24,15.572968,15.670911,15.572968,15.582762,367049,GBDC
2013-01-25,15.670911,15.680705,15.563173,15.592556,273628,GBDC
2013-01-28,15.651322,15.75906,15.543585,15.719882,321002,GBDC
2013-01-29,15.768854,15.768854,15.582762,15.661117,248511,GBDC
2013-01-30,15.631734,15.788443,15.543585,15.680705,325086,GBDC
2013-01-31,15.700294,15.89618,15.651322,15.768854,798422,GBDC
2013-02-01,15.89618,15.89618,15.680705,15.75906,264847,GBDC
2013-02-04,15.778648,15.778648,15.543585,15.592556,171426,GBDC
2013-02-05,15.700294,15.739471,15.543585,15.6905,186026,GBDC
2013-02-06,15.651322,15.75906,15.543585,15.719882,164075,GBDC
2013-02-07,15.768854,15.768854,15.543585,15.6905,208488,GBDC
2013-02-08,15.768854,15.817826,15.572968,15.817826,187149,GBDC
2013-02-11,15.847209,15.876592,15.621939,15.778648,262703,GBDC
2013-02-12,15.808031,15.808031,15.563173,15.651322,169486,GBDC
2013-02-13,15.631734,15.886386,15.631734,15.866797,220944,GBDC
2013-02-14,15.817826,15.857003,15.621939,15.817826,222578,GBDC
2013-02-15,15.866797,15.866797,15.670911,15.817826,181534,GBDC
2013-02-19,15.857003,15.89618,15.710088,15.857003,280060,GBDC
2013-02-20,15.89618,16.043095,15.75906,15.778648,283021,GBDC
2013-02-21,15.778648,15.954946,15.6905,15.837414,311405,GBDC
2013-02-22,15.886386,16.111654,15.837414,15.945152,225743,GBDC
2013-02-25,16.092068,16.10186,15.837414,15.89618,253412,GBDC
2013-02-26,15.974535,16.023506,15.778648,15.89618,179083,GBDC
2013-02-27,15.89618,16.111654,15.89618,15.945152,162849,GBDC
2013-02-28,16.043095,16.141039,15.954946,16.092068,289249,GBDC
2013-03-01,16.0333,16.34672,15.96474,16.317335,264439,GBDC
2013-03-04,16.336926,16.336926,16.003918,16.19001,295375,GBDC
2013-03-05,16.19001,16.248775,16.023506,16.160627,173570,GBDC
2013-03-06,15.96474,16.160627,15.866797,16.013712,362353,GBDC
2013-03-07,16.0333,16.160627,15.89618,15.984329,214614,GBDC
2013-03-08,15.905975,16.160627,15.876592,16.10186,255250,GBDC
2013-03-11,16.131245,16.25857,16.062683,16.160627,201035,GBDC
2013-03-12,15.866797,16.170422,15.866797,16.003918,184188,GBDC
2013-03-13,15.974535,16.150833,15.876592,16.043095,182759,GBDC
2013-03-14,16.043095,16.180216,15.974535,16.170422,190110,GBDC
2013-03-15,16.180216,16.209599,16.013712,16.131245,285472,GBDC
2013-03-18,16.003918,16.199804,16.003918,16.062683,135078,GBDC
2013-03-19,16.0333,16.141039,15.886386,15.915769,180002,GBDC
2013-03-20,15.905975,16.092068,15.670911,15.75906,292823,GBDC
2013-03-21,15.75906,15.994123,15.710088,15.798237,183678,GBDC
2013-03-22,15.847209,15.915769,15.768854,15.817826,131607,GBDC
2013-03-25,15.915769,16.023506,15.680705,15.710088,180002,GBDC
2013-03-26,15.719882,16.052889,15.719882,16.043095,147739,GBDC
2013-03-27,15.945152,16.170422,15.857003,16.10186,186639,GBDC
2013-03-28,16.160627,16.209599,16.023506,16.170422,229112,GBDC
2013-04-01,16.170422,16.209599,15.974535,16.092068,198482,GBDC
2013-04-02,16.199804,16.209599,16.043095,16.141039,235443,GBDC
2013-04-03,16.650343,16.914789,16.376102,16.503428,1276148,GBDC
2013-04-04,16.53281,16.650343,16.483839,16.552401,505395,GBDC
2013-04-05,16.385897,16.611166,16.376102,16.581783,393698,GBDC
2013-04-08,16.562195,16.650343,16.434868,16.640549,265460,GBDC
2013-04-09,16.699314,16.699314,16.454456,16.483839,237689,GBDC
2013-04-10,16.483839,16.640549,16.483839,16.581783,239527,GBDC
2013-04-11,16.474045,16.53281,16.317335,16.444662,351939,GBDC
2013-04-12,16.444662,16.474045,16.307543,16.34672,179185,GBDC
2013-04-15,16.25857,16.34672,15.915769,15.925563,329272,GBDC
2013-04-16,15.96474,16.19001,15.915769,16.0333,406154,GBDC
2013-04-17,15.925563,16.0333,15.739471,15.739471,260968,GBDC
2013-04-18,15.749265,15.817826,15.621939,15.6905,407277,GBDC
2013-04-19,15.700294,15.974535,15.631734,15.954946,197461,GBDC
2013-04-22,16.150833,16.650343,16.10186,16.601372,968827,GBDC
2013-04-23,16.699314,17.091087,16.562195,16.944172,956575,GBDC
2013-04-24,16.895201,16.993143,16.748285,16.787462,494674,GBDC
2013-04-25,16.836435,17.012733,16.748285,16.973555,334071,GBDC
2013-04-26,17.042116,17.110676,16.797258,17.032322,383079,GBDC
2013-04-29,17.081293,17.238003,17.042116,17.159647,409421,GBDC
2013-04-30,17.140059,17.345739,16.904995,17.267385,492735,GBDC
2013-05-01,17.238003,17.238003,16.748285,16.767876,359800,GBDC
2013-05-02,16.807053,17.042116,16.807053,16.895201,349284,GBDC
2013-05-03,17.140059,17.306562,16.944172,17.286974,418712,GBDC
2013-05-06,17.286974,17.492655,17.169441,17.453478,439438,GBDC
2013-05-07,16.993143,17.247795,16.944172,17.208618,3363276,GBDC
2013-05-08,17.140059,17.238003,17.110676,17.179235,1225711,GBDC
2013-05-09,17.169441,17.247795,17.110676,17.238003,771774,GBDC
2013-05-10,17.286974,17.286974,17.12047,17.228209,391145,GBDC
2013-05-13,17.208618,17.208618,17.110676,17.130264,536536,GBDC
2013-05-14,17.110676,17.198826,17.110676,17.12047,768915,GBDC
2013-05-15,17.12047,17.198826,17.110676,17.179235,498656,GBDC
2013-05-16,17.12047,17.335945,17.12047,17.286974,482933,GBDC
2013-05-17,17.286974,17.404505,17.091087,17.140059,575027,GBDC
2013-05-20,17.18903,17.316357,17.140059,17.306562,360413,GBDC
2013-05-21,17.316357,17.316357,17.110676,17.110676,418406,GBDC
2013-05-22,17.110676,17.208618,17.042116,17.081293,688767,GBDC
2013-05-23,17.002937,17.081293,16.895201,16.904995,394514,GBDC
2013-05-24,16.895201,16.983351,16.895201,16.983351,245653,GBDC
2013-05-28,17.169441,17.267385,16.993143,17.208618,524794,GBDC
2013-05-29,17.18903,17.365328,16.865818,17.218412,533064,GBDC
2013-05-30,17.238003,17.786484,17.12047,17.610186,714292,GBDC
2013-05-31,17.473066,17.531832,17.091087,17.149853,771365,GBDC
2013-06-03,17.228209,17.443684,16.993143,17.100882,406562,GBDC
2013-06-04,17.140059,17.247795,17.061705,17.228209,303543,GBDC
2013-06-05,17.257591,17.257591,16.856024,16.914789,471396,GBDC
2013-06-06,16.865818,17.110676,16.856024,17.081293,166933,GBDC
2013-06-07,17.18903,17.433887,17.149853,17.394711,255760,GBDC
2013-06-10,17.433887,17.492655,17.140059,17.316357,236361,GBDC
2013-06-11,16.934378,17.414301,16.895201,17.257591,490693,GBDC
2013-06-12,17.247795,17.375122,16.973555,17.335945,346017,GBDC
2013-06-13,17.404505,17.404505,17.140059,17.247795,203894,GBDC
2013-06-14,17.198826,17.404505,17.002937,17.218412,323963,GBDC
2013-06-17,17.384916,17.70813,17.365328,17.502449,428412,GBDC
2013-06-18,17.482861,17.600391,17.238003,17.482861,332846,GBDC
2013-06-19,17.541626,17.649363,17.335945,17.335945,246571,GBDC
2013-06-20,17.267385,17.267385,17.012733,17.100882,332846,GBDC
2013-06-21,17.179235,17.238003,17.012733,17.149853,465270,GBDC
2013-06-24,17.110676,17.130264,16.523018,17.012733,371746,GBDC
2013-06-25,17.071499,17.179235,16.914789,17.12047,264950,GBDC
2013-06-26,17.218412,17.238003,16.944172,16.993143,250145,GBDC
2013-06-27,17.149853,17.218412,17.12047,17.130264,462921,GBDC
2013-06-28,17.140059,17.198826,17.042116,17.140059,2188718,GBDC
2013-07-01,17.238003,17.238003,17.081293,17.140059,273424,GBDC
2013-07-02,17.140059,17.698336,17.091087,17.61998,515911,GBDC
2013-07-03,17.531832,17.571009,17.228209,17.46327,144880,GBDC
2013-07-05,17.629774,17.678745,17.110676,17.414301,341320,GBDC
2013-07-08,17.424093,17.561214,17.326151,17.394711,260355,GBDC
2013-07-09,17.482861,17.600391,17.316357,17.492655,239833,GBDC
2013-07-10,17.502449,17.571009,17.375122,17.492655,220536,GBDC
2013-07-11,17.61998,17.678745,17.365328,17.61998,196849,GBDC
2013-07-12,17.639568,17.766895,17.590597,17.668953,150904,GBDC
2013-07-15,17.698336,17.884426,17.698336,17.845249,180104,GBDC
2013-07-16,17.89422,17.913811,17.737513,17.747307,165912,GBDC
2013-07-17,17.757101,17.923603,17.727718,17.757101,205834,GBDC
2013-07-18,17.737513,17.89422,17.639568,17.874634,202668,GBDC
2013-07-19,17.89422,17.972576,17.815866,17.913811,220332,GBDC
2013-07-22,17.825661,18.099901,17.825661,18.031342,149270,GBDC
2013-07-23,18.070518,18.364349,18.05093,18.119492,251064,GBDC
2013-07-24,18.217434,18.217434,17.757101,18.011753,192561,GBDC
2013-07-25,17.923603,18.129286,17.923603,18.109695,165504,GBDC
2013-07-26,17.98237,18.246817,17.943193,18.060724,145288,GBDC
2013-07-29,17.98237,18.20764,17.98237,18.090109,177450,GBDC
2013-07-30,18.178257,18.237022,17.77669,17.796278,177348,GBDC
2013-07-31,17.874634,17.923603,17.717924,17.806072,251676,GBDC
2013-08-01,17.864838,17.933399,17.580803,17.727718,206957,GBDC
2013-08-02,17.796278,17.992165,17.678745,17.98237,156928,GBDC
2013-08-05,18.001959,18.001959,17.77669,17.913811,240548,GBDC
2013-08-06,17.845249,17.89422,17.502449,17.531832,213389,GBDC
2013-08-07,17.482861,17.580803,17.218412,17.473066,504884,GBDC
2013-08-08,17.433887,17.629774,16.660137,16.728697,364803,GBDC
2013-08-09,16.650343,16.983351,16.464251,16.84623,271484,GBDC
2013-08-12,16.816847,16.865818,16.571987,16.748285,284757,GBDC
2013-08-13,16.807053,16.807053,16.483839,16.75808,256475,GBDC
2013-08-14,16.826641,16.826641,16.68952,16.75808,225028,GBDC
2013-08-15,16.68952,16.807053,16.640549,16.718903,235034,GBDC
2013-08-16,16.669931,16.895201,16.669931,16.748285,153252,GBDC
2013-08-19,16.836435,16.934378,16.650343,16.709108,196645,GBDC
2013-08-20,16.77767,16.993143,16.748285,16.96376,157132,GBDC
2013-08-21,16.973555,17.032322,16.826641,16.944172,152946,GBDC
2013-08-22,17.002937,17.002937,16.797258,16.826641,184495,GBDC
2013-08-23,16.807053,16.885406,16.650343,16.84623,136099,GBDC
2013-08-26,16.826641,16.904995,16.699314,16.709108,244121,GBDC
2013-08-27,16.650343,16.669931,16.405485,16.415279,322330,GBDC
2013-08-28,16.454456,16.68952,16.434868,16.650343,144574,GBDC
2013-08-29,16.679726,17.022528,16.679726,17.012733,247490,GBDC
2013-08-30,16.993143,17.081293,16.797258,16.924583,228398,GBDC
2013-09-03,17.071499,17.071499,16.807053,17.022528,133036,GBDC
2013-09-04,17.091087,17.140059,16.983351,17.100882,123133,GBDC
2013-09-05,17.130264,17.130264,16.895201,17.032322,88419,GBDC
2013-09-06,17.130264,17.130264,16.787462,17.012733,84437,GBDC
2013-09-09,17.110676,17.198826,16.953966,17.140059,113127,GBDC
2013-09-10,17.149853,17.600391,17.032322,17.492655,244121,GBDC
2013-09-11,17.149853,17.27718,16.826641,16.944172,182351,GBDC
2013-09-12,16.601372,16.718903,16.454456,16.699314,1943882,GBDC
2013-09-13,16.669931,16.84623,16.640549,16.787462,530410,GBDC
2013-09-16,16.934378,17.071499,16.748285,16.816847,504272,GBDC
2013-09-17,16.904995,16.924583,16.601372,16.856024,391758,GBDC
2013-09-18,16.787462,16.904995,16.640549,16.904995,256475,GBDC
2013-09-19,16.856024,16.875612,16.601372,16.650343,309465,GBDC
2013-09-20,16.738491,16.84623,16.611166,16.767876,363884,GBDC
2013-09-23,16.709108,16.856024,16.650343,16.787462,258313,GBDC
2013-09-24,16.738491,17.032322,16.669931,16.993143,405541,GBDC
2013-09-25,17.071499,17.247795,16.904995,17.179235,321411,GBDC
2013-09-26,17.159647,17.296768,17.091087,17.218412,380731,GBDC
2013-09-27,17.247795,17.27718,17.071499,17.228209,330906,GBDC
