Date,Open,High,Low,Close,Volume,Symbol
2013-04-04,29.120001,29.299999,28.799999,28.799999,100500,IBTX
2013-04-05,29.0,29.0,28.02,28.6,70800,IBTX
2013-04-08,28.82,29.0,28.26,28.35,90400,IBTX
2013-04-09,28.4,28.940001,28.25,28.93,32400,IBTX
2013-04-10,29.25,29.25,28.75,28.940001,17900,IBTX
2013-04-11,29.889999,29.889999,28.65,28.98,18600,IBTX
2013-04-12,28.82,29.870001,28.65,28.75,34600,IBTX
2013-04-15,29.5,29.5,28.0,28.24,67400,IBTX
2013-04-16,28.290001,28.99,28.01,28.15,17600,IBTX
2013-04-17,28.059999,28.65,28.0,28.200001,19700,IBTX
2013-04-18,28.59,29.02,28.02,28.98,21500,IBTX
2013-04-19,29.299999,29.299999,28.059999,28.17,120100,IBTX
2013-04-22,28.200001,28.290001,28.0,28.02,98400,IBTX
2013-04-23,28.15,28.549999,28.120001,28.35,30300,IBTX
2013-04-24,28.85,28.969999,28.33,28.74,46100,IBTX
2013-04-25,28.9,28.93,28.389999,28.620001,27700,IBTX
2013-04-26,28.700001,29.139999,27.540001,28.24,67900,IBTX
2013-04-29,28.200001,28.690001,28.07,28.549999,16600,IBTX
2013-04-30,28.379999,28.639999,28.040001,28.540001,7900,IBTX
2013-05-01,28.4,28.93,28.07,28.26,13000,IBTX
2013-05-02,28.049999,28.950001,28.049999,28.700001,21400,IBTX
2013-05-03,28.52,31.110001,28.52,28.879999,23300,IBTX
2013-05-06,29.059999,29.299999,28.49,28.799999,12300,IBTX
2013-05-07,28.969999,29.0,28.51,28.9,29600,IBTX
2013-05-08,28.629999,28.950001,28.629999,28.9,2900,IBTX
2013-05-09,28.74,29.0,28.450001,28.85,5800,IBTX
2013-05-10,28.99,29.1,28.549999,29.0,12300,IBTX
2013-05-13,28.93,28.93,28.040001,28.799999,11300,IBTX
2013-05-14,28.799999,29.0,28.0,29.0,21600,IBTX
2013-05-15,29.0,29.1,28.23,29.1,57000,IBTX
2013-05-16,28.9,29.0,28.43,28.790001,6900,IBTX
2013-05-17,28.530001,29.41,28.530001,29.4,27200,IBTX
2013-05-20,29.469999,29.5,28.690001,29.030001,8600,IBTX
2013-05-21,29.110001,29.27,28.49,28.99,34000,IBTX
2013-05-22,28.889999,29.26,28.59,28.83,15900,IBTX
2013-05-23,28.52,28.52,28.0,28.25,21500,IBTX
2013-05-24,28.309999,29.25,28.059999,28.27,7400,IBTX
2013-05-28,28.59,28.629999,28.23,28.41,16500,IBTX
2013-05-29,28.42,29.5,28.309999,28.6,26900,IBTX
2013-05-30,28.6,28.6,28.23,28.459999,8400,IBTX
2013-05-31,28.34,28.459999,28.290001,28.4,11200,IBTX
2013-06-03,28.440001,28.49,28.049999,28.33,64000,IBTX
2013-06-04,28.280001,28.43,27.9,28.23,113400,IBTX
2013-06-05,28.290001,28.57,28.0,28.450001,55700,IBTX
2013-06-06,28.51,28.76,28.200001,28.459999,4600,IBTX
2013-06-07,28.860001,29.030001,28.379999,28.860001,3100,IBTX
2013-06-10,29.049999,29.299999,28.73,29.24,14500,IBTX
2013-06-11,29.02,29.25,28.6,29.059999,15200,IBTX
2013-06-12,29.26,29.26,28.65,29.09,9200,IBTX
2013-06-13,29.059999,29.799999,29.059999,29.25,21900,IBTX
2013-06-14,29.110001,29.799999,28.639999,29.4,11400,IBTX
2013-06-17,29.549999,30.299999,29.25,29.9,23600,IBTX
2013-06-18,29.860001,31.65,29.860001,30.700001,60900,IBTX
2013-06-19,31.43,31.43,28.75,30.790001,13400,IBTX
2013-06-20,30.52,31.66,30.25,31.07,25300,IBTX
2013-06-21,31.4,31.49,30.540001,30.74,47400,IBTX
2013-06-24,30.76,31.200001,30.0,30.5,17100,IBTX
2013-06-25,30.610001,30.75,30.0,30.33,14800,IBTX
2013-06-26,30.5,30.5,30.01,30.23,6600,IBTX
2013-06-27,30.08,30.5,30.0,30.4,14700,IBTX
2013-06-28,30.0,30.67,30.0,30.4,410300,IBTX
2013-07-01,30.459999,30.57,29.9,30.370001,45600,IBTX
2013-07-02,30.35,30.5,29.530001,29.610001,21300,IBTX
2013-07-03,29.549999,30.219999,29.51,29.84,3300,IBTX
2013-07-05,30.139999,30.139999,29.24,29.67,109800,IBTX
2013-07-08,30.33,30.469999,30.0,30.23,17300,IBTX
2013-07-09,30.219999,31.309999,30.219999,31.09,11900,IBTX
2013-07-10,31.17,31.360001,29.200001,31.040001,8800,IBTX
2013-07-11,31.190001,31.75,30.82,31.6,18700,IBTX
2013-07-12,31.66,31.809999,31.01,31.68,9800,IBTX
2013-07-15,31.57,31.959999,31.5,31.66,20700,IBTX
2013-07-16,31.809999,32.509998,31.450001,32.259998,25300,IBTX
2013-07-17,32.290001,32.290001,31.34,31.57,4500,IBTX
2013-07-18,31.75,32.48,31.5,31.969999,15200,IBTX
2013-07-19,31.870001,32.43,31.5,32.169998,14000,IBTX
2013-07-22,32.029999,32.560001,32.0,32.490002,21900,IBTX
2013-07-23,32.41,32.43,32.25,32.25,20900,IBTX
2013-07-24,32.299999,32.759998,32.25,32.450001,105500,IBTX
2013-07-25,32.5,32.98,32.459999,32.91,14100,IBTX
2013-07-26,32.740002,33.459999,32.48,33.169998,8200,IBTX
2013-07-29,34.66,34.66,33.009998,33.119999,5800,IBTX
2013-07-30,33.290001,34.860001,33.169998,33.959999,11400,IBTX
2013-07-31,33.84,34.990002,33.310001,34.779999,32000,IBTX
2013-08-01,34.919998,36.0,34.919998,35.779999,36200,IBTX
2013-08-02,35.84,37.57,35.200001,36.73,16100,IBTX
2013-08-05,36.880001,37.0,36.419998,36.98,20500,IBTX
2013-08-06,36.849998,36.880001,35.27,35.529999,27600,IBTX
2013-08-07,35.549999,35.549999,34.150002,34.5,41700,IBTX
2013-08-08,34.84,34.889999,33.790001,34.59,25700,IBTX
2013-08-09,34.639999,34.84,33.599998,34.0,13600,IBTX
2013-08-12,34.259998,34.400002,33.619999,33.919998,8800,IBTX
2013-08-13,34.119999,34.5,33.779999,34.07,6500,IBTX
2013-08-14,34.02,34.25,33.860001,33.98,3100,IBTX
2013-08-15,33.700001,34.34,33.5,33.619999,5700,IBTX
2013-08-16,33.5,34.27,33.349998,33.689999,9600,IBTX
2013-08-19,33.77,34.490002,33.400002,33.939999,8000,IBTX
2013-08-20,33.790001,34.349998,33.720001,33.93,10600,IBTX
2013-08-21,34.139999,34.380001,33.77,34.09,19200,IBTX
2013-08-22,34.419998,34.689999,33.939999,34.0,19500,IBTX
2013-08-23,33.950001,34.16,33.75,33.82,1500,IBTX
2013-08-26,35.0,35.189999,34.25,34.259998,102200,IBTX
2013-08-27,33.849998,34.790001,33.799999,33.990002,22000,IBTX
2013-08-28,33.860001,34.779999,33.849998,33.950001,41800,IBTX
2013-08-29,33.950001,34.400002,33.950001,34.27,16400,IBTX
2013-08-30,34.299999,35.209999,34.119999,34.259998,15100,IBTX
2013-09-03,34.669998,37.689999,34.669998,35.959999,30800,IBTX
2013-09-04,36.049999,36.720001,34.400002,34.970001,14000,IBTX
2013-09-05,36.830002,36.830002,34.990002,35.919998,3600,IBTX
2013-09-06,36.150002,36.41,35.299999,35.669998,27900,IBTX
2013-09-09,35.299999,36.049999,35.299999,35.84,7700,IBTX
2013-09-10,35.810001,37.18,35.810001,36.709999,17000,IBTX
2013-09-11,36.740002,36.990002,35.970001,36.389999,20400,IBTX
2013-09-12,36.25,36.25,34.669998,35.790001,21900,IBTX
2013-09-13,35.880001,36.0,35.200001,35.630001,17900,IBTX
2013-09-16,35.73,36.380001,35.080002,35.599998,37300,IBTX
2013-09-17,35.77,36.0,34.869999,35.0,20900,IBTX
2013-09-18,35.189999,35.779999,35.029999,35.48,10600,IBTX
2013-09-19,35.639999,35.849998,35.169998,35.549999,17300,IBTX
2013-09-20,35.450001,35.98,35.299999,35.540001,36000,IBTX
2013-09-23,35.439999,35.639999,34.869999,34.990002,23000,IBTX
2013-09-24,34.82,35.540001,34.82,35.310001,25100,IBTX
2013-09-25,35.32,35.639999,35.32,35.41,9700,IBTX
2013-09-26,35.630001,35.630001,34.68,35.299999,11200,IBTX
2013-09-27,35.049999,36.07,35.049999,35.549999,18900,IBTX
2013-09-30,35.919998,36.41,35.639999,36.0,6200,IBTX
2013-10-01,35.950001,36.75,35.849998,36.0,9600,IBTX
2013-10-02,35.82,36.099998,35.669998,35.709999,4800,IBTX
2013-10-03,36.0,36.310001,35.77,35.82,15000,IBTX
2013-10-04,35.75,36.32,35.700001,36.0,11400,IBTX
2013-10-07,35.709999,36.43,35.709999,35.990002,6800,IBTX
2013-10-08,36.029999,36.389999,35.73,35.860001,13100,IBTX
2013-10-09,36.099998,36.240002,35.91,35.990002,21200,IBTX
2013-10-10,36.32,36.41,36.0,36.049999,18200,IBTX
2013-10-11,36.099998,36.380001,35.900002,35.990002,19000,IBTX
