Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,23.5,24.549999,22.639999,24.370001,885100,ACHC
2013-01-03,24.469999,24.639999,24.120001,24.190001,391300,ACHC
2013-01-04,24.4,24.559999,23.549999,23.629999,305000,ACHC
2013-01-07,23.700001,24.209999,23.389999,24.15,121300,ACHC
2013-01-08,24.76,25.76,24.65,24.940001,416600,ACHC
2013-01-09,25.08,25.389999,24.75,25.07,263800,ACHC
2013-01-10,25.09,25.290001,24.82,24.83,151700,ACHC
2013-01-11,24.889999,25.209999,24.450001,24.85,258200,ACHC
2013-01-14,24.85,24.85,24.18,24.690001,294000,ACHC
2013-01-15,24.780001,25.5,24.290001,25.33,348900,ACHC
2013-01-16,25.35,26.01,25.200001,25.940001,246900,ACHC
2013-01-17,26.0,26.1,25.58,26.059999,189900,ACHC
2013-01-18,26.01,26.290001,25.99,26.280001,94900,ACHC
2013-01-22,26.34,27.51,26.049999,26.879999,286000,ACHC
2013-01-23,26.91,26.98,26.120001,26.299999,220600,ACHC
2013-01-24,26.280001,26.540001,25.98,26.5,272100,ACHC
2013-01-25,26.629999,26.790001,25.99,26.299999,490900,ACHC
2013-01-28,26.299999,26.540001,25.58,26.0,286700,ACHC
2013-01-29,26.030001,26.030001,25.15,25.629999,168300,ACHC
2013-01-30,25.59,25.75,25.18,25.620001,166300,ACHC
2013-01-31,25.540001,26.059999,25.15,25.57,254200,ACHC
2013-02-01,25.83,26.82,25.719999,25.889999,394200,ACHC
2013-02-04,26.07,26.280001,25.299999,25.52,222800,ACHC
2013-02-05,25.59,26.18,25.59,25.75,302700,ACHC
2013-02-06,25.6,25.82,25.200001,25.639999,162800,ACHC
2013-02-07,25.57,26.299999,25.440001,26.09,153600,ACHC
2013-02-08,26.129999,26.59,25.889999,26.190001,150000,ACHC
2013-02-11,26.23,26.540001,25.76,25.879999,105900,ACHC
2013-02-12,25.91,25.99,25.42,25.67,122000,ACHC
2013-02-13,25.620001,25.950001,25.190001,25.709999,122800,ACHC
2013-02-14,25.59,27.1,25.59,26.709999,367800,ACHC
2013-02-15,26.700001,26.77,25.629999,25.940001,195300,ACHC
2013-02-19,25.91,26.41,25.719999,26.24,208800,ACHC
2013-02-20,26.299999,26.4,24.93,25.889999,255200,ACHC
2013-02-21,25.74,26.68,25.280001,26.27,542300,ACHC
2013-02-22,26.530001,27.059999,26.280001,26.799999,377300,ACHC
2013-02-25,26.85,27.08,26.07,26.24,665200,ACHC
2013-02-26,26.43,26.75,26.15,26.59,191900,ACHC
2013-02-27,26.58,27.620001,26.549999,27.200001,304900,ACHC
2013-02-28,27.25,27.5,26.889999,27.219999,179100,ACHC
2013-03-01,27.07,27.139999,26.41,26.5,353600,ACHC
2013-03-04,27.379999,28.49,27.190001,27.84,464300,ACHC
2013-03-05,28.5,28.5,27.52,28.02,288600,ACHC
2013-03-06,28.120001,28.209999,27.25,27.52,180700,ACHC
2013-03-07,27.6,28.07,27.290001,27.32,200500,ACHC
2013-03-08,27.469999,28.0,27.219999,27.889999,415700,ACHC
2013-03-11,27.84,28.33,27.84,28.030001,172400,ACHC
2013-03-12,28.120001,28.26,27.76,28.040001,226600,ACHC
2013-03-13,28.65,29.030001,28.040001,28.129999,322400,ACHC
2013-03-14,28.09,28.49,27.940001,28.1,271500,ACHC
2013-03-15,28.07,28.25,27.91,28.02,605300,ACHC
2013-03-18,27.82,28.23,27.42,28.190001,236400,ACHC
2013-03-19,28.59,29.09,28.040001,28.25,198800,ACHC
2013-03-20,28.32,28.83,28.26,28.530001,178000,ACHC
2013-03-21,28.43,29.1,28.42,29.0,547700,ACHC
2013-03-22,29.27,29.360001,28.16,28.940001,206300,ACHC
2013-03-25,28.99,29.379999,28.73,29.26,218800,ACHC
2013-03-26,29.309999,29.450001,28.43,29.25,340800,ACHC
2013-03-27,29.09,29.4,28.690001,29.389999,139000,ACHC
2013-03-28,29.49,29.5,28.99,29.389999,169100,ACHC
2013-04-01,29.540001,30.5,29.379999,30.01,459200,ACHC
2013-04-02,30.389999,30.389999,29.02,29.120001,270600,ACHC
2013-04-03,29.190001,29.23,27.85,28.549999,505600,ACHC
2013-04-04,28.549999,28.77,28.0,28.57,121900,ACHC
2013-04-05,28.41,29.32,28.02,29.15,574400,ACHC
2013-04-08,29.18,29.309999,28.85,29.01,193000,ACHC
2013-04-09,28.969999,29.309999,28.639999,29.01,186300,ACHC
2013-04-10,29.0,29.620001,28.83,29.530001,214000,ACHC
2013-04-11,29.530001,29.959999,28.940001,29.030001,215100,ACHC
2013-04-12,28.82,29.75,28.790001,29.65,127500,ACHC
2013-04-15,29.48,29.6,28.99,29.26,527500,ACHC
2013-04-16,29.41,30.48,29.17,30.370001,356500,ACHC
2013-04-17,30.07,30.23,29.49,30.17,293300,ACHC
2013-04-18,30.639999,31.18,30.01,30.950001,494500,ACHC
2013-04-19,31.030001,31.49,31.030001,31.41,314100,ACHC
2013-04-22,31.530001,31.57,30.459999,30.889999,726900,ACHC
2013-04-23,31.129999,31.450001,30.709999,31.18,358800,ACHC
2013-04-24,31.07,31.6,30.82,31.59,351800,ACHC
2013-04-25,31.59,32.0,31.18,31.709999,366600,ACHC
2013-04-26,31.690001,31.959999,31.24,31.84,389300,ACHC
2013-04-29,32.0,32.610001,31.84,32.169998,282300,ACHC
2013-04-30,32.099998,32.34,31.49,31.549999,263100,ACHC
2013-05-01,31.6,31.6,30.85,31.049999,370700,ACHC
2013-05-02,32.529999,33.5,31.969999,32.470001,638000,ACHC
2013-05-03,32.25,32.549999,31.610001,31.639999,560500,ACHC
2013-05-06,31.85,32.689999,31.799999,32.419998,489400,ACHC
2013-05-07,32.610001,33.029999,32.470001,33.02,230200,ACHC
2013-05-08,33.130001,33.25,32.669998,33.169998,307700,ACHC
2013-05-09,33.32,33.349998,32.849998,33.0,298100,ACHC
2013-05-10,33.119999,33.82,33.009998,33.720001,284800,ACHC
2013-05-13,33.779999,34.080002,33.369999,33.91,194400,ACHC
2013-05-14,34.060001,34.619999,33.720001,33.990002,350800,ACHC
2013-05-15,34.09,34.98,33.73,34.860001,287100,ACHC
2013-05-16,34.869999,34.939999,33.689999,33.810001,206300,ACHC
2013-05-17,33.970001,34.639999,33.93,34.369999,277600,ACHC
2013-05-20,34.330002,34.41,32.610001,32.970001,298200,ACHC
2013-05-21,33.060001,33.599998,31.83,32.07,768800,ACHC
