Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,11.72,11.97,11.42,11.75,397300,AMED
2013-01-03,11.8,11.87,11.44,11.47,282900,AMED
2013-01-04,11.54,11.85,11.35,11.62,144900,AMED
2013-01-07,11.56,11.81,11.35,11.55,144900,AMED
2013-01-08,11.58,11.9,11.49,11.73,246200,AMED
2013-01-09,11.81,11.93,11.25,11.32,353600,AMED
2013-01-10,11.42,11.53,11.05,11.27,256700,AMED
2013-01-11,11.29,11.4,10.98,11.06,304300,AMED
2013-01-14,10.98,11.2,10.98,11.18,242500,AMED
2013-01-15,11.2,11.53,11.2,11.51,252500,AMED
2013-01-16,11.48,11.58,11.33,11.46,181100,AMED
2013-01-17,11.5,11.67,11.42,11.52,133400,AMED
2013-01-18,11.54,11.54,11.17,11.36,217200,AMED
2013-01-22,11.36,11.66,11.21,11.58,192500,AMED
2013-01-23,11.63,11.77,11.31,11.31,217500,AMED
2013-01-24,11.31,11.58,11.31,11.56,391400,AMED
2013-01-25,11.55,11.85,11.54,11.6,333300,AMED
2013-01-28,11.6,11.85,11.48,11.76,265300,AMED
2013-01-29,11.8,11.81,11.52,11.61,421900,AMED
2013-01-30,11.59,11.65,11.01,11.03,330700,AMED
2013-01-31,11.04,11.24,11.03,11.12,309600,AMED
2013-02-01,11.24,11.37,11.12,11.35,427400,AMED
2013-02-04,11.29,11.49,11.14,11.14,285500,AMED
2013-02-05,11.22,11.41,11.1,11.32,280100,AMED
2013-02-06,11.24,11.47,11.05,11.28,366500,AMED
2013-02-07,11.24,11.42,10.72,11.42,1031200,AMED
2013-02-08,11.46,12.24,11.42,12.17,466000,AMED
2013-02-11,12.16,12.31,11.98,12.19,192400,AMED
2013-02-12,12.19,12.34,12.05,12.26,186400,AMED
2013-02-13,12.31,12.7,12.28,12.63,242800,AMED
2013-02-14,12.55,12.96,12.51,12.9,329800,AMED
2013-02-15,12.97,13.19,12.82,12.92,525500,AMED
2013-02-19,13.01,13.36,12.88,13.11,282600,AMED
2013-02-20,13.14,13.14,12.46,12.47,312600,AMED
2013-02-21,12.05,12.16,11.21,11.69,447400,AMED
2013-02-22,11.79,11.79,11.25,11.3,426600,AMED
2013-02-25,11.44,11.53,10.77,10.95,471000,AMED
2013-02-26,11.01,11.1,10.75,10.99,230300,AMED
2013-02-27,10.99,11.24,10.92,11.16,400500,AMED
2013-02-28,11.15,11.52,11.01,11.3,442700,AMED
2013-03-01,11.19,11.24,11.01,11.21,293900,AMED
2013-03-04,11.11,11.57,11.06,11.51,281800,AMED
2013-03-05,11.59,11.67,11.36,11.59,220200,AMED
2013-03-06,11.59,11.6,11.39,11.54,142600,AMED
2013-03-07,11.57,11.72,11.43,11.72,148600,AMED
2013-03-08,11.82,11.89,11.64,11.77,199300,AMED
2013-03-11,11.71,12.3,11.6,12.26,355000,AMED
2013-03-12,10.75,12.4,10.42,11.07,2183400,AMED
2013-03-13,11.01,11.3,10.62,11.19,708400,AMED
2013-03-14,11.21,11.33,10.88,11.23,489900,AMED
2013-03-15,11.22,11.96,11.15,11.76,548100,AMED
2013-03-18,11.56,11.77,11.56,11.67,256700,AMED
2013-03-19,11.7,11.9,11.54,11.76,303400,AMED
