Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,23.73,23.889999,23.35,23.48,154400,ITGR
2013-01-03,23.51,23.700001,23.389999,23.52,58600,ITGR
2013-01-04,23.610001,23.690001,23.5,23.540001,92300,ITGR
2013-01-07,23.42,23.780001,23.219999,23.76,78900,ITGR
2013-01-08,23.85,24.889999,23.780001,24.700001,273700,ITGR
2013-01-09,24.83,25.02,24.690001,24.74,71900,ITGR
2013-01-10,24.809999,25.440001,24.49,25.43,135900,ITGR
2013-01-11,25.49,25.66,25.25,25.6,165600,ITGR
2013-01-14,25.549999,25.66,25.360001,25.66,81700,ITGR
2013-01-15,25.549999,25.92,25.49,25.82,90200,ITGR
2013-01-16,25.790001,25.950001,25.610001,25.82,126600,ITGR
2013-01-17,25.9,26.190001,25.83,26.07,46400,ITGR
2013-01-18,26.110001,26.200001,25.969999,26.190001,91200,ITGR
2013-01-22,26.209999,26.57,26.120001,26.549999,58000,ITGR
2013-01-23,26.57,26.57,26.200001,26.52,86000,ITGR
2013-01-24,26.49,26.780001,26.299999,26.709999,107000,ITGR
2013-01-25,26.83,27.09,26.559999,27.07,100300,ITGR
2013-01-28,27.049999,27.25,26.959999,27.049999,129900,ITGR
2013-01-29,27.09,27.700001,27.07,27.379999,83400,ITGR
2013-01-30,27.290001,27.290001,26.48,26.6,78900,ITGR
2013-01-31,26.6,26.85,26.450001,26.540001,72400,ITGR
2013-02-01,26.73,26.91,26.709999,26.75,85500,ITGR
2013-02-04,26.66,26.66,26.01,26.32,96600,ITGR
2013-02-05,26.52,26.65,26.360001,26.559999,91400,ITGR
2013-02-06,26.41,26.75,26.379999,26.719999,50700,ITGR
2013-02-07,26.76,27.01,26.43,26.91,135800,ITGR
2013-02-08,26.889999,27.17,26.889999,27.059999,62500,ITGR
2013-02-11,27.1,27.379999,27.0,27.110001,63600,ITGR
2013-02-12,27.190001,27.190001,26.860001,26.98,72600,ITGR
2013-02-13,27.09,27.549999,27.030001,27.540001,119600,ITGR
2013-02-14,27.49,27.66,27.35,27.639999,76700,ITGR
2013-02-15,27.66,27.799999,27.299999,27.700001,91600,ITGR
2013-02-19,27.690001,28.0,27.66,27.77,90800,ITGR
2013-02-20,27.85,27.85,27.200001,27.209999,88900,ITGR
2013-02-21,27.200001,27.4,26.450001,26.889999,70700,ITGR
2013-02-22,27.08,27.08,26.6,26.82,107300,ITGR
2013-02-25,26.950001,26.950001,26.33,26.389999,120800,ITGR
2013-02-26,25.02,26.969999,25.02,26.85,194600,ITGR
2013-02-27,26.870001,27.35,26.83,27.07,255100,ITGR
2013-02-28,27.02,27.16,26.700001,27.07,129600,ITGR
2013-03-01,26.84,27.620001,26.76,27.389999,99600,ITGR
2013-03-04,27.360001,27.370001,26.950001,27.309999,84900,ITGR
2013-03-05,27.48,27.76,27.18,27.440001,93700,ITGR
2013-03-06,27.5,27.540001,27.24,27.4,50800,ITGR
2013-03-07,27.290001,27.66,27.17,27.530001,115100,ITGR
2013-03-08,27.700001,27.91,27.51,27.809999,86900,ITGR
2013-03-11,27.799999,27.92,27.629999,27.879999,48700,ITGR
2013-03-12,27.9,28.1,27.84,28.059999,104800,ITGR
2013-03-13,28.08,28.389999,27.959999,28.33,53400,ITGR
2013-03-14,28.299999,29.040001,28.209999,28.959999,114800,ITGR
2013-03-15,29.1,29.1,28.65,28.719999,180300,ITGR
2013-03-18,28.4,28.629999,28.27,28.360001,139600,ITGR
2013-03-19,28.35,28.74,28.23,28.57,112400,ITGR
2013-03-20,28.76,29.6,28.59,29.59,270400,ITGR
2013-03-21,29.370001,29.73,29.370001,29.469999,217300,ITGR
2013-03-22,29.51,29.84,29.450001,29.82,86900,ITGR
2013-03-25,29.860001,30.34,29.799999,29.879999,101900,ITGR
2013-03-26,30.1,30.360001,30.0,30.33,97000,ITGR
2013-03-27,30.09,30.48,29.940001,30.360001,95200,ITGR
2013-03-28,30.440001,30.639999,29.450001,29.870001,237500,ITGR
2013-04-01,30.02,30.02,29.450001,29.809999,204100,ITGR
2013-04-02,30.01,30.33,29.91,30.0,128100,ITGR
2013-04-03,30.08,30.24,29.879999,29.98,271100,ITGR
2013-04-04,29.959999,30.450001,29.870001,30.43,81800,ITGR
2013-04-05,29.9,30.6,29.9,30.17,244900,ITGR
2013-04-08,30.17,30.360001,29.860001,30.32,83300,ITGR
2013-04-09,30.32,30.51,30.16,30.17,74500,ITGR
2013-04-10,30.32,31.049999,30.110001,30.98,156600,ITGR
2013-04-11,30.950001,31.299999,30.950001,31.139999,124000,ITGR
2013-04-12,30.940001,31.219999,30.35,30.5,147800,ITGR
2013-04-15,30.23,30.49,29.07,29.139999,118100,ITGR
2013-04-16,29.49,29.49,28.83,29.25,157700,ITGR
2013-04-17,28.959999,29.209999,28.370001,28.700001,198900,ITGR
2013-04-18,28.76,29.0,28.200001,28.389999,99000,ITGR
2013-04-19,28.41,28.99,28.35,28.98,74600,ITGR
2013-04-22,29.18,29.18,28.299999,28.690001,69600,ITGR
2013-04-23,28.9,29.32,28.629999,29.08,64200,ITGR
