Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,15.0,15.63,15.0,15.36,206200,OMCL
2013-01-03,15.34,15.38,15.03,15.23,83800,OMCL
2013-01-04,15.32,15.55,15.31,15.39,152100,OMCL
2013-01-07,15.29,15.4,15.23,15.31,47000,OMCL
2013-01-08,15.32,15.45,14.91,15.03,105700,OMCL
2013-01-09,15.02,15.15,14.93,14.99,80600,OMCL
2013-01-10,15.08,15.26,14.92,15.0,108600,OMCL
2013-01-11,15.0,15.02,14.68,14.9,99200,OMCL
2013-01-14,14.86,15.12,14.86,14.93,77700,OMCL
2013-01-15,14.83,15.25,14.71,15.22,99200,OMCL
2013-01-16,15.22,15.35,15.04,15.3,218000,OMCL
2013-01-17,15.4,15.58,15.35,15.48,53000,OMCL
2013-01-18,15.44,15.57,15.37,15.41,117700,OMCL
2013-01-22,15.46,15.82,15.46,15.66,386500,OMCL
2013-01-23,15.61,15.61,15.43,15.55,120600,OMCL
2013-01-24,15.55,15.71,15.54,15.57,126100,OMCL
2013-01-25,16.25,16.25,15.6,15.76,245700,OMCL
2013-01-28,15.82,16.4,15.82,16.33,178400,OMCL
2013-01-29,16.280001,16.280001,15.84,16.17,119900,OMCL
2013-01-30,16.110001,16.139999,15.54,15.7,136300,OMCL
2013-01-31,15.73,16.389999,15.59,15.8,218700,OMCL
2013-02-01,16.5,18.0,16.43,17.809999,696700,OMCL
2013-02-04,17.549999,17.559999,17.450001,17.459999,473900,OMCL
2013-02-05,17.49,17.620001,17.25,17.290001,376600,OMCL
2013-02-06,17.27,17.83,17.27,17.780001,155300,OMCL
2013-02-07,17.809999,17.99,17.719999,17.98,263100,OMCL
2013-02-08,17.969999,17.969999,17.549999,17.76,153000,OMCL
2013-02-11,17.809999,18.139999,17.450001,17.85,205500,OMCL
2013-02-12,17.85,18.0,17.74,17.870001,160300,OMCL
2013-02-13,17.92,17.99,17.610001,17.77,95600,OMCL
2013-02-14,17.700001,17.85,17.610001,17.809999,68900,OMCL
2013-02-15,17.93,17.969999,17.74,17.799999,155500,OMCL
2013-02-19,17.68,17.92,17.450001,17.82,172500,OMCL
2013-02-20,17.780001,17.799999,17.379999,17.42,161200,OMCL
2013-02-21,17.940001,18.200001,17.6,18.129999,221400,OMCL
2013-02-22,18.129999,18.5,17.809999,18.18,132300,OMCL
2013-02-25,18.200001,18.200001,17.42,17.450001,175800,OMCL
2013-02-26,17.540001,17.950001,17.5,17.860001,258900,OMCL
2013-02-27,17.809999,18.190001,17.809999,17.99,92600,OMCL
2013-02-28,17.879999,18.280001,17.879999,18.0,133100,OMCL
2013-03-01,17.85,18.57,17.74,18.41,182500,OMCL
2013-03-04,18.4,18.4,18.01,18.209999,228100,OMCL
2013-03-05,18.309999,18.799999,18.24,18.549999,241800,OMCL
2013-03-06,18.530001,18.530001,18.110001,18.389999,134300,OMCL
2013-03-07,18.360001,18.59,18.18,18.59,153500,OMCL
2013-03-08,18.73,19.0,18.620001,18.959999,340600,OMCL
2013-03-11,18.92,20.0,18.219999,18.73,804900,OMCL
2013-03-12,18.709999,18.85,18.280001,18.709999,187900,OMCL
2013-03-13,18.700001,18.700001,18.41,18.49,125200,OMCL
2013-03-14,18.51,18.690001,18.290001,18.610001,154100,OMCL
2013-03-15,18.559999,18.809999,18.51,18.700001,203700,OMCL
2013-03-18,18.5,18.52,17.85,18.18,199500,OMCL
2013-03-19,18.26,18.83,18.25,18.49,157400,OMCL
2013-03-20,18.549999,18.870001,18.49,18.780001,141000,OMCL
2013-03-21,18.610001,18.700001,18.34,18.52,109600,OMCL
2013-03-22,18.549999,18.790001,18.440001,18.76,70500,OMCL
2013-03-25,18.76,18.85,18.15,18.5,128200,OMCL
2013-03-26,18.58,18.940001,18.530001,18.91,112200,OMCL
2013-03-27,18.84,18.9,18.65,18.84,83700,OMCL
2013-03-28,18.889999,18.959999,18.629999,18.879999,94900,OMCL
2013-04-01,18.82,18.82,17.99,18.459999,155800,OMCL
2013-04-02,18.610001,18.809999,18.450001,18.52,73200,OMCL
2013-04-03,18.540001,18.540001,18.17,18.209999,126700,OMCL
2013-04-04,18.290001,18.360001,18.02,18.35,86300,OMCL
2013-04-05,18.040001,18.299999,18.040001,18.209999,237600,OMCL
2013-04-08,18.209999,18.299999,18.049999,18.26,132100,OMCL
2013-04-09,18.34,18.59,18.190001,18.190001,130100,OMCL
2013-04-10,18.25,18.75,18.16,18.52,182400,OMCL
2013-04-11,18.5,18.52,18.209999,18.25,134800,OMCL
2013-04-12,18.200001,18.35,17.99,18.290001,125300,OMCL
2013-04-15,18.129999,18.280001,17.200001,17.450001,256100,OMCL
2013-04-16,17.629999,17.82,17.24,17.74,90000,OMCL
2013-04-17,17.620001,17.85,17.23,17.48,103700,OMCL
2013-04-18,17.559999,17.639999,17.450001,17.540001,122400,OMCL
2013-04-19,17.549999,17.969999,17.5,17.65,103500,OMCL
2013-04-22,17.66,17.66,17.190001,17.49,147500,OMCL
2013-04-23,17.620001,17.860001,17.49,17.780001,94600,OMCL
2013-04-24,17.719999,17.790001,17.35,17.41,101500,OMCL
2013-04-25,17.48,17.639999,17.370001,17.440001,137000,OMCL
2013-04-26,17.43,17.639999,17.309999,17.379999,102900,OMCL
2013-04-29,17.48,17.5,17.24,17.309999,177600,OMCL
2013-04-30,17.360001,18.040001,17.35,18.02,245100,OMCL
2013-05-01,17.91,17.92,17.02,17.07,210500,OMCL
2013-05-02,17.01,18.01,17.01,17.870001,161600,OMCL
2013-05-03,18.5,18.5,17.75,18.360001,237600,OMCL
2013-05-06,18.33,18.85,18.209999,18.6,203600,OMCL
2013-05-07,18.610001,18.610001,18.35,18.48,141700,OMCL
2013-05-08,18.49,18.68,18.35,18.68,150900,OMCL
2013-05-09,18.620001,18.860001,18.49,18.59,147200,OMCL
2013-05-10,18.559999,18.65,18.370001,18.48,67700,OMCL
2013-05-13,18.360001,18.59,18.17,18.58,81900,OMCL
2013-05-14,18.620001,18.75,18.4,18.66,250900,OMCL
2013-05-15,18.52,19.1,18.5,19.07,212100,OMCL
2013-05-16,18.99,19.17,18.5,18.66,122700,OMCL
2013-05-17,18.709999,18.82,18.59,18.809999,118500,OMCL
2013-05-20,18.75,18.889999,18.629999,18.73,121800,OMCL
2013-05-21,18.780001,18.780001,18.4,18.43,129700,OMCL
2013-05-22,18.440001,18.48,18.1,18.200001,156100,OMCL
2013-05-23,18.049999,18.309999,17.52,18.27,153200,OMCL
2013-05-24,18.26,18.67,17.92,18.379999,191300,OMCL
2013-05-28,18.65,18.68,18.440001,18.58,168600,OMCL
2013-05-29,18.42,18.58,18.0,18.370001,119600,OMCL
2013-05-30,18.35,18.35,17.83,18.129999,294300,OMCL
2013-05-31,17.99,18.309999,17.99,18.129999,156100,OMCL
2013-06-03,18.209999,18.84,18.209999,18.809999,205500,OMCL
2013-06-04,18.780001,18.98,18.34,18.59,167500,OMCL
2013-06-05,18.59,18.700001,18.370001,18.52,95900,OMCL
2013-06-06,18.49,18.719999,18.43,18.67,118600,OMCL
2013-06-07,18.82,18.83,18.49,18.780001,115200,OMCL
2013-06-10,18.799999,19.299999,18.75,19.280001,159900,OMCL
2013-06-11,19.030001,19.34,19.0,19.209999,125000,OMCL
2013-06-12,19.299999,19.299999,19.15,19.18,144300,OMCL
2013-06-13,19.15,19.25,18.860001,19.09,132500,OMCL
2013-06-14,19.1,19.23,18.74,18.85,142500,OMCL
2013-06-17,19.01,19.139999,18.959999,19.129999,99700,OMCL
2013-06-18,19.110001,19.32,19.02,19.129999,201600,OMCL
2013-06-19,19.15,19.309999,19.07,19.07,96700,OMCL
2013-06-20,18.84,19.129999,18.84,19.040001,185500,OMCL
2013-06-21,19.1,19.25,18.940001,19.17,285300,OMCL
2013-06-24,19.049999,19.309999,18.9,19.120001,131900,OMCL
2013-06-25,19.23,19.24,19.049999,19.190001,226000,OMCL
2013-06-26,19.280001,19.42,19.23,19.34,131000,OMCL
2013-06-27,19.48,19.950001,19.41,19.860001,130900,OMCL
2013-06-28,19.799999,20.879999,19.799999,20.549999,962400,OMCL
