Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,34.68,35.080002,34.439999,34.700001,625100,PDCO
2013-01-03,34.5,34.779999,34.349998,34.740002,650400,PDCO
2013-01-04,34.82,34.849998,34.630001,34.709999,558700,PDCO
2013-01-07,34.540001,35.169998,34.34,35.139999,498800,PDCO
2013-01-08,35.09,35.27,35.009998,35.16,773700,PDCO
2013-01-09,35.200001,35.66,35.119999,35.509998,463400,PDCO
2013-01-10,35.57,35.759998,35.509998,35.599998,916800,PDCO
2013-01-11,35.509998,35.889999,35.310001,35.490002,478800,PDCO
2013-01-14,35.380001,35.669998,35.380001,35.610001,253000,PDCO
2013-01-15,34.43,34.900002,34.419998,34.799999,801800,PDCO
2013-01-16,34.720001,34.889999,34.610001,34.810001,533000,PDCO
2013-01-17,34.939999,35.27,34.869999,35.169998,461100,PDCO
2013-01-18,35.290001,35.5,35.169998,35.459999,476400,PDCO
2013-01-22,35.400002,35.91,35.299999,35.799999,657500,PDCO
2013-01-23,35.93,36.220001,35.799999,36.18,621000,PDCO
2013-01-24,36.169998,36.66,36.169998,36.509998,492200,PDCO
2013-01-25,36.700001,36.959999,36.540001,36.639999,470800,PDCO
2013-01-28,36.630001,36.84,36.43,36.450001,477700,PDCO
2013-01-29,36.529999,36.610001,36.310001,36.360001,412000,PDCO
2013-01-30,36.380001,36.48,36.200001,36.220001,389700,PDCO
2013-01-31,36.279999,36.360001,36.110001,36.130001,488300,PDCO
2013-02-01,36.459999,37.07,36.41,36.860001,700400,PDCO
2013-02-04,36.799999,37.290001,36.619999,36.66,570600,PDCO
2013-02-05,36.82,37.09,36.669998,36.810001,350400,PDCO
2013-02-06,36.75,37.139999,36.75,37.139999,313600,PDCO
2013-02-07,37.189999,37.32,36.950001,37.259998,313500,PDCO
2013-02-08,37.380001,37.57,37.189999,37.310001,863600,PDCO
2013-02-11,37.310001,37.41,36.860001,37.07,638000,PDCO
2013-02-12,37.099998,37.43,37.080002,37.34,743100,PDCO
2013-02-13,37.43,37.66,37.040001,37.150002,1225900,PDCO
2013-02-14,37.049999,37.220001,36.869999,37.080002,778600,PDCO
2013-02-15,37.139999,37.220001,36.93,37.220001,505900,PDCO
2013-02-19,37.200001,37.57,37.09,37.220001,732300,PDCO
2013-02-20,37.150002,37.32,37.0,37.049999,522800,PDCO
2013-02-21,35.5,37.259998,35.009998,35.689999,1442000,PDCO
2013-02-22,35.950001,36.290001,35.700001,36.040001,424900,PDCO
2013-02-25,36.220001,36.41,35.779999,35.779999,511700,PDCO
2013-02-26,35.810001,35.990002,35.459999,35.790001,547400,PDCO
2013-02-27,35.880001,36.490002,35.880001,36.18,414500,PDCO
2013-02-28,36.290001,36.57,36.220001,36.34,303700,PDCO
2013-03-01,36.25,36.490002,35.91,36.450001,425400,PDCO
2013-03-04,36.349998,36.380001,35.93,36.32,608700,PDCO
2013-03-05,36.43,36.73,36.32,36.48,434600,PDCO
2013-03-06,36.52,36.720001,36.34,36.439999,209200,PDCO
2013-03-07,36.529999,36.740002,36.450001,36.560001,355700,PDCO
2013-03-08,36.650002,36.880001,36.610001,36.849998,258700,PDCO
2013-03-11,36.82,37.200001,36.799999,37.169998,488200,PDCO
2013-03-12,37.09,37.32,37.080002,37.18,404100,PDCO
2013-03-13,37.209999,37.41,37.009998,37.380001,505300,PDCO
2013-03-14,37.400002,37.509998,37.290001,37.450001,483200,PDCO
2013-03-15,37.299999,37.400002,36.82,37.209999,1348300,PDCO
2013-03-18,36.91,37.25,36.799999,37.02,405500,PDCO
2013-03-19,37.740002,38.029999,37.369999,37.57,1119800,PDCO
2013-03-20,37.93,38.240002,37.919998,37.990002,996900,PDCO
2013-03-21,37.790001,37.959999,37.490002,37.610001,673800,PDCO
2013-03-22,37.66,37.900002,37.630001,37.740002,573800,PDCO
2013-03-25,37.849998,37.950001,37.419998,37.5,728200,PDCO
2013-03-26,37.68,37.91,37.450001,37.490002,842700,PDCO
2013-03-27,37.41,37.689999,37.330002,37.650002,492400,PDCO
2013-03-28,37.630001,38.09,37.5,38.040001,432600,PDCO
2013-04-01,38.119999,38.18,37.689999,37.790001,544900,PDCO
2013-04-02,37.889999,38.25,37.66,37.669998,538800,PDCO
2013-04-03,37.610001,37.700001,36.830002,37.009998,1116500,PDCO
2013-04-04,36.98,37.220001,36.779999,37.220001,638300,PDCO
2013-04-05,36.880001,36.91,36.709999,36.860001,461700,PDCO
2013-04-08,36.77,37.32,36.77,37.290001,450400,PDCO
2013-04-09,36.470001,37.119999,36.029999,36.59,1349200,PDCO
2013-04-10,36.5,36.919998,36.220001,36.720001,1282600,PDCO
2013-04-11,36.860001,37.400002,36.650002,37.290001,880700,PDCO
2013-04-12,37.25,37.509998,37.16,37.279999,972100,PDCO
2013-04-15,37.5,37.68,36.669998,36.669998,925500,PDCO
2013-04-16,36.77,37.310001,36.599998,37.279999,535400,PDCO
2013-04-17,37.119999,37.299999,36.630001,36.73,1118100,PDCO
2013-04-18,36.73,36.75,36.330002,36.470001,547400,PDCO
2013-04-19,36.610001,37.220001,36.43,37.200001,473600,PDCO
2013-04-22,37.209999,37.220001,36.84,37.07,378700,PDCO
2013-04-23,37.130001,37.349998,36.77,37.279999,416600,PDCO
2013-04-24,37.310001,37.669998,37.099998,37.650002,734300,PDCO
2013-04-25,37.689999,37.950001,37.689999,37.73,652300,PDCO
2013-04-26,37.669998,37.790001,37.209999,37.470001,411900,PDCO
2013-04-29,37.470001,37.740002,37.470001,37.700001,220800,PDCO
2013-04-30,37.610001,37.959999,37.439999,37.950001,497600,PDCO
2013-05-01,37.990002,38.0,37.630001,37.669998,426800,PDCO
2013-05-02,37.619999,38.23,37.52,38.16,596800,PDCO
2013-05-03,38.32,38.66,38.25,38.439999,649900,PDCO
2013-05-06,38.380001,38.599998,38.360001,38.490002,264800,PDCO
2013-05-07,38.349998,38.650002,38.099998,38.540001,541100,PDCO
2013-05-08,38.59,38.880001,38.290001,38.860001,485500,PDCO
2013-05-09,38.639999,38.990002,38.349998,38.790001,630100,PDCO
2013-05-10,38.869999,38.970001,38.68,38.790001,797800,PDCO
2013-05-13,38.669998,38.779999,38.400002,38.450001,483000,PDCO
2013-05-14,38.09,38.68,37.98,38.669998,504600,PDCO
2013-05-15,38.529999,38.950001,38.419998,38.91,407600,PDCO
2013-05-16,38.889999,38.990002,38.639999,38.720001,369700,PDCO
2013-05-17,38.900002,38.900002,38.509998,38.68,793300,PDCO
2013-05-20,38.73,38.959999,38.639999,38.790001,689400,PDCO
2013-05-21,38.759998,39.23,38.75,39.23,765200,PDCO
2013-05-22,39.200001,39.82,38.889999,39.0,990600,PDCO
2013-05-23,37.939999,39.630001,37.939999,39.549999,985700,PDCO
2013-05-24,39.540001,39.540001,38.630001,39.200001,607000,PDCO
2013-05-28,39.610001,39.900002,39.240002,39.700001,526100,PDCO
2013-05-29,39.259998,39.400002,38.77,38.93,775000,PDCO
2013-05-30,38.810001,39.360001,38.810001,39.080002,648000,PDCO
2013-05-31,38.959999,39.389999,38.709999,39.080002,1047200,PDCO
2013-06-03,39.049999,39.209999,38.580002,39.209999,459800,PDCO
2013-06-04,39.299999,39.34,38.779999,38.990002,584800,PDCO
2013-06-05,38.959999,38.98,38.299999,38.400002,756000,PDCO
2013-06-06,38.48,38.509998,37.900002,38.41,784100,PDCO
2013-06-07,38.59,38.98,38.57,38.98,628800,PDCO
2013-06-10,39.07,39.48,38.860001,39.240002,718800,PDCO
2013-06-11,39.040001,39.290001,38.52,39.07,635000,PDCO
2013-06-12,39.32,39.34,38.619999,38.669998,374300,PDCO
2013-06-13,38.540001,39.139999,38.470001,39.049999,502200,PDCO
2013-06-14,38.900002,39.119999,38.669998,38.759998,467900,PDCO
2013-06-17,39.099998,39.34,38.970001,39.209999,711500,PDCO
2013-06-18,39.23,39.299999,38.82,39.080002,604400,PDCO
2013-06-19,39.240002,39.279999,38.25,38.310001,913500,PDCO
2013-06-20,37.900002,37.959999,37.169998,37.310001,1075500,PDCO
2013-06-21,37.450001,37.75,37.189999,37.419998,1468000,PDCO
2013-06-24,37.139999,37.470001,36.880001,37.240002,651200,PDCO
2013-06-25,37.560001,37.560001,36.900002,37.299999,614900,PDCO
2013-06-26,37.439999,37.830002,37.130001,37.200001,697400,PDCO
2013-06-27,37.419998,37.810001,37.23,37.580002,719000,PDCO
2013-06-28,37.450001,37.860001,37.150002,37.599998,949400,PDCO
2013-07-01,37.77,38.07,37.619999,37.73,827800,PDCO
2013-07-02,37.720001,37.939999,37.509998,37.860001,957800,PDCO
2013-07-03,37.810001,38.0,37.59,37.740002,539100,PDCO
2013-07-05,38.150002,38.400002,37.580002,37.970001,815700,PDCO
2013-07-08,38.07,38.459999,38.009998,38.32,547700,PDCO
2013-07-09,38.490002,38.810001,38.25,38.57,722900,PDCO
2013-07-10,38.639999,39.110001,38.450001,39.099998,766600,PDCO
2013-07-11,39.5,39.5,39.240002,39.380001,594600,PDCO
2013-07-12,39.450001,39.68,39.27,39.650002,351200,PDCO
2013-07-15,39.869999,40.02,39.619999,39.849998,511900,PDCO
2013-07-16,39.75,39.93,39.669998,39.75,497600,PDCO
2013-07-17,39.880001,39.98,39.599998,39.830002,511400,PDCO
2013-07-18,39.830002,40.32,39.709999,40.27,459800,PDCO
2013-07-19,40.299999,40.529999,40.049999,40.349998,433500,PDCO
2013-07-22,40.540001,40.639999,40.240002,40.470001,383300,PDCO
2013-07-23,40.470001,40.610001,40.080002,40.400002,421900,PDCO
2013-07-24,40.459999,40.689999,40.0,40.130001,473300,PDCO
2013-07-25,40.150002,40.560001,40.02,40.549999,423600,PDCO
2013-07-26,40.400002,40.77,40.099998,40.59,452400,PDCO
2013-07-29,40.41,40.59,40.279999,40.52,284900,PDCO
2013-07-30,40.700001,41.02,40.59,40.740002,567200,PDCO
2013-07-31,40.91,41.25,40.700001,40.889999,576400,PDCO
2013-08-01,41.139999,41.75,40.779999,41.639999,463800,PDCO
2013-08-02,41.84,41.880001,41.360001,41.84,541100,PDCO
2013-08-05,41.82,41.82,41.41,41.77,426200,PDCO
2013-08-06,41.650002,41.869999,41.52,41.799999,528100,PDCO
2013-08-07,41.799999,41.919998,41.580002,41.790001,447500,PDCO
2013-08-08,41.900002,42.34,41.849998,42.27,386300,PDCO
2013-08-09,42.299999,42.419998,42.0,42.09,422200,PDCO
2013-08-12,41.91,42.450001,41.810001,42.32,478700,PDCO
2013-08-13,42.400002,42.619999,41.959999,42.599998,422900,PDCO
2013-08-14,42.59,42.689999,42.25,42.349998,516800,PDCO
2013-08-15,42.169998,42.23,41.549999,41.59,467300,PDCO
2013-08-16,41.549999,41.869999,41.349998,41.52,599900,PDCO
2013-08-19,41.630001,41.900002,41.470001,41.470001,501900,PDCO
2013-08-20,41.5,41.98,41.220001,41.869999,553100,PDCO
2013-08-21,41.75,41.91,41.369999,41.650002,907800,PDCO
2013-08-22,40.310001,41.110001,40.0,40.650002,1325500,PDCO
2013-08-23,40.900002,41.189999,40.720001,41.009998,708300,PDCO
2013-08-26,41.040001,41.200001,40.419998,40.450001,701500,PDCO
2013-08-27,40.049999,40.169998,39.889999,39.959999,762000,PDCO
2013-08-28,39.98,40.189999,39.779999,39.799999,457100,PDCO
2013-08-29,39.669998,40.279999,39.360001,39.98,486300,PDCO
2013-08-30,39.959999,39.970001,39.73,39.880001,507300,PDCO
2013-09-03,40.419998,40.689999,39.720001,39.830002,746400,PDCO
2013-09-04,39.77,40.080002,39.689999,40.009998,554600,PDCO
2013-09-05,39.98,40.25,39.919998,40.07,384800,PDCO
2013-09-06,40.119999,40.349998,39.560001,40.029999,474800,PDCO
2013-09-09,40.09,40.259998,39.880001,40.259998,429000,PDCO
2013-09-10,40.41,40.889999,40.25,40.650002,389800,PDCO
2013-09-11,40.639999,41.02,40.459999,40.990002,573800,PDCO
