Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,72.32,72.470001,71.839996,72.379997,202800,TFX
2013-01-03,72.519997,73.120003,72.330002,72.970001,135500,TFX
2013-01-04,73.209999,73.68,72.839996,73.220001,91700,TFX
2013-01-07,72.910004,74.269997,72.879997,73.839996,167700,TFX
2013-01-08,73.970001,74.050003,73.410004,73.43,283300,TFX
2013-01-09,73.68,74.330002,73.550003,73.75,449900,TFX
2013-01-10,74.040001,74.089996,73.0,73.32,145500,TFX
2013-01-11,73.190002,73.849998,72.989998,73.360001,153300,TFX
2013-01-14,73.25,73.629997,72.900002,73.269997,272000,TFX
2013-01-15,73.07,73.68,72.720001,73.400002,94100,TFX
2013-01-16,73.209999,73.269997,72.919998,73.150002,112400,TFX
2013-01-17,73.480003,73.830002,73.209999,73.519997,82700,TFX
2013-01-18,73.57,74.470001,73.339996,74.32,251200,TFX
2013-01-22,74.25,74.940002,74.25,74.919998,123100,TFX
2013-01-23,74.989998,75.0,74.529999,74.800003,172700,TFX
2013-01-24,74.949997,75.279999,74.540001,74.699997,258600,TFX
2013-01-25,74.93,75.139999,74.779999,75.0,520900,TFX
2013-01-28,75.080002,75.610001,74.699997,75.440002,129500,TFX
2013-01-29,75.400002,75.75,74.809998,75.339996,211700,TFX
2013-01-30,75.379997,75.379997,74.879997,75.089996,174000,TFX
2013-01-31,75.32,75.400002,74.720001,75.0,182600,TFX
2013-02-01,75.0,75.919998,74.760002,75.870003,226200,TFX
2013-02-04,75.290001,75.879997,75.110001,75.290001,177200,TFX
2013-02-05,75.389999,76.370003,75.050003,76.32,159800,TFX
2013-02-06,75.959999,76.769997,75.940002,76.75,142300,TFX
2013-02-07,76.540001,77.019997,75.970001,76.949997,244700,TFX
2013-02-08,77.199997,77.199997,76.32,76.629997,155200,TFX
2013-02-11,78.07,79.779999,77.239998,77.470001,406700,TFX
2013-02-12,77.459999,77.75,77.339996,77.480003,194200,TFX
2013-02-13,77.639999,77.849998,77.279999,77.599998,243300,TFX
2013-02-14,77.620003,77.620003,76.889999,77.099998,337800,TFX
2013-02-15,77.300003,77.360001,77.040001,77.129997,121000,TFX
2013-02-19,77.199997,78.57,77.150002,78.57,413700,TFX
2013-02-20,78.389999,78.68,77.589996,77.620003,339400,TFX
2013-02-21,77.43,78.610001,77.18,78.339996,468400,TFX
2013-02-22,78.760002,78.760002,77.610001,78.379997,184000,TFX
2013-02-25,78.769997,79.309998,77.889999,77.989998,466700,TFX
2013-02-26,78.489998,79.07,78.099998,78.620003,604000,TFX
2013-02-27,78.75,80.040001,78.75,79.389999,371300,TFX
2013-02-28,79.559998,81.089996,79.449997,79.959999,535800,TFX
2013-03-01,79.400002,79.919998,78.459999,79.690002,385200,TFX
2013-03-04,79.150002,79.379997,78.82,79.309998,362700,TFX
2013-03-05,79.43,80.910004,79.43,80.669998,196300,TFX
2013-03-06,80.68,80.989998,80.239998,80.330002,144100,TFX
2013-03-07,80.07,80.379997,79.779999,79.809998,137100,TFX
2013-03-08,79.639999,80.360001,79.599998,80.230003,276200,TFX
2013-03-11,79.690002,80.879997,79.690002,80.709999,101500,TFX
2013-03-12,80.629997,81.290001,80.489998,81.25,137200,TFX
2013-03-13,81.260002,81.489998,81.040001,81.370003,393600,TFX
2013-03-14,81.559998,82.379997,81.480003,82.260002,343600,TFX
2013-03-15,81.93,82.019997,81.379997,81.849998,232000,TFX
2013-03-18,81.190002,81.610001,80.919998,81.199997,206200,TFX
2013-03-19,81.209999,81.440002,80.709999,81.370003,191400,TFX
2013-03-20,81.650002,81.970001,81.400002,81.480003,178600,TFX
2013-03-21,81.139999,81.699997,80.910004,81.18,258600,TFX
2013-03-22,81.120003,81.699997,81.010002,81.440002,250900,TFX
2013-03-25,81.739998,82.099998,81.18,81.949997,231700,TFX
2013-03-26,82.330002,83.010002,82.300003,83.010002,108400,TFX
2013-03-27,82.75,83.349998,82.129997,83.349998,185300,TFX
2013-03-28,83.610001,84.580002,83.279999,84.510002,311100,TFX
2013-04-01,84.099998,84.309998,83.75,84.260002,627900,TFX
2013-04-02,84.059998,85.150002,84.059998,84.879997,490300,TFX
2013-04-03,84.940002,85.080002,84.160004,84.480003,477400,TFX
2013-04-04,84.650002,85.309998,84.330002,85.309998,274300,TFX
2013-04-05,84.529999,85.349998,84.059998,84.940002,609300,TFX
2013-04-08,85.010002,85.610001,84.5,85.540001,600400,TFX
2013-04-09,86.010002,86.809998,85.550003,86.190002,678300,TFX
2013-04-10,86.18,87.459999,85.980003,87.010002,412800,TFX
2013-04-11,86.980003,87.449997,86.389999,86.459999,377200,TFX
2013-04-12,86.459999,86.480003,84.660004,85.5,762800,TFX
2013-04-15,85.290001,85.709999,84.010002,84.099998,299300,TFX
2013-04-16,84.550003,85.029999,83.690002,84.959999,256400,TFX
2013-04-17,84.449997,84.639999,83.279999,83.68,247600,TFX
2013-04-18,83.699997,83.760002,82.370003,82.860001,398600,TFX
2013-04-19,82.980003,83.860001,82.519997,83.510002,333500,TFX
2013-04-22,83.5,83.5,82.889999,83.230003,219100,TFX
2013-04-23,83.629997,83.760002,83.0,83.699997,340700,TFX
2013-04-24,83.760002,83.769997,83.150002,83.32,161600,TFX
2013-04-25,83.650002,83.650002,82.839996,82.980003,182000,TFX
2013-04-26,82.900002,83.110001,82.120003,82.260002,201300,TFX
2013-04-29,82.629997,82.629997,81.970001,82.239998,404300,TFX
2013-04-30,82.019997,82.019997,77.459999,78.129997,1195400,TFX
2013-05-01,77.720001,78.190002,76.900002,77.360001,666800,TFX
2013-05-02,77.589996,78.510002,77.32,77.739998,335800,TFX
2013-05-03,78.120003,78.5,77.940002,78.339996,384900,TFX
2013-05-06,78.339996,78.5,77.730003,77.760002,275900,TFX
2013-05-07,77.709999,78.410004,77.519997,78.279999,320800,TFX
2013-05-08,78.309998,79.309998,78.07,79.300003,279300,TFX
2013-05-09,79.25,80.059998,79.190002,79.889999,350200,TFX
2013-05-10,80.139999,80.5,79.949997,80.43,322100,TFX
2013-05-13,80.129997,80.139999,79.650002,79.760002,171000,TFX
2013-05-14,79.480003,80.419998,79.480003,80.389999,332500,TFX
2013-05-15,80.129997,80.650002,79.940002,80.639999,262200,TFX
2013-05-16,80.440002,80.639999,80.160004,80.599998,590700,TFX
2013-05-17,80.900002,81.07,80.169998,80.419998,155000,TFX
2013-05-20,80.43,80.720001,79.800003,79.870003,116000,TFX
2013-05-21,79.959999,80.019997,79.099998,79.25,297000,TFX
2013-05-22,79.300003,80.18,77.690002,77.980003,194700,TFX
2013-05-23,77.529999,78.610001,77.379997,78.300003,179700,TFX
2013-05-24,78.660004,78.949997,77.940002,78.709999,130000,TFX
2013-05-28,79.309998,80.099998,78.739998,78.830002,121700,TFX
2013-05-29,78.580002,78.580002,77.620003,78.129997,200200,TFX
2013-05-30,78.209999,78.889999,77.970001,78.870003,150200,TFX
