Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,38.709999,38.720001,37.810001,38.450001,833000,THO
2013-01-03,38.400002,38.68,38.029999,38.459999,572400,THO
2013-01-04,38.68,38.720001,38.32,38.700001,502100,THO
2013-01-07,38.619999,39.169998,38.509998,38.950001,568600,THO
2013-01-08,38.740002,39.669998,38.689999,39.630001,1065300,THO
2013-01-09,39.540001,40.75,39.540001,40.389999,928300,THO
2013-01-10,40.77,41.099998,40.07,40.860001,722000,THO
2013-01-11,40.990002,41.43,40.900002,41.200001,508700,THO
2013-01-14,41.349998,41.439999,40.73,40.889999,308300,THO
2013-01-15,40.759998,41.700001,40.619999,41.450001,389800,THO
2013-01-16,41.369999,41.369999,40.509998,40.82,423200,THO
2013-01-17,41.25,41.59,40.290001,40.84,995700,THO
2013-01-18,40.740002,40.869999,39.959999,40.419998,854800,THO
2013-01-22,40.470001,40.540001,40.25,40.52,337800,THO
2013-01-23,40.52,40.799999,40.189999,40.57,459000,THO
2013-01-24,40.43,42.459999,40.43,42.389999,1490800,THO
2013-01-25,42.869999,44.029999,42.759998,43.91,1907600,THO
2013-01-28,44.25,44.279999,43.470001,43.52,940800,THO
2013-01-29,43.5,43.650002,42.290001,42.599998,1144300,THO
2013-01-30,42.66,42.66,41.75,41.91,487600,THO
2013-01-31,41.889999,42.18,41.490002,42.080002,465600,THO
2013-02-01,42.43,42.669998,41.959999,42.349998,529400,THO
2013-02-04,42.009998,42.009998,39.450001,39.799999,1824600,THO
2013-02-05,41.0,41.09,37.68,37.990002,1962100,THO
2013-02-06,38.110001,38.439999,37.369999,37.849998,2463000,THO
2013-02-07,38.060001,38.369999,37.810001,37.93,1012200,THO
2013-02-08,37.860001,37.990002,37.490002,37.93,606700,THO
2013-02-11,37.82,37.93,37.650002,37.810001,375000,THO
2013-02-12,37.830002,38.200001,37.650002,37.799999,378700,THO
2013-02-13,37.810001,37.959999,37.549999,37.77,589800,THO
2013-02-14,37.669998,38.25,37.57,38.060001,495200,THO
2013-02-15,38.029999,38.599998,37.98,38.02,626600,THO
2013-02-19,38.080002,38.540001,37.84,37.98,872200,THO
2013-02-20,38.0,38.110001,36.889999,37.049999,698800,THO
2013-02-21,36.93,37.049999,36.299999,36.799999,570800,THO
2013-02-22,36.959999,37.919998,36.959999,37.779999,365900,THO
2013-02-25,37.950001,38.080002,36.490002,36.490002,314700,THO
2013-02-26,36.700001,37.240002,36.299999,36.91,405400,THO
2013-02-27,36.869999,38.040001,36.689999,37.759998,343500,THO
2013-02-28,37.77,38.07,37.59,37.59,335800,THO
2013-03-01,37.450001,38.040001,36.98,37.720001,500400,THO
2013-03-04,37.630001,37.880001,37.450001,37.82,567600,THO
2013-03-05,38.0,38.27,37.509998,37.84,422700,THO
2013-03-06,38.0,38.380001,37.77,38.330002,295200,THO
2013-03-07,38.540001,38.860001,38.330002,38.439999,427600,THO
2013-03-08,36.98,37.939999,36.049999,37.73,1178700,THO
2013-03-11,37.599998,38.299999,37.470001,38.130001,610400,THO
2013-03-12,38.080002,38.799999,38.049999,38.540001,412200,THO
2013-03-13,38.580002,38.700001,38.240002,38.619999,300800,THO
2013-03-14,38.810001,39.299999,38.509998,39.130001,441600,THO
2013-03-15,39.07,39.07,38.529999,38.700001,415000,THO
2013-03-18,38.27,38.27,37.360001,37.48,467400,THO
2013-03-19,37.669998,37.740002,36.650002,36.950001,525300,THO
2013-03-20,37.139999,37.349998,36.75,37.16,545900,THO
2013-03-21,37.0,37.169998,36.25,36.43,521700,THO
2013-03-22,36.549999,36.59,36.16,36.279999,324700,THO
2013-03-25,36.48,36.599998,36.080002,36.450001,482000,THO
2013-03-26,36.779999,36.779999,35.639999,36.080002,972400,THO
2013-03-27,35.700001,36.529999,35.700001,36.41,498500,THO
2013-03-28,36.529999,37.470001,36.529999,36.790001,575100,THO
2013-04-01,36.610001,37.27,36.610001,37.049999,709000,THO
2013-04-02,37.110001,37.240002,36.48,36.73,690100,THO
2013-04-03,36.799999,36.810001,35.610001,36.009998,760400,THO
2013-04-04,35.950001,36.34,35.549999,36.23,573100,THO
2013-04-05,35.52,36.169998,35.139999,36.09,546400,THO
2013-04-08,36.139999,36.220001,35.630001,36.07,232700,THO
2013-04-09,36.060001,36.389999,35.669998,35.919998,393900,THO
2013-04-10,35.990002,36.950001,35.759998,36.560001,416700,THO
2013-04-11,36.560001,37.709999,36.279999,37.27,572000,THO
2013-04-12,37.07,37.34,36.5,37.0,349700,THO
2013-04-15,36.779999,36.779999,35.509998,35.57,625500,THO
2013-04-16,35.759998,36.529999,35.610001,36.529999,440400,THO
2013-04-17,36.259998,36.360001,35.540001,35.779999,786000,THO
