Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,30.0,30.76,30.0,30.76,1155200,TRMB
2013-01-03,30.66,31.035,30.52,30.625,893400,TRMB
2013-01-04,30.745001,31.115,30.584999,30.969999,1144000,TRMB
2013-01-07,30.66,31.190001,30.655001,30.865,2288600,TRMB
2013-01-08,30.84,31.115,30.545,31.115,1517000,TRMB
2013-01-09,31.120001,31.57,31.09,31.42,1287600,TRMB
2013-01-10,31.549999,31.66,30.82,31.02,868800,TRMB
2013-01-11,31.014999,31.245001,30.754999,31.040001,892600,TRMB
2013-01-14,31.025,31.254999,31.0,31.254999,868800,TRMB
2013-01-15,30.995001,31.165001,30.9,31.110001,786200,TRMB
2013-01-16,31.004999,31.059999,30.9,30.93,1114600,TRMB
2013-01-17,31.155001,31.23,30.93,31.004999,1020200,TRMB
2013-01-18,31.139999,31.139999,30.9,31.09,1321600,TRMB
2013-01-22,31.23,31.5,30.99,31.42,1274800,TRMB
2013-01-23,31.309999,31.530001,31.094999,31.450001,1098000,TRMB
2013-01-24,31.42,31.915001,31.370001,31.545,1087000,TRMB
2013-01-25,31.645,32.014999,31.514999,31.780001,1097800,TRMB
2013-01-28,31.85,32.02,31.514999,31.65,1043000,TRMB
2013-01-29,31.735001,31.75,31.365,31.639999,774400,TRMB
2013-01-30,31.75,31.905001,31.584999,31.629999,632200,TRMB
2013-01-31,31.51,31.629999,31.155001,31.25,1314400,TRMB
2013-02-01,31.415001,31.690001,31.184999,31.225,1980200,TRMB
2013-02-04,31.059999,31.395,30.75,31.23,1243800,TRMB
2013-02-05,31.295,32.029999,31.285,31.75,2097000,TRMB
2013-02-06,30.055,30.84,30.014999,30.344999,4211000,TRMB
2013-02-07,30.24,30.495001,29.635,30.045,1792000,TRMB
2013-02-08,30.065001,30.305,29.91,30.105,1386800,TRMB
2013-02-11,29.98,30.209999,29.575001,29.790001,1458800,TRMB
2013-02-12,29.995001,30.785,29.879999,30.355,2342000,TRMB
2013-02-13,30.504999,30.950001,30.375,30.879999,2335000,TRMB
2013-02-14,30.735001,30.950001,30.65,30.780001,1336400,TRMB
2013-02-15,30.860001,30.93,30.745001,30.855,1948400,TRMB
2013-02-19,30.809999,31.110001,30.690001,31.049999,1282800,TRMB
2013-02-20,30.639999,31.084999,30.475,30.485001,1684800,TRMB
2013-02-21,30.360001,30.360001,29.385,29.51,1412000,TRMB
2013-02-22,29.715,29.9,29.379999,29.549999,1298200,TRMB
2013-02-25,29.700001,29.76,28.85,28.870001,1113600,TRMB
2013-02-26,29.014999,29.200001,28.725,28.82,959600,TRMB
2013-02-27,28.875,29.790001,28.68,29.620001,1117600,TRMB
2013-02-28,29.555,29.91,29.545,29.715,1325800,TRMB
2013-03-01,29.535,29.93,29.075001,29.73,1593000,TRMB
2013-03-04,29.66,30.075001,29.59,29.995001,1285000,TRMB
2013-03-05,30.129999,30.73,30.129999,30.514999,1122000,TRMB
2013-03-06,30.525,30.59,30.17,30.295,716600,TRMB
2013-03-07,30.295,30.705,30.254999,30.674999,783400,TRMB
2013-03-08,30.889999,30.934999,30.584999,30.844999,1188600,TRMB
2013-03-11,30.825001,30.959999,30.385,30.610001,1726200,TRMB
2013-03-12,30.49,30.665001,30.16,30.235001,1361600,TRMB
2013-03-13,30.35,30.35,30.105,30.264999,1346000,TRMB
2013-03-14,30.290001,30.57,30.190001,30.309999,1635800,TRMB
2013-03-15,30.285,30.379999,29.905001,29.965,5256400,TRMB
2013-03-18,29.75,30.225,29.655001,30.059999,1732000,TRMB
2013-03-19,30.075001,30.450001,29.705,29.985001,758600,TRMB
2013-03-20,30.135,30.26,30.014999,30.139999,1699200,TRMB
2013-03-21,30.07,30.209999,29.24,29.440001,1524900,TRMB
2013-03-22,29.67,29.790001,29.16,29.59,1703400,TRMB
2013-03-25,29.620001,29.75,29.200001,29.549999,777300,TRMB
2013-03-26,29.59,29.92,29.290001,29.42,978900,TRMB
2013-03-27,29.15,29.15,28.370001,28.93,3031100,TRMB
2013-03-28,28.799999,30.02,28.58,29.959999,1963700,TRMB
2013-04-01,30.01,30.190001,29.0,29.08,1102400,TRMB
2013-04-02,29.120001,29.200001,28.34,28.57,1552200,TRMB
2013-04-03,28.65,28.860001,28.57,28.709999,2103700,TRMB
2013-04-04,28.639999,29.02,28.51,29.0,931200,TRMB
2013-04-05,28.690001,28.889999,28.35,28.629999,927200,TRMB
2013-04-08,28.59,28.74,28.290001,28.549999,775400,TRMB
2013-04-09,28.610001,28.74,28.34,28.52,604200,TRMB
2013-04-10,28.65,29.440001,28.549999,29.120001,958100,TRMB
2013-04-11,29.139999,29.309999,28.959999,29.200001,646200,TRMB
2013-04-12,29.059999,29.280001,28.65,28.780001,926100,TRMB
2013-04-15,28.65,28.700001,27.190001,27.459999,1477800,TRMB
2013-04-16,27.83,28.370001,27.459999,28.299999,1186900,TRMB
2013-04-17,28.110001,28.120001,27.370001,27.549999,1027800,TRMB
2013-04-18,27.57,27.809999,27.049999,27.139999,1235600,TRMB
2013-04-19,27.25,27.459999,26.799999,27.41,786700,TRMB
2013-04-22,27.42,27.620001,27.110001,27.25,1237800,TRMB
2013-04-23,27.48,27.48,26.9,27.41,1163600,TRMB
2013-04-24,27.469999,28.049999,27.35,27.99,1159500,TRMB
2013-04-25,28.200001,28.790001,28.15,28.6,1319100,TRMB
2013-04-26,28.52,28.549999,27.950001,28.209999,592100,TRMB
2013-04-29,28.33,28.59,27.93,28.26,2172100,TRMB
2013-04-30,28.290001,28.809999,27.93,28.74,2324000,TRMB
2013-05-01,26.540001,27.6,26.040001,26.43,5639000,TRMB
2013-05-02,26.65,26.790001,26.23,26.27,1701000,TRMB
2013-05-03,26.629999,27.129999,26.33,27.09,2257600,TRMB
2013-05-06,27.0,27.799999,27.0,27.76,1683100,TRMB
2013-05-07,27.870001,28.16,27.58,28.08,2089500,TRMB
2013-05-08,28.08,28.639999,27.91,28.629999,1258700,TRMB
2013-05-09,28.65,28.77,28.360001,28.690001,832400,TRMB
2013-05-10,28.85,29.35,28.620001,29.139999,1509800,TRMB
2013-05-13,29.110001,29.190001,28.83,29.059999,1053800,TRMB
2013-05-14,29.02,29.18,27.93,28.49,2749200,TRMB
2013-05-15,28.469999,29.129999,28.41,29.07,1852900,TRMB
2013-05-16,29.1,29.6,28.98,29.049999,1885200,TRMB
2013-05-17,29.129999,29.26,28.99,28.99,1978300,TRMB
2013-05-20,28.99,29.41,28.950001,29.190001,1779300,TRMB
2013-05-21,29.0,29.27,29.0,29.08,884400,TRMB
2013-05-22,28.860001,29.24,28.27,28.35,1021900,TRMB
2013-05-23,28.23,28.34,27.9,28.040001,936600,TRMB
2013-05-24,27.93,27.93,27.52,27.690001,1175700,TRMB
2013-05-28,28.629999,28.709999,27.74,28.09,2188300,TRMB
2013-05-29,28.0,28.120001,27.629999,27.73,1819100,TRMB
2013-05-30,27.76,28.5,27.75,28.379999,2778100,TRMB
2013-05-31,28.200001,28.59,27.870001,27.9,2209600,TRMB
2013-06-03,28.049999,28.049999,27.42,27.799999,1458600,TRMB
2013-06-04,27.85,28.059999,27.200001,27.23,1545400,TRMB
2013-06-05,27.16,27.26,26.48,26.5,2058300,TRMB
2013-06-06,26.530001,26.799999,26.299999,26.67,1542900,TRMB
2013-06-07,26.799999,27.110001,26.67,27.0,1195900,TRMB
2013-06-10,27.01,27.389999,26.719999,26.790001,1706300,TRMB
2013-06-11,26.459999,26.879999,26.07,26.440001,1709000,TRMB
2013-06-12,26.66,26.74,26.049999,26.15,1593900,TRMB
2013-06-13,26.059999,26.200001,25.639999,26.0,2107600,TRMB
2013-06-14,25.99,26.49,25.9,26.25,2065700,TRMB
2013-06-17,26.5,26.709999,26.33,26.450001,955600,TRMB
2013-06-18,26.610001,27.139999,26.4,27.0,1735700,TRMB
2013-06-19,27.0,27.0,26.360001,26.4,1403600,TRMB
2013-06-20,25.98,26.1,25.41,25.57,2275700,TRMB
2013-06-21,25.639999,26.059999,25.26,25.370001,2952800,TRMB
2013-06-24,25.0,25.120001,24.66,24.85,1960500,TRMB
2013-06-25,25.110001,25.389999,24.790001,25.190001,1755600,TRMB
2013-06-26,25.559999,25.709999,25.07,25.15,1316500,TRMB
2013-06-27,25.77,26.219999,25.610001,25.98,2477700,TRMB
2013-06-28,25.969999,26.200001,25.690001,25.99,2914900,TRMB
2013-07-01,26.23,26.719999,26.040001,26.35,1805900,TRMB
2013-07-02,26.360001,26.790001,26.15,26.35,1275700,TRMB
2013-07-03,26.139999,26.879999,26.139999,26.68,854900,TRMB
2013-07-05,26.84,27.379999,26.74,27.370001,1064000,TRMB
2013-07-08,27.51,27.790001,26.91,26.93,1623000,TRMB
2013-07-09,27.219999,27.43,27.139999,27.25,1077100,TRMB
2013-07-10,27.290001,27.790001,27.280001,27.77,1435700,TRMB
2013-07-11,28.110001,28.26,27.719999,27.969999,1165300,TRMB
2013-07-12,27.92,28.1,27.290001,27.48,1785800,TRMB
2013-07-15,27.559999,27.700001,27.23,27.26,1459600,TRMB
2013-07-16,27.25,27.389999,27.030001,27.16,1299200,TRMB
2013-07-17,27.42,27.42,27.110001,27.23,814500,TRMB
2013-07-18,27.309999,27.370001,27.1,27.32,982400,TRMB
2013-07-19,27.190001,27.549999,27.16,27.5,536100,TRMB
2013-07-22,27.870001,28.58,27.799999,28.440001,1430800,TRMB
2013-07-23,28.48,29.049999,28.48,29.02,1694400,TRMB
2013-07-24,29.08,29.32,28.49,28.5,1098200,TRMB
2013-07-25,28.34,28.57,28.23,28.450001,976800,TRMB
2013-07-26,28.26,28.530001,27.76,27.82,1252100,TRMB
2013-07-29,27.719999,28.129999,27.709999,27.860001,1244100,TRMB
2013-07-30,27.83,28.17,27.67,28.02,2286600,TRMB
2013-07-31,27.68,28.790001,26.85,28.540001,2754800,TRMB
2013-08-01,28.91,28.91,27.690001,28.0,4744800,TRMB
2013-08-02,27.9,28.049999,27.709999,27.889999,1489100,TRMB
2013-08-05,27.83,28.08,27.639999,27.76,1105200,TRMB
2013-08-06,27.620001,27.74,27.059999,27.110001,1636700,TRMB
2013-08-07,26.950001,27.040001,26.43,26.450001,1832700,TRMB
2013-08-08,26.51,26.75,26.209999,26.35,2947200,TRMB
2013-08-09,26.35,26.639999,26.309999,26.43,1296300,TRMB
2013-08-12,26.33,26.959999,26.25,26.870001,1418400,TRMB
2013-08-13,27.450001,27.450001,26.459999,26.73,973000,TRMB
2013-08-14,26.77,26.99,26.0,26.040001,1439700,TRMB
2013-08-15,25.790001,25.790001,25.34,25.469999,1751900,TRMB
2013-08-16,25.450001,25.66,25.299999,25.450001,1240600,TRMB
2013-08-19,25.34,25.469999,25.139999,25.139999,1077100,TRMB
2013-08-20,25.200001,25.58,25.059999,25.459999,791800,TRMB
2013-08-21,25.379999,25.629999,25.290001,25.32,1120000,TRMB
2013-08-22,25.459999,25.940001,25.35,25.879999,849900,TRMB
2013-08-23,25.93,26.32,25.91,25.92,1144300,TRMB
2013-08-26,25.91,26.01,25.709999,25.76,534300,TRMB
2013-08-27,25.43,25.620001,25.120001,25.200001,1204300,TRMB
2013-08-28,25.0,25.42,24.969999,25.26,979000,TRMB
2013-08-29,25.26,25.719999,25.17,25.690001,1393400,TRMB
2013-08-30,25.690001,25.790001,25.200001,25.25,1435400,TRMB
2013-09-03,25.58,25.799999,24.9,25.190001,1855300,TRMB
2013-09-04,25.24,25.799999,25.17,25.700001,1237400,TRMB
2013-09-05,26.040001,27.15,26.01,27.1,2938100,TRMB
2013-09-06,27.18,27.43,26.639999,27.209999,2049000,TRMB
2013-09-09,27.309999,27.790001,27.25,27.58,1195500,TRMB
2013-09-10,27.75,28.209999,27.620001,28.200001,1308000,TRMB
2013-09-11,28.110001,28.27,27.99,28.27,1014500,TRMB
2013-09-12,28.200001,28.389999,28.030001,28.24,1013300,TRMB
2013-09-13,28.280001,28.42,28.09,28.4,1267800,TRMB
2013-09-16,28.76,28.77,28.15,28.280001,1579300,TRMB
2013-09-17,28.200001,28.34,28.049999,28.34,1658100,TRMB
2013-09-18,28.27,28.77,28.219999,28.76,1296000,TRMB
2013-09-19,28.809999,29.200001,28.540001,29.15,1389300,TRMB
2013-09-20,29.15,29.58,28.969999,29.389999,3067400,TRMB
2013-09-23,29.18,29.389999,28.860001,29.27,1158900,TRMB
2013-09-24,29.219999,29.68,29.17,29.5,1023100,TRMB
2013-09-25,29.49,29.98,29.4,29.76,1288200,TRMB
2013-09-26,29.73,29.98,29.549999,29.780001,1030800,TRMB
2013-09-27,29.5,30.01,29.4,29.93,1527700,TRMB
2013-09-30,29.65,29.93,29.629999,29.709999,1409000,TRMB
2013-10-01,29.700001,31.01,29.59,30.719999,3046300,TRMB
2013-10-02,30.43,30.889999,30.049999,30.889999,1490200,TRMB
2013-10-03,30.74,30.92,30.5,30.610001,1604400,TRMB
2013-10-04,30.690001,30.93,30.379999,30.67,1164000,TRMB
2013-10-07,30.309999,30.66,30.110001,30.52,1375000,TRMB
2013-10-08,30.459999,30.549999,29.549999,29.67,2048600,TRMB
2013-10-09,29.68,29.84,29.26,29.469999,1781300,TRMB
2013-10-10,29.93,30.120001,29.700001,29.940001,1931500,TRMB
2013-10-11,29.950001,30.139999,29.690001,30.0,1842500,TRMB
2013-10-14,29.74,30.059999,29.65,29.870001,2253000,TRMB
2013-10-15,29.870001,30.0,29.450001,29.6,2172300,TRMB
2013-10-16,29.790001,30.17,29.73,30.01,2575900,TRMB
2013-10-17,29.959999,30.120001,29.889999,30.0,1805200,TRMB
2013-10-18,30.139999,30.25,29.950001,30.110001,1210200,TRMB
2013-10-21,30.18,30.51,29.98,30.0,1758300,TRMB
