Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,6.104322,6.121615,5.84839,5.976356,925535,XPO
2013-01-03,5.986732,6.059361,5.927936,5.972898,529125,XPO
2013-01-04,6.000566,6.052444,5.834556,5.8726,441227,XPO
2013-01-07,5.831097,5.945229,5.654712,5.793053,750028,XPO
2013-01-08,5.810346,5.84839,5.65817,5.803429,796001,XPO
2013-01-09,5.882975,5.952146,5.796512,5.931395,363448,XPO
2013-01-10,5.976356,5.976356,5.876058,5.931395,262249,XPO
2013-01-11,5.941771,5.96598,5.903727,5.910644,393808,XPO
2013-01-14,5.910644,5.910644,5.779219,5.834556,559485,XPO
2013-01-15,5.796512,5.941771,5.758468,5.806888,543293,XPO
2013-01-16,5.803429,5.927936,5.7308,5.748092,709259,XPO
2013-01-17,5.793053,5.900268,5.723883,5.89681,747136,XPO
2013-01-18,5.900268,5.921019,5.799971,5.834556,427348,XPO
2013-01-22,5.844932,5.931395,5.779219,5.917561,712439,XPO
2013-01-23,5.914102,5.931395,5.765385,5.775761,423300,XPO
2013-01-24,5.775761,5.917561,5.727341,5.741175,442962,XPO
2013-01-25,5.741175,5.810346,5.70659,5.793053,436022,XPO
2013-01-28,5.793053,5.793053,5.751551,5.779219,401904,XPO
2013-01-29,5.789595,5.8726,5.75501,5.831097,1003892,XPO
2013-01-30,5.838014,5.838014,5.741175,5.779219,608349,XPO
2013-01-31,5.779219,5.914102,5.748092,5.793053,385423,XPO
2013-02-01,5.834556,5.907185,5.793053,5.862224,773448,XPO
2013-02-04,5.827639,5.903727,5.75501,5.862224,920620,XPO
2013-02-05,5.876058,5.959063,5.862224,5.959063,578857,XPO
2013-02-06,5.948688,5.959063,5.796512,5.851849,714463,XPO
2013-02-07,5.865683,5.882975,5.7308,5.879517,1158292,XPO
2013-02-08,5.869141,5.993649,5.869141,5.941771,506572,XPO
2013-02-11,5.972898,5.972898,5.820722,5.914102,450190,XPO
2013-02-12,5.917561,6.27379,5.917561,6.201161,1152221,XPO
2013-02-13,6.211537,6.291083,6.121615,6.225371,945197,XPO
2013-02-14,6.232288,6.311834,6.173493,6.277249,545028,XPO
2013-02-15,6.387922,6.60581,6.374088,6.429425,1251106,XPO
2013-02-19,6.419049,6.443259,6.270332,6.419049,858166,XPO
2013-02-20,6.419049,6.419049,6.121615,6.135449,756100,XPO
2013-02-21,6.138907,6.138907,5.862224,5.99019,629746,XPO
2013-02-22,6.004024,6.021317,5.914102,5.983273,314295,XPO
2013-02-25,6.052444,6.166576,5.921019,5.972898,1230288,XPO
2013-02-26,6.004024,6.114698,5.879517,6.06282,1247347,XPO
2013-02-27,6.066278,6.183868,6.031693,6.059361,1020951,XPO
2013-02-28,6.045527,6.135449,5.931395,6.024776,1672093,XPO
2013-03-01,6.042068,6.080112,5.921019,5.972898,1075020,XPO
2013-03-04,5.948688,5.96598,5.7308,5.841473,836480,XPO
2013-03-05,5.84839,6.017859,5.734258,6.000566,1457552,XPO
2013-03-06,6.004024,6.024776,5.893351,5.914102,453660,XPO
2013-03-07,5.903727,5.983273,5.810346,5.869141,623095,XPO
2013-03-08,5.917561,5.917561,5.838014,5.914102,471586,XPO
2013-03-11,5.914102,5.945229,5.831097,5.907185,483152,XPO
2013-03-12,5.917561,5.959063,5.844932,5.879517,338293,XPO
2013-03-13,5.89681,5.938312,5.827639,5.921019,325860,XPO
2013-03-14,5.959063,6.03861,5.917561,6.017859,397567,XPO
2013-03-15,6.042068,6.080112,5.983273,5.997107,422722,XPO
2013-03-18,5.96598,6.045527,5.96598,5.96598,324125,XPO
2013-03-19,5.993649,6.093946,5.931395,5.952146,373279,XPO
2013-03-20,5.969439,5.997107,5.921019,5.945229,163942,XPO
2013-03-21,5.934854,5.979815,5.84839,5.869141,658081,XPO
2013-03-22,5.869141,5.917561,5.841473,5.886434,558906,XPO
2013-03-25,5.96598,5.983273,5.862224,5.879517,505127,XPO
2013-03-26,5.8726,5.879517,5.775761,5.796512,325282,XPO
2013-03-27,5.775761,5.8726,5.70659,5.851849,460599,XPO
2013-03-28,5.914102,5.938312,5.810346,5.82418,388314,XPO
2013-04-01,5.865683,6.114698,5.813805,6.031693,1105380,XPO
2013-04-02,6.0144,6.087029,5.838014,5.84839,553991,XPO
2013-04-03,5.827639,6.0144,5.827639,5.869141,647672,XPO
2013-04-04,5.865683,5.865683,5.737717,5.779219,422433,XPO
2013-04-05,5.70659,5.737717,5.623585,5.65817,495585,XPO
2013-04-08,5.689297,5.737717,5.464492,5.544039,684971,XPO
2013-04-09,5.537122,5.602834,5.450658,5.471409,695380,XPO
2013-04-10,5.495619,5.637419,5.474868,5.589,685550,XPO
2013-04-11,5.595917,5.696214,5.595917,5.654712,298392,XPO
2013-04-12,5.609751,5.640878,5.523287,5.544039,456262,XPO
2013-04-15,5.533663,5.595917,5.353819,5.523287,764195,XPO
