Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,53.889999,54.349998,53.080002,53.66,471200,CASY
2013-01-03,53.790001,54.48,53.599998,54.360001,254000,CASY
2013-01-04,54.639999,54.849998,54.310001,54.470001,248200,CASY
2013-01-07,54.439999,54.540001,53.59,54.009998,258000,CASY
2013-01-08,54.099998,54.700001,53.869999,53.93,485200,CASY
2013-01-09,54.18,54.439999,53.419998,53.700001,325900,CASY
2013-01-10,53.98,54.779999,53.060001,53.279999,278200,CASY
2013-01-11,53.52,54.0,52.34,52.919998,381700,CASY
2013-01-14,52.82,53.080002,51.450001,52.259998,544500,CASY
2013-01-15,52.200001,53.700001,51.669998,53.580002,187900,CASY
2013-01-16,53.389999,54.189999,52.77,53.75,307900,CASY
2013-01-17,53.950001,53.950001,53.220001,53.689999,227300,CASY
2013-01-18,53.619999,54.349998,53.220001,54.279999,145500,CASY
2013-01-22,54.299999,54.57,53.740002,54.34,184900,CASY
2013-01-23,54.060001,54.720001,53.610001,54.310001,139600,CASY
2013-01-24,54.299999,55.23,53.759998,54.009998,326000,CASY
2013-01-25,54.169998,54.82,53.700001,54.810001,209100,CASY
2013-01-28,54.720001,55.060001,54.5,54.75,232400,CASY
2013-01-29,54.75,55.27,54.349998,54.470001,296300,CASY
2013-01-30,54.27,54.700001,54.0,54.43,243000,CASY
2013-01-31,54.43,54.950001,54.200001,54.73,355200,CASY
2013-02-01,55.040001,55.52,54.57,55.150002,308600,CASY
2013-02-04,54.889999,55.119999,54.169998,54.299999,363600,CASY
2013-02-05,54.599998,55.200001,54.349998,54.889999,357300,CASY
2013-02-06,54.630001,55.040001,54.23,54.849998,248600,CASY
2013-02-07,54.98,55.110001,54.52,54.84,133300,CASY
2013-02-08,55.0,55.139999,54.669998,55.110001,175100,CASY
2013-02-11,54.990002,55.23,54.34,54.669998,176000,CASY
2013-02-12,54.68,55.18,54.470001,55.060001,205300,CASY
2013-02-13,54.939999,55.290001,54.700001,55.16,147100,CASY
2013-02-14,55.099998,55.869999,54.779999,55.68,153800,CASY
2013-02-15,55.990002,55.990002,55.130001,55.43,183900,CASY
2013-02-19,55.689999,56.669998,55.09,56.419998,251900,CASY
2013-02-20,56.290001,56.650002,55.509998,55.52,265200,CASY
2013-02-21,55.389999,56.849998,55.0,56.150002,276200,CASY
2013-02-22,56.330002,56.900002,55.77,56.0,266800,CASY
2013-02-25,56.09,56.25,54.349998,54.450001,245700,CASY
2013-02-26,54.709999,55.459999,54.459999,55.380001,312900,CASY
2013-02-27,55.209999,56.91,55.209999,56.860001,229900,CASY
2013-02-28,56.73,57.400002,56.509998,56.59,189300,CASY
2013-03-01,56.110001,57.5,56.02,57.130001,195600,CASY
2013-03-04,56.849998,57.139999,56.369999,56.779999,186100,CASY
2013-03-05,56.889999,58.310001,56.889999,57.689999,371900,CASY
2013-03-06,57.650002,57.68,56.540001,56.740002,169800,CASY
2013-03-07,56.619999,57.299999,56.439999,56.73,121400,CASY
2013-03-08,57.23,57.720001,56.369999,57.5,157400,CASY
2013-03-11,57.279999,57.91,56.849998,57.400002,326000,CASY
2013-03-12,56.029999,56.650002,54.799999,55.919998,456800,CASY
2013-03-13,55.779999,56.419998,55.619999,56.049999,295600,CASY
2013-03-14,56.0,57.200001,55.830002,57.060001,226600,CASY
2013-03-15,56.82,56.82,55.610001,56.75,331500,CASY
2013-03-18,56.25,57.450001,56.25,57.25,179900,CASY
2013-03-19,57.360001,57.950001,56.869999,57.529999,176300,CASY
2013-03-20,57.709999,58.650002,57.509998,58.349998,259900,CASY
2013-03-21,58.029999,58.419998,57.740002,58.060001,204600,CASY
2013-03-22,58.240002,58.880001,58.139999,58.77,181600,CASY
2013-03-25,58.93,59.0,58.169998,58.450001,155100,CASY
2013-03-26,58.799999,58.799999,58.139999,58.580002,89100,CASY
2013-03-27,58.220001,58.560001,57.799999,58.380001,143800,CASY
2013-03-28,58.59,58.790001,58.09,58.299999,220200,CASY
2013-04-01,58.41,58.470001,57.610001,58.290001,275700,CASY
2013-04-02,58.57,58.57,57.169998,57.450001,162600,CASY
2013-04-03,56.0,56.16,54.919998,55.310001,285400,CASY
2013-04-04,55.049999,56.0,54.630001,55.900002,192200,CASY
2013-04-05,55.150002,55.5,54.779999,55.130001,178400,CASY
2013-04-08,55.380001,55.68,54.689999,55.68,120000,CASY
2013-04-09,55.919998,56.439999,55.459999,56.389999,155700,CASY
2013-04-10,56.5,57.959999,56.5,57.439999,960900,CASY
2013-04-11,57.560001,57.990002,55.93,56.07,545400,CASY
2013-04-12,55.709999,56.189999,55.34,56.119999,163800,CASY
2013-04-15,55.810001,55.810001,53.939999,54.200001,362900,CASY
2013-04-16,54.41,55.029999,53.669998,54.0,394800,CASY
2013-04-17,53.150002,54.099998,52.84,53.490002,707200,CASY
2013-04-18,53.689999,54.130001,53.27,54.0,250000,CASY
2013-04-19,54.060001,54.5,53.68,54.43,151300,CASY
2013-04-22,54.439999,55.740002,54.25,55.610001,151700,CASY
2013-04-23,55.939999,57.849998,55.700001,57.810001,274500,CASY
2013-04-24,57.93,58.240002,57.380001,58.209999,242200,CASY
2013-04-25,58.25,59.5,57.52,58.889999,385500,CASY
2013-04-26,58.75,59.48,57.990002,58.150002,244100,CASY
2013-04-29,58.330002,58.75,57.860001,58.080002,222000,CASY
2013-04-30,57.959999,58.150002,57.540001,57.91,117800,CASY
2013-05-01,57.57,57.970001,56.790001,56.950001,261200,CASY
2013-05-02,57.110001,58.439999,56.82,58.200001,183000,CASY
2013-05-03,58.580002,59.98,58.380001,59.25,256800,CASY
2013-05-06,59.299999,59.68,59.16,59.349998,165700,CASY
2013-05-07,59.5,59.68,58.799999,59.0,240500,CASY
2013-05-08,59.0,59.869999,58.889999,59.41,228200,CASY
2013-05-09,59.290001,59.439999,57.540001,57.650002,155800,CASY
2013-05-10,57.810001,57.970001,57.450001,57.700001,231500,CASY
2013-05-13,57.549999,58.700001,57.330002,58.57,231400,CASY
2013-05-14,58.560001,60.639999,58.389999,60.540001,274300,CASY
2013-05-15,60.59,61.23,59.91,60.220001,194900,CASY
2013-05-16,60.23,61.299999,59.439999,60.57,673900,CASY
2013-05-17,60.610001,61.98,60.59,61.610001,247900,CASY
2013-05-20,61.27,62.549999,61.02,62.32,248500,CASY
