Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,50.25,50.52,49.419998,50.169998,239000,FCFS
2013-01-03,50.389999,50.779999,49.779999,49.970001,155300,FCFS
2013-01-04,50.27,50.27,49.639999,49.720001,125600,FCFS
2013-01-07,49.310001,49.880001,48.689999,49.189999,148200,FCFS
2013-01-08,49.099998,49.290001,48.279999,48.959999,254800,FCFS
2013-01-09,49.240002,50.509998,49.040001,50.400002,169600,FCFS
2013-01-10,50.560001,50.560001,49.459999,49.880001,162000,FCFS
2013-01-11,49.98,50.189999,49.610001,49.880001,83100,FCFS
2013-01-14,49.779999,50.189999,49.09,50.040001,94300,FCFS
2013-01-15,49.790001,51.040001,49.5,50.669998,118100,FCFS
2013-01-16,50.669998,50.84,50.27,50.77,109100,FCFS
2013-01-17,50.959999,51.529999,50.490002,51.299999,161500,FCFS
2013-01-18,51.119999,51.73,51.099998,51.599998,76800,FCFS
2013-01-22,51.740002,51.830002,51.470001,51.700001,273000,FCFS
2013-01-23,51.5,51.5,50.77,51.27,420600,FCFS
2013-01-24,51.43,54.450001,51.389999,53.400002,257400,FCFS
2013-01-25,52.810001,53.84,52.529999,53.59,178500,FCFS
2013-01-28,53.5,53.5,52.619999,53.209999,189700,FCFS
2013-01-29,53.150002,53.669998,52.59,53.509998,142700,FCFS
2013-01-30,53.580002,53.950001,53.16,53.48,125200,FCFS
2013-01-31,53.240002,53.93,53.0,53.310001,119400,FCFS
2013-02-01,52.290001,53.799999,52.290001,53.509998,149000,FCFS
2013-02-04,53.41,53.889999,52.82,53.5,170400,FCFS
2013-02-05,53.75,53.970001,53.139999,53.48,132700,FCFS
2013-02-06,53.349998,53.889999,53.290001,53.830002,86000,FCFS
2013-02-07,53.810001,54.060001,53.360001,53.950001,153600,FCFS
2013-02-08,53.869999,54.540001,53.869999,54.41,127900,FCFS
2013-02-11,54.200001,54.580002,54.040001,54.400002,111300,FCFS
2013-02-12,54.470001,54.900002,54.07,54.740002,80200,FCFS
2013-02-13,54.889999,54.950001,54.639999,54.900002,109700,FCFS
2013-02-14,54.900002,54.970001,54.75,54.889999,221600,FCFS
2013-02-15,54.950001,54.959999,54.619999,54.709999,230000,FCFS
2013-02-19,54.779999,55.93,54.759998,55.889999,177300,FCFS
2013-02-20,55.75,55.880001,54.73,54.869999,135000,FCFS
2013-02-21,55.0,55.110001,54.0,54.419998,103500,FCFS
2013-02-22,54.68,54.84,53.639999,54.700001,95700,FCFS
2013-02-25,55.009998,55.009998,53.220001,53.23,138100,FCFS
2013-02-26,53.41,54.189999,52.52,53.41,381300,FCFS
2013-02-27,52.34,53.970001,52.32,53.119999,169600,FCFS
2013-02-28,53.009998,53.759998,52.869999,52.91,172000,FCFS
2013-03-01,52.48,54.349998,52.48,54.029999,191200,FCFS
2013-03-04,53.799999,54.490002,53.32,54.369999,174200,FCFS
2013-03-05,54.720001,55.32,54.299999,54.720001,122100,FCFS
2013-03-06,54.740002,55.080002,54.360001,54.93,100300,FCFS
2013-03-07,54.869999,55.369999,54.57,55.110001,153700,FCFS
2013-03-08,55.630001,55.630001,54.709999,54.950001,148800,FCFS
2013-03-11,54.77,55.040001,54.66,54.970001,140400,FCFS
2013-03-12,54.900002,55.200001,54.66,55.130001,108700,FCFS
2013-03-13,53.52,54.759998,53.029999,54.599998,217200,FCFS
2013-03-14,54.900002,55.139999,54.369999,55.099998,139700,FCFS
2013-03-15,55.27,55.27,53.529999,54.150002,289400,FCFS
2013-03-18,53.93,54.18,53.389999,53.959999,115000,FCFS
2013-03-19,54.09,54.279999,53.419998,53.68,100100,FCFS
2013-03-20,54.02,54.349998,53.77,54.349998,66900,FCFS
2013-03-21,54.130001,54.740002,53.720001,54.220001,105100,FCFS
2013-03-22,54.369999,55.799999,54.32,55.32,124000,FCFS
2013-03-25,55.66,56.27,54.75,55.490002,124100,FCFS
2013-03-26,55.84,57.27,55.73,57.139999,362500,FCFS
