Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,34.0,35.299999,34.0,34.599998,923880,ODP
2013-01-03,34.799999,36.599998,34.700001,36.0,618680,ODP
2013-01-04,36.299999,37.299999,35.599998,36.599998,451670,ODP
2013-01-07,36.400002,37.299999,35.799999,36.400002,416430,ODP
2013-01-08,36.400002,37.0,35.900002,36.200001,495920,ODP
2013-01-09,36.5,37.299999,35.799999,35.799999,354670,ODP
2013-01-10,36.200001,37.0,35.0,36.5,528680,ODP
2013-01-11,36.599998,37.700001,36.400002,37.599998,476350,ODP
2013-01-14,37.599998,38.400002,36.799999,38.0,591850,ODP
2013-01-15,38.299999,39.599998,37.599998,38.700001,504020,ODP
2013-01-16,39.0,41.099998,38.700001,40.299999,1156460,ODP
2013-01-17,40.299999,42.599998,40.299999,42.299999,1110280,ODP
2013-01-18,42.299999,46.799999,42.200001,46.5,1510160,ODP
2013-01-22,46.299999,46.400002,43.5,44.799999,848640,ODP
2013-01-23,45.700001,45.900002,44.5,44.900002,454620,ODP
2013-01-24,44.5,46.099998,42.799999,44.0,726790,ODP
2013-01-25,44.0,44.799999,43.299999,43.700001,370600,ODP
2013-01-28,44.0,45.200001,43.299999,44.299999,488810,ODP
2013-01-29,44.099998,44.200001,42.299999,43.299999,525910,ODP
2013-01-30,43.299999,43.599998,42.299999,42.900002,391170,ODP
2013-01-31,42.799999,43.799999,42.599998,43.299999,320210,ODP
2013-02-01,43.700001,45.099998,43.400002,44.599998,455590,ODP
2013-02-04,44.099998,44.400002,43.200001,43.799999,241460,ODP
2013-02-05,43.700001,45.799999,43.5,45.200001,402730,ODP
2013-02-06,45.200001,45.400002,43.799999,45.0,344690,ODP
2013-02-07,44.900002,45.299999,43.299999,44.099998,274070,ODP
2013-02-08,44.200001,44.900002,43.599998,44.900002,253570,ODP
2013-02-11,44.599998,45.299999,43.799999,44.0,406900,ODP
2013-02-12,44.200001,45.700001,44.0,45.700001,467660,ODP
2013-02-13,45.5,46.099998,43.700001,44.599998,542060,ODP
2013-02-14,44.5,45.099998,42.5,45.0,477030,ODP
2013-02-15,44.799999,48.700001,44.799999,45.900002,1163930,ODP
2013-02-19,61.0,61.0,49.099998,50.200001,8389020,ODP
