Date,Open,High,Low,Close,Volume,Symbol
2013-10-30,20.65,20.85,20.26,20.4,24172100,BRX
2013-10-31,20.42,20.98,20.309999,20.65,1771800,BRX
2013-11-01,20.950001,20.950001,20.51,20.780001,1286100,BRX
2013-11-04,20.709999,20.99,20.32,20.940001,1257400,BRX
2013-11-05,20.700001,20.959999,20.5,20.610001,1951100,BRX
2013-11-06,20.6,20.85,20.23,20.35,653100,BRX
2013-11-07,20.299999,20.4,19.73,19.84,917200,BRX
2013-11-08,19.75,19.879999,19.559999,19.75,906600,BRX
2013-11-11,19.809999,20.0,19.51,19.879999,814000,BRX
2013-11-12,19.799999,20.24,19.57,19.66,1589600,BRX
2013-11-13,19.57,20.049999,19.379999,20.02,496700,BRX
2013-11-14,20.0,20.299999,19.889999,20.200001,1025800,BRX
2013-11-15,20.66,20.719999,20.18,20.280001,266600,BRX
2013-11-18,20.75,20.75,19.98,20.309999,257800,BRX
2013-11-19,20.49,20.5,20.200001,20.27,218600,BRX
2013-11-20,20.200001,20.450001,19.98,20.17,116900,BRX
2013-11-21,20.139999,20.290001,19.92,20.08,124800,BRX
2013-11-22,20.469999,20.469999,19.879999,20.1,199800,BRX
2013-11-25,19.9,20.379999,19.9,20.040001,57200,BRX
2013-11-26,20.049999,20.23,20.0,20.0,544500,BRX
2013-11-27,20.09,20.23,20.0,20.139999,164800,BRX
2013-11-29,20.139999,20.48,20.0,20.18,55700,BRX
2013-12-02,20.18,20.25,19.98,20.0,724200,BRX
2013-12-03,19.99,20.190001,19.74,19.93,966500,BRX
2013-12-04,20.1,20.120001,19.799999,20.049999,840000,BRX
2013-12-05,20.040001,20.18,20.030001,20.09,872000,BRX
2013-12-06,20.200001,20.280001,20.049999,20.190001,657000,BRX
2013-12-09,20.299999,20.34,20.0,20.129999,624900,BRX
2013-12-10,20.24,20.5,20.08,20.18,1970200,BRX
2013-12-11,20.110001,20.24,19.99,20.0,1370000,BRX
2013-12-12,20.17,20.190001,19.879999,19.9,691400,BRX
2013-12-13,20.0,20.190001,19.66,20.09,1906100,BRX
2013-12-16,20.1,20.309999,19.940001,20.01,928900,BRX
2013-12-17,20.1,20.24,20.049999,20.09,685900,BRX
2013-12-18,20.15,20.27,20.040001,20.15,1530600,BRX
2013-12-19,20.17,20.33,20.049999,20.1,828000,BRX
2013-12-20,20.02,20.4,20.02,20.200001,3768100,BRX
2013-12-23,20.120001,20.33,19.99,20.190001,324900,BRX
2013-12-24,20.16,20.299999,20.15,20.190001,93400,BRX
2013-12-26,20.26,20.4,20.15,20.24,267800,BRX
2013-12-27,20.24,20.49,20.01,20.4,244300,BRX
2013-12-30,20.48,20.58,20.290001,20.459999,328500,BRX
2013-12-31,20.549999,20.549999,20.299999,20.33,171500,BRX
2014-01-02,20.09,20.440001,20.049999,20.18,280300,BRX
2014-01-03,20.110001,20.35,20.1,20.25,350500,BRX
2014-01-06,20.219999,20.42,20.16,20.200001,277700,BRX
2014-01-07,20.24,20.309999,20.17,20.25,449200,BRX
2014-01-08,20.24,20.450001,20.139999,20.33,1620200,BRX
2014-01-09,20.33,20.43,20.200001,20.43,654300,BRX
2014-01-10,20.379999,20.549999,20.23,20.549999,303700,BRX
2014-01-13,20.59,20.639999,20.27,20.280001,418900,BRX
2014-01-14,20.209999,20.309999,20.07,20.129999,605400,BRX
2014-01-15,20.34,20.58,20.27,20.309999,569700,BRX
2014-01-16,20.219999,20.26,20.049999,20.26,726200,BRX
2014-01-17,20.469999,20.58,20.25,20.52,484300,BRX
2014-01-21,20.540001,20.57,20.43,20.540001,507500,BRX
2014-01-22,20.540001,20.76,20.43,20.74,336800,BRX
2014-01-23,20.700001,21.07,20.700001,21.040001,957300,BRX
2014-01-24,20.93,20.959999,20.639999,20.76,563500,BRX
2014-01-27,20.84,20.85,20.6,20.68,431800,BRX
2014-01-28,20.59,20.82,20.32,20.33,297300,BRX
2014-01-29,20.25,20.379999,20.190001,20.290001,287600,BRX
2014-01-30,20.469999,20.559999,20.25,20.559999,236200,BRX
2014-01-31,20.450001,20.68,20.35,20.68,345400,BRX
2014-02-03,20.76,20.76,20.24,20.309999,190900,BRX
2014-02-04,20.440001,20.610001,20.290001,20.549999,291000,BRX
2014-02-05,20.49,20.66,20.309999,20.48,411400,BRX
2014-02-06,20.43,20.84,20.25,20.66,405800,BRX
2014-02-07,20.65,20.98,20.65,20.76,366100,BRX
2014-02-10,20.76,21.07,20.690001,20.940001,306000,BRX
2014-02-11,20.940001,21.02,20.719999,20.98,412800,BRX
2014-02-12,20.889999,21.09,20.709999,20.84,363900,BRX
2014-02-13,20.360001,20.950001,20.27,20.77,647900,BRX
2014-02-14,20.809999,21.0,20.809999,20.98,355900,BRX
2014-02-18,20.969999,21.15,20.83,21.049999,431600,BRX
2014-02-19,20.969999,21.41,20.969999,21.26,267400,BRX
2014-02-20,20.540001,21.27,20.540001,21.25,627900,BRX
2014-02-21,21.35,21.49,21.190001,21.309999,570800,BRX
2014-02-24,21.370001,21.43,21.120001,21.309999,385300,BRX
2014-02-25,21.26,21.540001,21.26,21.469999,138300,BRX
2014-02-26,21.42,21.780001,21.42,21.75,197400,BRX
2014-02-27,21.83,22.09,21.790001,22.08,405500,BRX
2014-02-28,22.02,22.15,21.860001,22.08,288000,BRX
2014-03-03,22.030001,22.17,21.68,21.959999,210100,BRX
2014-03-04,21.950001,22.370001,21.77,22.049999,274000,BRX
2014-03-05,22.040001,22.209999,21.74,21.799999,293200,BRX
2014-03-06,21.33,21.75,21.18,21.67,615900,BRX
2014-03-07,21.83,21.83,21.389999,21.66,241600,BRX
2014-03-10,21.790001,21.809999,21.459999,21.780001,338000,BRX
2014-03-11,21.83,21.950001,21.25,21.459999,402400,BRX
2014-03-12,21.469999,21.51,21.01,21.280001,471900,BRX
2014-03-13,21.41,21.879999,21.219999,21.700001,1072900,BRX
2014-03-14,21.709999,21.92,21.530001,21.879999,201800,BRX
2014-03-17,21.879999,21.950001,21.6,21.82,330400,BRX
2014-03-18,21.700001,21.889999,21.43,21.48,469500,BRX
2014-03-19,21.42,21.77,21.1,21.17,148000,BRX
2014-03-20,21.16,21.379999,20.75,21.15,260100,BRX
2014-03-21,21.15,21.440001,21.030001,21.35,312100,BRX
2014-03-24,21.370001,21.530001,20.940001,21.299999,124700,BRX
2014-03-25,21.290001,21.41,20.950001,21.35,208800,BRX
2014-03-26,21.360001,21.65,21.059999,21.290001,249600,BRX
2014-03-27,21.280001,21.459999,21.049999,21.18,225700,BRX
2014-03-28,21.15,21.440001,21.15,21.25,294100,BRX
2014-03-31,21.299999,21.49,21.16,21.33,260000,BRX
2014-04-01,21.110001,21.389999,20.440001,21.040001,267200,BRX
2014-04-02,20.99,21.440001,20.889999,21.299999,346400,BRX
2014-04-03,21.4,21.469999,21.02,21.33,252200,BRX
2014-04-04,21.379999,21.51,21.209999,21.450001,137000,BRX
2014-04-07,21.51,21.73,21.26,21.459999,90800,BRX
2014-04-08,21.43,21.9,21.280001,21.719999,273400,BRX
2014-04-09,21.67,21.68,21.190001,21.32,170200,BRX
2014-04-10,21.32,21.459999,20.99,21.09,253000,BRX
2014-04-11,21.09,21.18,20.75,20.950001,154900,BRX
2014-04-14,21.1,21.190001,20.85,21.08,87200,BRX
2014-04-15,21.040001,21.629999,20.959999,21.459999,399300,BRX
2014-04-16,21.559999,21.790001,21.280001,21.4,355900,BRX
2014-04-17,21.35,21.440001,21.02,21.299999,333200,BRX
2014-04-21,21.219999,21.43,21.209999,21.25,144600,BRX
2014-04-22,21.26,21.43,21.040001,21.34,342900,BRX
2014-04-23,21.32,21.440001,21.139999,21.290001,197800,BRX
2014-04-24,21.42,21.58,21.309999,21.5,161700,BRX
2014-04-25,21.5,21.559999,21.26,21.290001,129700,BRX
2014-04-28,21.26,21.75,21.26,21.700001,324200,BRX
2014-04-29,21.57,21.84,21.43,21.549999,487500,BRX
2014-04-30,21.559999,22.030001,21.309999,21.959999,450500,BRX
2014-05-01,22.059999,22.059999,21.530001,21.83,906600,BRX
2014-05-02,21.91,22.4,21.780001,22.040001,382700,BRX
2014-05-05,21.870001,22.34,21.74,22.26,524100,BRX
2014-05-06,22.25,22.5,22.110001,22.4,358900,BRX
2014-05-07,22.370001,22.73,22.370001,22.639999,468400,BRX
2014-05-08,22.65,23.190001,22.360001,22.85,1251700,BRX
2014-05-09,22.76,23.23,22.76,22.83,1031900,BRX
2014-05-12,22.969999,23.139999,22.66,22.84,779800,BRX
2014-05-13,22.879999,23.09,22.41,22.5,864500,BRX
2014-05-14,22.5,22.879999,22.450001,22.73,692200,BRX
2014-05-15,22.82,22.959999,22.290001,22.4,983100,BRX
2014-05-16,22.6,22.65,22.33,22.58,679300,BRX
2014-05-19,22.6,22.700001,22.200001,22.360001,659100,BRX
2014-05-20,22.42,22.49,22.219999,22.27,653900,BRX
2014-05-21,22.26,22.4,22.08,22.24,346300,BRX
2014-05-22,22.32,22.440001,22.129999,22.290001,470400,BRX
2014-05-23,22.309999,22.440001,22.190001,22.35,418800,BRX
2014-05-27,22.4,22.67,22.389999,22.610001,476500,BRX
2014-05-28,22.25,22.299999,21.73,21.780001,954900,BRX
2014-05-29,21.860001,22.0,21.49,21.68,903100,BRX
2014-05-30,21.76,22.129999,21.639999,21.75,4902700,BRX
2014-06-02,21.870001,22.110001,21.85,21.98,790900,BRX
2014-06-03,21.780001,22.209999,21.629999,22.08,1155600,BRX
2014-06-04,22.15,22.33,21.809999,22.01,495800,BRX
2014-06-05,22.120001,22.35,21.940001,22.25,442300,BRX
2014-06-06,22.32,22.389999,22.139999,22.190001,388800,BRX
2014-06-09,22.219999,22.389999,21.809999,21.879999,531300,BRX
2014-06-10,21.940001,22.09,21.639999,21.73,206900,BRX
2014-06-11,21.73,21.75,21.610001,21.66,490500,BRX
2014-06-12,21.65,21.719999,21.549999,21.6,394300,BRX
2014-06-13,21.65,21.719999,21.48,21.6,368300,BRX
2014-06-16,21.51,21.92,21.51,21.540001,439100,BRX
2014-06-17,21.51,21.709999,21.459999,21.5,469400,BRX
2014-06-18,21.540001,21.85,21.5,21.75,791800,BRX
2014-06-19,21.860001,22.32,21.82,22.120001,446500,BRX
2014-06-20,22.15,22.34,22.08,22.34,1802900,BRX
2014-06-23,22.35,22.5,22.200001,22.32,268100,BRX
2014-06-24,21.85,22.74,21.85,22.59,641300,BRX
2014-06-25,22.639999,22.83,22.42,22.790001,710000,BRX
2014-06-26,22.73,23.0,22.65,23.0,16394100,BRX
2014-06-27,22.870001,23.09,22.799999,23.040001,2754900,BRX
2014-06-30,22.93,23.030001,22.68,22.950001,1731400,BRX
2014-07-01,22.65,23.030001,22.42,22.969999,1457200,BRX
2014-07-02,23.01,23.190001,22.790001,23.110001,1423600,BRX
2014-07-03,23.030001,23.24,22.809999,23.200001,2839800,BRX
2014-07-07,23.25,23.450001,23.02,23.360001,1762500,BRX
2014-07-08,23.299999,23.43,23.16,23.389999,1588800,BRX
2014-07-09,23.52,23.530001,23.15,23.219999,1480700,BRX
2014-07-10,23.219999,23.299999,23.08,23.139999,1229300,BRX
2014-07-11,23.17,23.35,22.950001,23.309999,1021100,BRX
2014-07-14,23.299999,23.5,23.1,23.360001,978200,BRX
2014-07-15,23.360001,23.5,23.26,23.469999,729600,BRX
2014-07-16,23.51,23.57,23.389999,23.48,422800,BRX
2014-07-17,23.459999,23.639999,23.370001,23.42,774200,BRX
