Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,19.66,20.18,19.629999,20.0,1315900,EDU
2013-01-03,20.0,20.139999,19.92,19.99,1450600,EDU
2013-01-04,20.0,20.120001,19.879999,20.0,1083900,EDU
2013-01-07,19.959999,20.0,19.450001,19.5,953800,EDU
2013-01-08,19.5,19.57,18.73,18.98,1331000,EDU
2013-01-09,19.110001,19.450001,18.879999,19.200001,1070000,EDU
2013-01-10,19.200001,19.200001,18.59,19.02,1365800,EDU
2013-01-11,19.0,19.0,18.719999,18.85,814100,EDU
2013-01-14,18.9,19.379999,18.860001,19.24,855100,EDU
2013-01-15,19.040001,19.82,19.040001,19.77,2097000,EDU
2013-01-16,19.6,19.719999,18.950001,19.129999,1325000,EDU
2013-01-17,19.15,19.16,18.35,18.379999,2143400,EDU
2013-01-18,18.559999,18.65,18.049999,18.35,1638400,EDU
2013-01-22,18.370001,18.370001,17.719999,18.1,2774900,EDU
2013-01-23,18.24,18.24,17.91,17.98,2469400,EDU
2013-01-24,18.0,18.18,17.82,17.99,1731700,EDU
2013-01-25,17.99,18.25,17.889999,18.040001,1239400,EDU
2013-01-28,18.16,18.389999,17.76,17.9,2235100,EDU
2013-01-29,16.74,17.26,16.200001,16.360001,7291200,EDU
2013-01-30,16.290001,16.809999,16.25,16.719999,3231300,EDU
2013-01-31,16.700001,17.190001,16.690001,17.07,2389400,EDU
2013-02-01,17.139999,17.75,17.1,17.549999,2823000,EDU
2013-02-04,17.5,17.5,16.969999,17.120001,1193100,EDU
2013-02-05,17.129999,17.190001,16.91,16.99,767000,EDU
2013-02-06,16.9,17.02,16.690001,16.98,1860300,EDU
2013-02-07,17.02,17.15,16.77,16.879999,1027700,EDU
2013-02-08,16.969999,16.99,16.700001,16.92,1068600,EDU
2013-02-11,16.879999,17.01,16.76,16.870001,736200,EDU
2013-02-12,16.799999,17.09,16.75,16.98,685200,EDU
2013-02-13,16.879999,17.299999,16.879999,17.110001,1311400,EDU
2013-02-14,16.92,17.190001,16.92,17.09,757300,EDU
2013-02-15,17.059999,17.26,16.959999,17.16,1059900,EDU
2013-02-19,17.1,17.219999,16.969999,17.16,1088000,EDU
2013-02-20,17.1,17.15,16.309999,16.370001,2523000,EDU
2013-02-21,16.35,16.360001,15.55,15.76,2432500,EDU
2013-02-22,15.96,16.07,15.6,15.94,1440500,EDU
2013-02-25,16.0,16.549999,15.96,16.09,1301900,EDU
2013-02-26,16.15,16.309999,15.8,15.88,1089300,EDU
2013-02-27,15.88,16.110001,15.33,15.5,2056400,EDU
2013-02-28,15.63,15.75,15.13,15.2,1847200,EDU
2013-03-01,15.21,15.72,15.03,15.51,2007300,EDU
2013-03-04,15.37,15.37,14.98,15.07,1449100,EDU
2013-03-05,15.06,15.3,14.93,15.15,1503300,EDU
2013-03-06,15.16,15.46,15.08,15.22,919800,EDU
