Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,22.08,22.559999,22.08,22.459999,297900,SBRA
2013-01-03,22.620001,22.77,22.360001,22.4,203600,SBRA
2013-01-04,22.51,23.02,22.450001,22.82,145200,SBRA
2013-01-07,23.040001,23.809999,22.549999,23.73,320300,SBRA
2013-01-08,23.780001,24.25,23.27,23.48,266900,SBRA
2013-01-09,23.49,23.780001,23.4,23.6,228000,SBRA
2013-01-10,23.629999,23.870001,23.51,23.66,227700,SBRA
2013-01-11,23.709999,23.98,23.559999,23.83,224800,SBRA
2013-01-14,23.809999,24.25,23.809999,24.01,195300,SBRA
2013-01-15,24.01,24.08,23.66,23.92,97400,SBRA
2013-01-16,23.84,24.0,23.629999,23.85,123600,SBRA
2013-01-17,23.92,24.0,23.639999,23.98,90800,SBRA
2013-01-18,23.950001,23.950001,23.66,23.799999,187000,SBRA
2013-01-22,23.799999,24.1,23.700001,23.969999,343100,SBRA
2013-01-23,24.01,24.040001,23.77,23.9,140200,SBRA
2013-01-24,23.889999,24.219999,23.889999,24.219999,197000,SBRA
2013-01-25,24.34,24.690001,24.280001,24.629999,200300,SBRA
2013-01-28,24.65,25.27,24.43,25.129999,280600,SBRA
2013-01-29,25.059999,25.75,24.93,25.309999,301100,SBRA
2013-01-30,25.24,25.35,24.4,24.629999,206400,SBRA
2013-01-31,24.639999,25.139999,24.540001,25.09,204200,SBRA
2013-02-01,25.25,25.459999,25.09,25.379999,154500,SBRA
2013-02-04,25.32,26.0,25.280001,25.41,208100,SBRA
2013-02-05,25.5,25.530001,24.91,25.190001,186200,SBRA
2013-02-06,25.02,25.16,24.91,25.15,131800,SBRA
2013-02-07,25.110001,25.5,24.93,25.389999,155500,SBRA
2013-02-08,25.5,25.969999,25.49,25.91,120100,SBRA
2013-02-11,25.860001,26.09,25.709999,25.93,182100,SBRA
2013-02-12,25.91,26.16,25.76,26.139999,181500,SBRA
2013-02-13,25.790001,26.27,25.690001,26.0,256100,SBRA
2013-02-14,26.02,26.02,25.42,25.959999,167300,SBRA
2013-02-15,26.129999,26.32,25.879999,26.059999,166300,SBRA
2013-02-19,26.18,26.700001,26.18,26.57,266300,SBRA
2013-02-20,26.59,26.950001,26.209999,26.34,384000,SBRA
2013-02-21,26.34,26.709999,26.09,26.41,253200,SBRA
2013-02-22,26.58,26.700001,26.440001,26.59,200600,SBRA
2013-02-25,26.74,26.99,26.129999,26.219999,215900,SBRA
2013-02-26,26.27,26.700001,26.209999,26.42,184200,SBRA
2013-02-27,26.48,27.209999,26.280001,26.969999,240300,SBRA
2013-02-28,27.030001,27.23,26.120001,26.43,548400,SBRA
2013-03-01,26.360001,27.040001,26.129999,26.940001,171700,SBRA
2013-03-04,27.209999,27.629999,26.940001,27.190001,335400,SBRA
2013-03-05,27.120001,27.5,27.08,27.309999,268600,SBRA
2013-03-06,27.41,27.57,27.049999,27.16,122300,SBRA
2013-03-07,27.15,27.690001,27.059999,27.57,178700,SBRA
2013-03-08,27.690001,27.870001,27.530001,27.75,256300,SBRA
2013-03-11,27.719999,27.91,27.559999,27.68,165300,SBRA
2013-03-12,27.65,27.860001,27.25,27.48,287900,SBRA
2013-03-13,27.41,28.32,27.27,27.99,249700,SBRA
2013-03-14,28.1,28.49,28.1,28.4,193300,SBRA
2013-03-15,28.379999,28.51,27.33,27.5,513700,SBRA
2013-03-18,27.32,27.719999,27.049999,27.65,158900,SBRA
2013-03-19,27.629999,27.790001,27.15,27.35,168300,SBRA
2013-03-20,27.5,27.629999,27.32,27.450001,82200,SBRA
2013-03-21,27.370001,27.93,27.33,27.74,149900,SBRA
2013-03-22,27.59,27.99,27.540001,27.879999,185600,SBRA
2013-03-25,27.889999,28.110001,27.58,27.629999,285600,SBRA
2013-03-26,27.84,27.870001,27.549999,27.85,228100,SBRA
2013-03-27,27.66,28.219999,27.4,28.209999,192100,SBRA
2013-03-28,28.280001,29.139999,27.969999,29.01,291200,SBRA
2013-04-01,28.889999,29.6,28.66,28.9,236400,SBRA
2013-04-02,28.950001,29.139999,28.389999,28.41,204100,SBRA
2013-04-03,28.370001,28.540001,27.809999,27.940001,221500,SBRA
2013-04-04,27.92,28.809999,27.799999,28.780001,121200,SBRA
2013-04-05,28.35,29.08,28.32,29.02,222900,SBRA
2013-04-08,29.15,29.4,28.85,29.35,170100,SBRA
2013-04-09,29.35,29.459999,29.110001,29.110001,319600,SBRA
2013-04-10,29.450001,30.74,28.889999,29.709999,929900,SBRA
2013-04-11,29.700001,29.950001,29.58,29.780001,234300,SBRA
2013-04-12,29.59,30.43,28.790001,30.4,479300,SBRA
2013-04-15,30.35,30.35,28.23,28.6,382600,SBRA
2013-04-16,28.92,29.9,28.74,29.780001,266200,SBRA
2013-04-17,29.700001,29.700001,28.77,29.049999,194700,SBRA
2013-04-18,29.16,29.540001,28.75,29.450001,231300,SBRA
2013-04-19,29.5,30.219999,29.5,30.02,220000,SBRA
2013-04-22,30.129999,30.450001,29.65,30.24,139400,SBRA
2013-04-23,30.450001,30.950001,30.18,30.700001,181300,SBRA
2013-04-24,29.860001,30.200001,29.15,29.9,337700,SBRA
2013-04-25,29.9,29.99,29.559999,29.690001,255600,SBRA
2013-04-26,29.299999,29.57,28.719999,29.07,390700,SBRA
2013-04-29,29.1,29.23,28.98,29.030001,280800,SBRA
2013-04-30,29.07,30.059999,29.07,29.82,345200,SBRA
2013-05-01,29.700001,30.09,29.440001,29.57,364100,SBRA
2013-05-02,29.690001,30.92,29.610001,30.530001,578400,SBRA
2013-05-03,31.040001,31.24,30.620001,30.940001,287100,SBRA
2013-05-06,31.08,31.790001,31.01,31.190001,399300,SBRA
2013-05-07,31.299999,31.74,31.0,31.74,259000,SBRA
2013-05-08,31.76,32.09,31.440001,31.780001,339800,SBRA
2013-05-09,31.83,31.969999,31.450001,31.790001,155300,SBRA
2013-05-10,31.700001,32.330002,31.469999,31.98,193400,SBRA
