Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,24.129999,24.16,23.77,23.92,2205600,UDR
2013-01-03,23.93,24.110001,23.860001,23.969999,1318500,UDR
2013-01-04,23.99,24.0,23.879999,23.99,1224500,UDR
2013-01-07,23.59,24.16,23.549999,24.15,2041500,UDR
2013-01-08,24.030001,24.120001,22.68,24.030001,2078100,UDR
2013-01-09,24.049999,24.4,24.030001,24.299999,3313300,UDR
2013-01-10,24.35,24.440001,24.25,24.4,2016400,UDR
2013-01-11,24.35,24.49,24.190001,24.389999,2617800,UDR
2013-01-14,24.389999,24.549999,24.35,24.52,1283500,UDR
2013-01-15,24.450001,24.67,24.42,24.65,1685100,UDR
2013-01-16,24.620001,24.719999,24.559999,24.700001,1011900,UDR
2013-01-17,24.709999,24.85,24.66,24.67,2034100,UDR
2013-01-18,24.67,24.74,24.52,24.620001,1563100,UDR
2013-01-22,24.59,24.68,24.559999,24.620001,2342000,UDR
2013-01-23,24.559999,24.870001,24.540001,24.780001,1349500,UDR
2013-01-24,24.83,25.0,24.540001,24.719999,1928500,UDR
2013-01-25,24.77,24.870001,24.66,24.76,1938400,UDR
2013-01-28,24.82,24.879999,24.6,24.68,1700300,UDR
2013-01-29,24.68,24.93,24.6,24.91,3185400,UDR
2013-01-30,24.83,24.93,24.530001,24.559999,2404900,UDR
2013-01-31,24.52,24.52,23.860001,23.889999,5270600,UDR
2013-02-01,23.959999,23.959999,23.540001,23.75,3910300,UDR
2013-02-04,23.540001,23.9,23.33,23.4,3875900,UDR
2013-02-05,23.26,23.540001,22.18,23.469999,5717600,UDR
2013-02-06,23.33,23.76,23.25,23.610001,3152900,UDR
2013-02-07,23.639999,23.68,23.219999,23.309999,1889300,UDR
2013-02-08,23.469999,23.690001,23.370001,23.6,2454600,UDR
2013-02-11,23.559999,23.860001,23.540001,23.809999,1517800,UDR
2013-02-12,23.809999,24.18,23.799999,24.17,2836300,UDR
2013-02-13,24.190001,24.32,24.17,24.299999,1821500,UDR
2013-02-14,24.209999,24.43,24.209999,24.32,1277400,UDR
2013-02-15,24.34,24.5,24.25,24.450001,1791200,UDR
2013-02-19,24.549999,24.879999,24.49,24.879999,2871100,UDR
2013-02-20,24.879999,25.18,24.83,24.950001,2803100,UDR
2013-02-21,24.879999,25.07,24.66,24.76,2961800,UDR
2013-02-22,24.799999,24.91,24.700001,24.84,2461600,UDR
