Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,55.049999,57.029999,55.029999,56.849998,290100,CACI
2013-01-03,56.860001,56.889999,56.209999,56.360001,250900,CACI
2013-01-04,56.66,56.75,55.939999,56.560001,109600,CACI
2013-01-07,56.169998,57.360001,55.889999,57.110001,236300,CACI
2013-01-08,57.169998,57.32,56.540001,57.240002,234300,CACI
2013-01-09,57.369999,58.380001,57.279999,57.52,290600,CACI
2013-01-10,56.59,56.610001,54.779999,55.889999,408900,CACI
2013-01-11,55.639999,57.009998,55.290001,57.009998,319800,CACI
2013-01-14,56.990002,57.419998,56.5,56.77,271000,CACI
2013-01-15,56.639999,56.790001,56.189999,56.73,174800,CACI
2013-01-16,56.759998,57.279999,56.619999,57.0,242500,CACI
2013-01-17,57.279999,57.41,57.130001,57.310001,110900,CACI
2013-01-18,57.439999,58.299999,57.25,58.220001,367400,CACI
2013-01-22,58.299999,58.490002,57.759998,58.040001,297200,CACI
2013-01-23,58.0,58.0,57.279999,57.299999,210700,CACI
2013-01-24,57.240002,58.040001,57.119999,57.990002,324200,CACI
2013-01-25,58.169998,58.23,56.73,57.27,435300,CACI
2013-01-28,57.200001,57.700001,56.98,57.169998,531500,CACI
2013-01-29,57.060001,57.099998,55.869999,56.07,532700,CACI
2013-01-30,55.869999,56.529999,54.959999,55.27,527300,CACI
2013-01-31,53.799999,55.34,53.610001,53.630001,944400,CACI
2013-02-01,53.849998,54.91,53.630001,54.77,368500,CACI
2013-02-04,54.16,54.599998,52.68,52.73,352200,CACI
2013-02-05,53.040001,53.5,52.939999,53.34,304600,CACI
2013-02-06,53.0,53.689999,53.0,53.68,299500,CACI
2013-02-07,53.650002,53.790001,53.360001,53.450001,213500,CACI
2013-02-08,53.639999,53.849998,53.5,53.759998,287700,CACI
2013-02-11,53.790001,53.790001,52.860001,52.889999,292600,CACI
2013-02-12,52.939999,53.470001,52.77,53.349998,304200,CACI
2013-02-13,53.330002,53.669998,52.740002,53.09,162800,CACI
2013-02-14,52.919998,53.360001,52.669998,52.75,201300,CACI
2013-02-15,52.830002,53.009998,52.27,52.790001,321700,CACI
2013-02-19,53.0,53.040001,52.73,53.009998,466400,CACI
2013-02-20,53.099998,53.290001,52.799999,52.900002,316400,CACI
2013-02-21,52.369999,52.869999,50.25,50.299999,699400,CACI
2013-02-22,50.5,51.080002,50.02,50.68,391700,CACI
2013-02-25,50.970001,51.580002,50.470001,50.490002,333700,CACI
2013-02-26,50.740002,50.779999,50.150002,50.279999,233100,CACI
2013-02-27,50.279999,51.529999,50.23,51.099998,158400,CACI
