Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,14.74,14.99,14.74,14.93,1181000,LPL
2013-01-03,14.78,14.95,14.76,14.79,652500,LPL
2013-01-04,14.35,14.39,14.08,14.25,2320600,LPL
2013-01-07,14.08,14.11,13.92,14.0,1130500,LPL
2013-01-08,13.79,13.89,13.54,13.59,1340700,LPL
2013-01-09,13.96,14.1,13.62,13.73,2048800,LPL
2013-01-10,14.01,14.13,13.95,14.1,840600,LPL
2013-01-11,13.94,14.0,13.85,13.95,422300,LPL
2013-01-14,13.61,13.69,13.53,13.59,932400,LPL
2013-01-15,13.1,13.18,12.97,13.08,2491100,LPL
2013-01-16,12.91,13.18,12.89,13.14,2203600,LPL
2013-01-17,13.5,13.58,13.43,13.43,1108600,LPL
2013-01-18,13.53,13.53,13.36,13.39,931400,LPL
2013-01-22,13.63,13.73,13.58,13.68,651800,LPL
2013-01-23,13.53,13.74,13.49,13.7,1956300,LPL
2013-01-24,13.44,13.5,13.08,13.15,1807500,LPL
2013-01-25,12.86,13.12,12.84,13.09,1266700,LPL
2013-01-28,12.96,12.99,12.87,12.9,810200,LPL
2013-01-29,13.21,13.23,13.05,13.12,1005900,LPL
2013-01-30,13.24,13.25,13.08,13.09,747700,LPL
2013-01-31,13.33,13.38,13.24,13.36,1001200,LPL
2013-02-01,13.15,13.16,13.01,13.05,1198300,LPL
2013-02-04,12.83,12.87,12.66,12.68,1212600,LPL
2013-02-05,12.69,12.86,12.63,12.81,876200,LPL
2013-02-06,12.98,13.07,12.93,13.04,592900,LPL
2013-02-07,13.1,13.11,12.96,13.06,654500,LPL
2013-02-08,13.24,13.29,13.11,13.2,928200,LPL
2013-02-11,13.19,13.2,13.0,13.15,604900,LPL
2013-02-12,13.21,13.35,13.18,13.24,670900,LPL
2013-02-13,13.41,13.46,13.35,13.42,725800,LPL
2013-02-14,13.37,13.48,13.35,13.45,532000,LPL
2013-02-15,13.48,13.53,13.35,13.43,721900,LPL
2013-02-19,13.53,13.76,13.53,13.68,1819400,LPL
2013-02-20,14.15,14.2,13.91,13.91,3315500,LPL
2013-02-21,14.15,14.23,13.89,14.07,1460400,LPL
2013-02-22,14.09,14.22,14.03,14.1,964200,LPL
2013-02-25,14.15,14.21,13.92,13.93,1113200,LPL
2013-02-26,14.15,14.2,13.92,14.08,1282200,LPL
2013-02-27,14.15,14.31,14.11,14.3,862300,LPL
2013-02-28,13.97,14.03,13.88,13.9,338500,LPL
2013-03-01,13.78,13.9,13.7,13.86,322800,LPL
2013-03-04,13.7,13.76,13.59,13.72,231900,LPL
2013-03-05,13.8,13.95,13.75,13.87,756800,LPL
