Date,Open,High,Low,Close,Volume,Symbol
2015-10-06,17.0,17.0,17.0,17.0,0,PSTG
2015-10-07,16.74,17.0,16.0,16.01,18792300,PSTG
2015-10-08,16.040001,16.09,15.5,15.93,4194100,PSTG
2015-10-09,16.25,16.639999,15.91,16.6,1999400,PSTG
2015-10-12,17.23,18.450001,17.0,18.059999,6065100,PSTG
2015-10-13,18.360001,19.450001,18.01,18.690001,2978900,PSTG
2015-10-14,18.780001,20.030001,18.700001,19.74,2503600,PSTG
2015-10-15,20.469999,20.6,18.620001,19.68,1789600,PSTG
2015-10-16,19.860001,19.950001,18.66,18.84,1216000,PSTG
2015-10-19,18.559999,19.08,18.07,19.0,855600,PSTG
2015-10-20,18.65,19.57,18.280001,19.5,1231300,PSTG
2015-10-21,19.700001,19.860001,18.85,19.25,1101200,PSTG
2015-10-22,19.309999,19.610001,18.91,19.49,812100,PSTG
2015-10-23,19.59,19.6,19.129999,19.27,553100,PSTG
2015-10-26,19.18,19.299999,18.76,18.860001,505500,PSTG
2015-10-27,18.76,19.280001,17.57,17.799999,1303700,PSTG
2015-10-28,17.75,18.48,17.709999,18.049999,813300,PSTG
2015-10-29,18.059999,18.32,17.754999,17.809999,920800,PSTG
2015-10-30,17.83,17.99,17.25,17.629999,712800,PSTG
2015-11-02,18.35,18.358999,16.68,16.959999,1542400,PSTG
2015-11-03,17.379999,17.68,16.91,17.440001,832000,PSTG
2015-11-04,17.65,17.790001,17.0,17.040001,727900,PSTG
2015-11-05,17.35,17.73,17.25,17.65,704200,PSTG
2015-11-06,17.799999,18.049999,17.301001,17.620001,389600,PSTG
2015-11-09,17.5,17.889999,17.5,17.610001,597900,PSTG
2015-11-10,17.549999,17.65,16.9,17.4,714500,PSTG
2015-11-11,17.120001,17.434999,17.059999,17.110001,665000,PSTG
2015-11-12,17.049999,17.49,17.030001,17.1,374200,PSTG
2015-11-13,17.139999,17.440001,16.969999,17.24,721100,PSTG
2015-11-16,17.18,17.299999,17.0,17.25,374200,PSTG
2015-11-17,17.190001,17.540001,17.059999,17.190001,604900,PSTG
2015-11-18,17.25,17.5,17.120001,17.27,596000,PSTG
2015-11-19,17.25,18.059999,17.174999,17.4,405400,PSTG
2015-11-20,15.89,16.0,14.55,14.74,6171900,PSTG
2015-11-23,15.08,15.17,13.5,14.11,2900500,PSTG
2015-11-24,14.29,14.33,13.65,13.91,1780700,PSTG
2015-11-25,14.09,14.09,13.05,13.08,1398800,PSTG
2015-11-27,13.01,13.27,12.26,12.96,853500,PSTG
2015-11-30,13.01,13.13,12.63,12.91,1255400,PSTG
2015-12-01,12.85,13.81,12.72,13.73,1311300,PSTG
2015-12-02,13.74,14.59,13.65,13.92,2329300,PSTG
2015-12-03,16.1,16.200001,14.56,15.69,4369900,PSTG
2015-12-04,16.0,17.15,15.6,16.76,3300400,PSTG
