Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,11.8,11.8,11.355,11.595,460600,SSNC
2013-01-03,11.615,11.62,11.44,11.55,182000,SSNC
2013-01-04,11.615,11.625,11.46,11.47,169400,SSNC
2013-01-07,11.39,11.565,11.28,11.375,185400,SSNC
2013-01-08,11.335,11.605,11.3,11.45,256400,SSNC
2013-01-09,11.51,11.535,11.35,11.43,99400,SSNC
2013-01-10,11.4,11.4,11.28,11.325,107400,SSNC
2013-01-11,11.35,11.425,11.285,11.38,95600,SSNC
2013-01-14,11.32,11.34,11.21,11.31,252400,SSNC
2013-01-15,11.24,11.36,11.23,11.32,412400,SSNC
2013-01-16,11.29,11.37,11.225,11.29,318400,SSNC
2013-01-17,11.3,11.4,11.255,11.295,277800,SSNC
2013-01-18,11.27,11.41,11.22,11.36,766000,SSNC
2013-01-22,11.39,11.405,11.305,11.385,200200,SSNC
2013-01-23,11.415,11.51,11.36,11.365,242200,SSNC
2013-01-24,11.345,11.5,11.11,11.185,201200,SSNC
2013-01-25,11.225,11.54,11.135,11.375,444200,SSNC
2013-01-28,11.425,11.55,11.31,11.48,343000,SSNC
2013-01-29,11.455,11.515,11.33,11.48,378200,SSNC
2013-01-30,11.5,11.5,11.14,11.31,233200,SSNC
2013-01-31,11.33,11.36,11.165,11.315,158400,SSNC
2013-02-01,11.385,11.575,11.305,11.55,261000,SSNC
2013-02-04,11.47,11.475,11.25,11.27,253800,SSNC
2013-02-05,11.33,11.415,11.31,11.37,209600,SSNC
2013-02-06,11.305,11.43,11.285,11.37,122800,SSNC
2013-02-07,11.345,11.4,11.27,11.37,106600,SSNC
2013-02-08,11.41,11.495,11.345,11.455,78800,SSNC
2013-02-11,11.42,11.46,11.385,11.425,92200,SSNC
2013-02-12,11.445,11.5,11.29,11.455,161000,SSNC
2013-02-13,11.5,11.5,11.375,11.4,131200,SSNC
2013-02-14,11.34,11.455,11.34,11.39,377800,SSNC
2013-02-15,11.75,12.385,11.57,12.24,2106800,SSNC
2013-02-19,12.25,12.745,12.245,12.71,678800,SSNC
2013-02-20,12.685,12.685,12.48,12.515,579600,SSNC
2013-02-21,12.43,12.63,12.405,12.515,542400,SSNC
2013-02-22,12.595,12.715,12.565,12.71,350200,SSNC
2013-02-25,12.735,12.74,12.4,12.415,397400,SSNC
2013-02-26,12.435,12.6,12.25,12.53,506800,SSNC
2013-02-27,12.525,12.685,12.38,12.545,543600,SSNC
2013-02-28,12.59,12.685,12.505,12.655,357000,SSNC
2013-03-01,12.505,12.72,12.445,12.685,227800,SSNC
2013-03-04,12.615,12.975,12.615,12.96,301800,SSNC
2013-03-05,12.955,13.81,12.955,13.72,990600,SSNC
2013-03-06,13.75,13.75,13.46,13.565,487200,SSNC
2013-03-07,13.6,13.625,13.5,13.625,324200,SSNC
2013-03-08,13.655,13.975,13.625,13.845,1034400,SSNC
2013-03-11,13.845,14.065,13.815,13.895,716600,SSNC
2013-03-12,13.88,13.885,13.465,13.76,295200,SSNC
2013-03-13,13.795,14.0,13.725,13.87,499400,SSNC
2013-03-14,13.8,14.61,13.8,14.595,3500400,SSNC
2013-03-15,14.6,14.6,14.24,14.355,1268000,SSNC
2013-03-18,14.16,14.505,14.16,14.48,396200,SSNC
2013-03-19,14.48,14.64,14.16,14.3,604400,SSNC
2013-03-20,14.37,14.66,14.35,14.49,477000,SSNC
2013-03-21,14.39,14.71,14.33,14.535,419200,SSNC
2013-03-22,14.545,14.83,14.465,14.82,725600,SSNC
2013-03-25,14.83,14.84,14.575,14.61,400800,SSNC
2013-03-26,14.695,14.835,14.565,14.795,373400,SSNC
2013-03-27,14.72,15.095,14.67,14.99,556000,SSNC
2013-03-28,15.055,15.12,14.885,14.99,455000,SSNC
2013-04-01,14.97,15.05,14.595,14.775,819600,SSNC
2013-04-02,14.825,14.825,14.47,14.52,440800,SSNC
2013-04-03,14.565,14.565,14.055,14.275,559400,SSNC
2013-04-04,14.25,14.435,14.12,14.41,190400,SSNC
2013-04-05,14.145,14.32,14.07,14.305,265000,SSNC
2013-04-08,14.305,14.385,14.12,14.37,181200,SSNC
2013-04-09,14.435,14.435,14.195,14.21,391200,SSNC
2013-04-10,14.22,14.65,14.22,14.555,267800,SSNC
2013-04-11,14.52,14.66,14.385,14.59,100400,SSNC
2013-04-12,14.495,14.77,14.495,14.76,293800,SSNC
2013-04-15,14.65,14.76,14.53,14.535,594400,SSNC
2013-04-16,14.63,14.825,14.59,14.775,596400,SSNC
2013-04-17,14.63,14.775,14.19,14.405,451000,SSNC
2013-04-18,14.47,14.555,14.17,14.24,365200,SSNC
2013-04-19,14.215,14.225,13.77,14.0,937600,SSNC
2013-04-22,14.145,14.31,14.015,14.295,403000,SSNC
2013-04-23,14.42,14.855,14.345,14.825,368800,SSNC
2013-04-24,14.77,15.07,14.745,14.91,519800,SSNC
2013-04-25,14.915,15.04,14.795,14.825,302000,SSNC
2013-04-26,14.81,14.88,14.6,14.695,161600,SSNC
2013-04-29,14.77,15.075,14.77,14.9,393800,SSNC
2013-04-30,14.84,15.36,14.83,15.345,397600,SSNC
2013-05-01,15.25,15.43,15.105,15.105,1028200,SSNC
2013-05-02,15.515,16.629999,15.515,16.415001,555000,SSNC
2013-05-03,16.625,16.860001,16.465,16.790001,791000,SSNC
2013-05-06,16.565001,16.799999,16.41,16.780001,934400,SSNC
2013-05-07,16.775,16.905001,16.43,16.700001,314200,SSNC
2013-05-08,16.6,17.219999,16.535,17.1,1165800,SSNC
2013-05-09,15.92,15.95,15.315,15.405,6529200,SSNC
2013-05-10,15.545,15.74,15.33,15.71,1440600,SSNC
2013-05-13,15.705,15.795,15.545,15.72,683000,SSNC
2013-05-14,15.75,15.935,15.725,15.925,575200,SSNC
2013-05-15,15.83,15.935,15.78,15.93,683800,SSNC
2013-05-16,15.775,16.125,15.775,15.915,1272000,SSNC
2013-05-17,16.045,16.049999,15.9,16.0,1213400,SSNC
2013-05-20,15.945,16.17,15.94,16.065001,929800,SSNC
2013-05-21,16.045,16.125,15.9,15.96,497000,SSNC
2013-05-22,15.945,16.075001,15.73,15.855,569400,SSNC
2013-05-23,15.665,15.995,15.57,15.975,387800,SSNC
2013-05-24,15.835,15.93,15.695,15.8,188000,SSNC
2013-05-28,16.040001,16.049999,15.85,15.985,302400,SSNC
2013-05-29,15.92,15.92,15.71,15.835,239000,SSNC
2013-05-30,15.92,15.95,15.675,15.85,312600,SSNC
2013-05-31,15.745,16.0,15.745,15.815,328000,SSNC
2013-06-03,15.82,15.98,15.45,15.925,507800,SSNC
2013-06-04,15.895,15.97,15.465,15.71,336800,SSNC
2013-06-05,15.65,15.825,15.54,15.61,209400,SSNC
2013-06-06,15.66,15.86,15.34,15.85,520200,SSNC
2013-06-07,15.975,16.040001,15.69,15.88,544200,SSNC
2013-06-10,15.895,16.110001,15.82,15.895,858000,SSNC
2013-06-11,15.695,16.02,15.52,15.935,578400,SSNC
2013-06-12,15.955,16.094999,15.695,15.925,301200,SSNC
2013-06-13,15.885,16.1,15.66,15.985,489800,SSNC
2013-06-14,16.030001,16.049999,15.825,15.965,255800,SSNC
2013-06-17,16.125,16.235001,15.945,16.215,489200,SSNC
2013-06-18,16.25,16.525,16.110001,16.465,550400,SSNC
2013-06-19,16.49,16.635,16.35,16.434999,540400,SSNC
2013-06-20,16.325001,16.385,16.045,16.205,398600,SSNC
2013-06-21,16.219999,16.33,15.66,16.33,871200,SSNC
2013-06-24,16.145,16.475,15.76,16.23,601000,SSNC
2013-06-25,16.334999,16.495001,16.135,16.485001,466400,SSNC
2013-06-26,16.575001,16.695,16.275,16.475,583400,SSNC
2013-06-27,16.59,16.68,16.415001,16.639999,664200,SSNC
2013-06-28,16.575001,16.575001,16.365,16.450001,8352200,SSNC
2013-07-01,16.549999,16.66,16.254999,16.575001,705200,SSNC
2013-07-02,16.584999,16.68,16.450001,16.635,719400,SSNC
2013-07-03,16.52,16.825001,16.49,16.584999,274200,SSNC
2013-07-05,16.82,16.955,16.545,16.875,587200,SSNC
2013-07-08,17.08,17.1,16.795,17.09,786000,SSNC
2013-07-09,17.200001,17.34,17.08,17.305,979600,SSNC
2013-07-10,17.344999,17.445,17.15,17.25,1288400,SSNC
2013-07-11,17.540001,18.09,17.52,18.025,2008800,SSNC
2013-07-12,18.860001,18.860001,18.27,18.485001,1188800,SSNC
2013-07-15,19.235001,19.235001,18.455,18.504999,854400,SSNC
2013-07-16,18.594999,18.665001,18.035,18.290001,1125000,SSNC
2013-07-17,18.32,18.504999,18.08,18.43,702200,SSNC
2013-07-18,18.5,18.58,18.35,18.434999,364600,SSNC
2013-07-19,18.33,18.514999,18.32,18.5,342800,SSNC
2013-07-22,18.445,18.785,18.299999,18.469999,507400,SSNC
2013-07-23,18.57,18.68,18.105,18.16,519400,SSNC
2013-07-24,18.235001,18.48,18.105,18.299999,376800,SSNC
2013-07-25,18.23,18.43,18.084999,18.395,673200,SSNC
2013-07-26,18.24,18.299999,17.525,17.795,1235200,SSNC
2013-07-29,17.745001,17.934999,17.41,17.82,651200,SSNC
2013-07-30,17.860001,18.0,17.780001,17.885,380000,SSNC
2013-07-31,17.895,18.16,17.834999,17.889999,342000,SSNC
2013-08-01,18.094999,18.295,18.040001,18.055,681000,SSNC
2013-08-02,19.4,19.4,18.08,18.49,1319200,SSNC
2013-08-05,18.530001,18.645,18.275,18.299999,928600,SSNC
2013-08-06,18.309999,18.34,17.799999,17.82,1334600,SSNC
2013-08-07,17.66,17.795,16.6,17.635,1663400,SSNC
2013-08-08,17.645,17.92,17.49,17.57,701200,SSNC
2013-08-09,17.575001,17.975,17.459999,17.754999,697200,SSNC
2013-08-12,17.74,18.0,17.74,17.799999,521600,SSNC
2013-08-13,17.790001,17.875,17.65,17.805,354200,SSNC
2013-08-14,17.77,17.879999,17.635,17.65,265000,SSNC
