Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,38.279999,38.5,38.040001,38.169998,128600,ESE
2013-01-03,38.330002,38.369999,37.849998,37.98,55700,ESE
2013-01-04,38.59,39.599998,38.59,39.200001,194500,ESE
2013-01-07,39.099998,39.279999,38.650002,38.849998,66100,ESE
2013-01-08,38.75,39.099998,38.41,38.889999,56200,ESE
2013-01-09,38.970001,39.419998,38.970001,39.240002,120500,ESE
2013-01-10,39.48,39.549999,38.880001,39.389999,68700,ESE
2013-01-11,39.470001,39.470001,38.560001,38.82,189200,ESE
2013-01-14,38.759998,38.919998,38.369999,38.860001,123400,ESE
2013-01-15,38.610001,39.459999,38.610001,39.34,49000,ESE
2013-01-16,39.110001,39.23,38.82,39.07,55300,ESE
2013-01-17,39.299999,39.740002,39.110001,39.580002,54400,ESE
2013-01-18,39.639999,39.639999,38.919998,39.32,82600,ESE
2013-01-22,39.389999,40.099998,39.389999,40.07,63800,ESE
2013-01-23,40.009998,40.439999,40.009998,40.299999,81700,ESE
2013-01-24,40.310001,40.900002,40.18,40.669998,52700,ESE
2013-01-25,40.82,41.25,40.740002,41.23,55800,ESE
2013-01-28,41.279999,41.630001,40.509998,41.59,159900,ESE
2013-01-29,41.610001,42.360001,41.549999,42.349998,113000,ESE
2013-01-30,42.220001,42.419998,41.970001,42.27,203400,ESE
2013-01-31,41.400002,41.580002,40.900002,41.169998,242800,ESE
2013-02-01,41.380001,41.720001,41.220001,41.389999,112900,ESE
2013-02-04,41.279999,41.400002,40.580002,40.689999,66200,ESE
2013-02-05,40.959999,40.959999,40.66,40.759998,106400,ESE
2013-02-06,40.43,40.779999,40.360001,40.700001,159400,ESE
2013-02-07,40.650002,40.700001,40.310001,40.34,90500,ESE
2013-02-08,41.130001,42.18,40.209999,40.5,223000,ESE
2013-02-11,40.419998,40.419998,40.040001,40.27,160900,ESE
2013-02-12,40.279999,40.490002,40.119999,40.369999,101500,ESE
2013-02-13,40.459999,40.5,39.91,40.200001,89700,ESE
2013-02-14,40.18,40.529999,39.939999,40.450001,89700,ESE
2013-02-15,40.599998,41.279999,40.540001,41.110001,97800,ESE
2013-02-19,41.080002,41.830002,41.080002,41.73,97500,ESE
2013-02-20,41.700001,41.810001,40.75,40.759998,146700,ESE
2013-02-21,40.689999,41.040001,40.630001,40.830002,86100,ESE
2013-02-22,41.07,41.369999,40.970001,41.299999,46900,ESE
2013-02-25,41.509998,41.529999,39.720001,39.779999,50900,ESE
2013-02-26,40.029999,40.200001,39.77,40.029999,27000,ESE
2013-02-27,39.990002,40.77,39.950001,40.450001,45200,ESE
2013-02-28,40.389999,40.869999,40.27,40.560001,52900,ESE
2013-03-01,40.25,40.84,39.849998,40.669998,69300,ESE
2013-03-04,40.470001,41.209999,40.169998,41.169998,147500,ESE
2013-03-05,41.400002,41.810001,41.209999,41.389999,166400,ESE
2013-03-06,41.400002,41.59,41.279999,41.299999,93500,ESE
2013-03-07,41.41,41.41,40.66,41.209999,46500,ESE
2013-03-08,41.52,41.549999,40.990002,41.43,50900,ESE
2013-03-11,41.240002,41.509998,41.02,41.439999,44000,ESE
2013-03-12,41.27,41.540001,41.200001,41.400002,44900,ESE
2013-03-13,41.349998,41.459999,41.209999,41.34,20900,ESE
2013-03-14,41.450001,42.0,41.290001,41.919998,52200,ESE
2013-03-15,41.970001,41.990002,41.400002,41.779999,257600,ESE
2013-03-18,41.200001,42.16,41.200001,41.959999,45400,ESE
2013-03-19,41.959999,42.310001,41.689999,42.139999,55900,ESE
2013-03-20,42.139999,42.27,41.029999,42.139999,64400,ESE
2013-03-21,41.75,41.970001,41.150002,41.299999,29800,ESE
2013-03-22,41.439999,41.650002,41.290001,41.389999,59000,ESE
2013-03-25,41.459999,41.610001,40.650002,40.900002,55900,ESE
2013-03-26,41.119999,41.169998,40.860001,41.02,48300,ESE
2013-03-27,40.549999,40.779999,40.330002,40.540001,66900,ESE
2013-03-28,40.689999,41.060001,40.349998,40.860001,55200,ESE
2013-04-01,41.23,41.23,40.400002,40.900002,86100,ESE
2013-04-02,41.310001,41.310001,40.209999,40.259998,60700,ESE
2013-04-03,40.27,40.419998,39.32,39.360001,54300,ESE
2013-04-04,39.43,39.669998,39.18,39.599998,55200,ESE
2013-04-05,38.650002,39.5,38.540001,39.150002,42900,ESE
2013-04-08,39.27,39.459999,38.860001,39.43,35900,ESE
2013-04-09,39.529999,39.529999,39.029999,39.119999,55900,ESE
2013-04-10,39.259998,40.450001,38.869999,40.27,65600,ESE
2013-04-11,40.099998,40.599998,39.830002,39.93,35100,ESE
2013-04-12,39.650002,39.799999,39.080002,39.299999,59200,ESE
2013-04-15,39.049999,39.299999,37.540001,37.849998,81200,ESE
2013-04-16,38.25,38.599998,37.959999,38.5,63600,ESE
2013-04-17,38.060001,38.07,37.470001,37.540001,78900,ESE
2013-04-18,35.639999,36.23,34.889999,35.490002,160500,ESE
