Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,16.799999,16.809999,16.65,16.790001,603000,KT
2013-01-03,16.93,16.950001,16.84,16.950001,658900,KT
2013-01-04,17.27,17.42,17.18,17.379999,707300,KT
2013-01-07,17.41,17.43,17.24,17.25,367900,KT
2013-01-08,17.219999,17.24,17.1,17.209999,268600,KT
2013-01-09,17.18,17.25,17.110001,17.139999,469500,KT
2013-01-10,16.99,17.030001,16.93,17.0,811100,KT
2013-01-11,16.889999,16.91,16.799999,16.85,693200,KT
2013-01-14,17.299999,17.34,17.16,17.219999,846200,KT
2013-01-15,17.25,17.27,17.200001,17.26,268800,KT
2013-01-16,17.33,17.450001,17.27,17.34,926000,KT
2013-01-17,17.559999,17.57,17.42,17.440001,443400,KT
2013-01-18,17.5,17.6,17.459999,17.59,774200,KT
2013-01-22,18.18,18.18,17.93,18.07,1178800,KT
2013-01-23,17.969999,17.98,17.870001,17.91,310500,KT
2013-01-24,18.17,18.190001,18.0,18.02,440600,KT
2013-01-25,17.709999,17.75,17.530001,17.59,285000,KT
2013-01-28,17.389999,17.389999,17.309999,17.32,389700,KT
2013-01-29,17.059999,17.07,16.969999,17.059999,796300,KT
2013-01-30,17.0,17.15,16.99,17.1,1701200,KT
2013-01-31,16.93,17.02,16.85,16.940001,1024200,KT
2013-02-01,17.07,17.18,16.99,17.049999,1352200,KT
2013-02-04,17.48,17.719999,17.209999,17.33,865300,KT
2013-02-05,17.41,17.42,17.23,17.290001,599200,KT
2013-02-06,17.57,17.57,17.41,17.48,963900,KT
2013-02-07,17.35,17.379999,17.17,17.200001,842100,KT
2013-02-08,16.85,17.049999,16.700001,16.719999,854500,KT
2013-02-11,16.700001,16.73,16.65,16.67,373800,KT
2013-02-12,16.700001,16.709999,16.66,16.700001,313000,KT
2013-02-13,16.559999,16.57,16.43,16.450001,319200,KT
2013-02-14,16.15,16.26,16.08,16.200001,502500,KT
2013-02-15,16.190001,16.23,16.07,16.129999,497400,KT
2013-02-19,16.18,16.25,16.110001,16.15,475500,KT
2013-02-20,16.51,16.51,16.25,16.27,1385400,KT
2013-02-21,16.07,16.07,15.9,15.97,973000,KT
2013-02-22,16.120001,16.17,16.040001,16.16,557700,KT
2013-02-25,16.08,16.08,15.86,15.88,662000,KT
2013-02-26,15.88,15.99,15.73,15.78,593000,KT
2013-02-27,16.32,16.42,16.23,16.32,1594600,KT
2013-02-28,16.389999,16.4,16.16,16.18,1525500,KT
2013-03-01,16.1,16.26,16.1,16.26,1608400,KT
2013-03-04,16.200001,16.200001,16.01,16.16,460900,KT
2013-03-05,16.219999,16.32,16.16,16.290001,1473300,KT
2013-03-06,16.52,16.66,16.52,16.6,1497300,KT
2013-03-07,16.790001,16.790001,16.639999,16.66,1380500,KT
2013-03-08,16.85,16.99,16.809999,16.98,1209800,KT
2013-03-11,16.940001,16.969999,16.879999,16.950001,708200,KT
2013-03-12,16.809999,16.809999,16.530001,16.620001,987200,KT
2013-03-13,16.639999,16.709999,16.549999,16.6,845100,KT
2013-03-14,16.639999,16.639999,16.48,16.57,1389300,KT
2013-03-15,16.549999,16.549999,16.33,16.389999,559000,KT
2013-03-18,16.389999,16.52,16.389999,16.450001,548600,KT
2013-03-19,16.48,16.57,16.459999,16.49,709600,KT
2013-03-20,16.440001,16.450001,16.34,16.379999,265100,KT
2013-03-21,16.1,16.1,15.88,15.88,487000,KT
2013-03-22,15.61,15.68,15.55,15.65,512300,KT
2013-03-25,15.89,15.92,15.64,15.71,545800,KT
2013-03-26,15.77,15.87,15.73,15.8,750200,KT
2013-03-27,15.73,15.75,15.63,15.65,508300,KT
2013-03-28,15.65,15.73,15.62,15.71,289100,KT
2013-04-01,15.77,15.79,15.65,15.67,204700,KT
2013-04-02,15.7,15.73,15.64,15.66,362600,KT
2013-04-03,15.85,15.97,15.8,15.82,501800,KT
2013-04-04,15.78,15.78,15.66,15.72,293100,KT
2013-04-05,15.5,15.51,15.44,15.5,243000,KT
2013-04-08,15.45,15.48,15.33,15.46,325900,KT
2013-04-09,15.24,15.3,15.08,15.26,573600,KT
2013-04-10,15.21,15.4,15.19,15.3,520700,KT
2013-04-11,15.32,15.35,15.26,15.31,374800,KT
2013-04-12,15.09,15.09,14.83,14.92,734700,KT
2013-04-15,15.23,15.29,15.19,15.2,888900,KT
2013-04-16,15.8,16.040001,15.8,15.96,1023000,KT
2013-04-17,16.16,16.25,16.049999,16.049999,903600,KT
2013-04-18,16.07,16.07,15.8,15.81,647800,KT
2013-04-19,16.01,16.02,15.9,15.99,295700,KT
2013-04-22,16.17,16.25,16.15,16.190001,364900,KT
2013-04-23,16.25,16.25,16.110001,16.18,340000,KT
2013-04-24,16.1,16.139999,16.040001,16.08,240500,KT
2013-04-25,15.93,15.99,15.71,15.95,197500,KT
2013-04-26,15.91,16.040001,15.91,15.96,232100,KT
2013-04-29,16.18,16.24,16.15,16.219999,345500,KT
2013-04-30,16.309999,16.35,16.190001,16.26,425300,KT
2013-05-01,16.200001,16.299999,16.15,16.17,403700,KT
2013-05-02,17.209999,17.280001,17.09,17.18,1709300,KT
2013-05-03,17.66,17.67,17.24,17.48,499800,KT
2013-05-06,17.43,17.450001,17.27,17.32,212300,KT
2013-05-07,17.6,17.700001,17.6,17.66,1111700,KT
2013-05-08,17.799999,17.879999,17.790001,17.799999,1592900,KT
2013-05-09,17.469999,17.52,17.4,17.450001,501900,KT
2013-05-10,17.41,17.52,17.389999,17.52,428200,KT
2013-05-13,18.0,18.01,17.870001,17.9,670300,KT
2013-05-14,18.26,18.309999,18.15,18.15,637600,KT
2013-05-15,18.139999,18.190001,18.08,18.16,494300,KT
2013-05-16,18.219999,18.23,18.07,18.139999,526900,KT
2013-05-17,18.120001,18.15,18.1,18.15,234000,KT
2013-05-20,17.969999,18.059999,17.950001,18.030001,273800,KT
2013-05-21,17.879999,17.91,17.75,17.879999,243100,KT
2013-05-22,17.809999,17.93,17.65,17.67,260900,KT
2013-05-23,17.76,17.91,17.73,17.85,290100,KT
2013-05-24,17.75,17.809999,17.58,17.66,469300,KT
2013-05-28,17.799999,17.799999,17.74,17.780001,771200,KT
2013-05-29,17.059999,17.16,16.59,16.83,1160100,KT
2013-05-30,16.83,17.049999,16.83,16.98,459200,KT
2013-05-31,16.98,17.139999,16.860001,16.860001,861100,KT
2013-06-03,16.91,17.049999,16.870001,17.0,263300,KT
2013-06-04,16.889999,17.01,16.799999,17.01,409700,KT
2013-06-05,16.879999,16.91,16.629999,16.709999,367800,KT
2013-06-06,16.67,16.780001,16.59,16.73,303700,KT
2013-06-07,16.809999,16.82,16.690001,16.82,235100,KT
2013-06-10,16.83,16.99,16.700001,16.940001,340400,KT
2013-06-11,16.9,16.93,16.84,16.889999,202700,KT
2013-06-12,16.940001,16.940001,16.68,16.700001,186100,KT
2013-06-13,16.559999,16.65,16.540001,16.620001,205100,KT
2013-06-14,16.75,16.780001,16.49,16.620001,365800,KT
2013-06-17,16.690001,16.879999,16.67,16.84,498200,KT
2013-06-18,16.639999,16.780001,16.559999,16.639999,295500,KT
2013-06-19,16.370001,16.48,16.17,16.18,236200,KT
2013-06-20,16.030001,16.030001,15.5,15.5,970700,KT
2013-06-21,15.62,15.69,15.18,15.18,1743400,KT
2013-06-24,15.0,15.15,15.0,15.07,580400,KT
2013-06-25,15.09,15.13,14.87,14.94,526300,KT
2013-06-26,15.1,15.4,15.1,15.33,797100,KT
2013-06-27,15.47,15.51,15.32,15.42,428600,KT
2013-06-28,15.56,15.57,15.3,15.52,379800,KT
2013-07-01,15.56,15.56,15.33,15.41,179400,KT
2013-07-02,15.35,15.51,15.31,15.36,381300,KT
2013-07-03,15.2,15.26,15.17,15.21,194800,KT
2013-07-05,15.69,15.74,15.55,15.65,597500,KT
2013-07-08,15.63,15.63,15.33,15.35,236700,KT
2013-07-09,15.74,15.75,15.54,15.63,633000,KT
2013-07-10,15.65,15.74,15.61,15.74,666200,KT
2013-07-11,15.84,15.87,15.74,15.81,480000,KT
2013-07-12,15.97,16.1,15.95,16.08,445400,KT
2013-07-15,15.8,15.85,15.68,15.71,286200,KT
2013-07-16,15.63,15.63,15.55,15.57,385800,KT
2013-07-17,15.14,15.17,14.98,15.0,955000,KT
2013-07-18,15.23,15.6,15.22,15.56,640100,KT
2013-07-19,15.62,15.93,15.62,15.92,588000,KT
2013-07-22,15.75,15.88,15.68,15.85,289300,KT
2013-07-23,15.96,16.030001,15.91,16.02,185900,KT
