Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,19.91,20.120001,19.549999,19.67,1902500,TIMB
2013-01-03,19.73,19.82,19.41,19.66,1040700,TIMB
2013-01-04,19.48,19.66,19.389999,19.65,919500,TIMB
2013-01-07,19.57,19.59,19.360001,19.440001,550400,TIMB
2013-01-08,19.41,19.440001,19.18,19.23,679200,TIMB
2013-01-09,19.389999,19.52,19.120001,19.200001,742300,TIMB
2013-01-10,19.57,19.99,19.34,19.870001,597600,TIMB
2013-01-11,19.82,19.870001,19.73,19.74,307700,TIMB
2013-01-14,19.780001,19.9,19.58,19.73,505300,TIMB
2013-01-15,19.950001,20.129999,19.82,20.02,381100,TIMB
2013-01-16,20.139999,20.23,20.030001,20.15,909800,TIMB
2013-01-17,20.66,20.92,20.48,20.77,1238700,TIMB
2013-01-18,20.59,20.82,20.540001,20.75,1329900,TIMB
2013-01-22,20.65,20.91,20.41,20.690001,2987100,TIMB
2013-01-23,20.719999,21.4,20.639999,21.309999,1255300,TIMB
2013-01-24,21.27,21.6,21.07,21.110001,1469400,TIMB
2013-01-25,21.24,21.469999,21.110001,21.370001,824000,TIMB
2013-01-28,21.35,21.469999,21.15,21.299999,1427600,TIMB
2013-01-29,21.450001,21.950001,21.280001,21.879999,909200,TIMB
2013-01-30,21.549999,21.99,21.34,21.65,1028500,TIMB
2013-01-31,21.92,22.110001,21.67,22.0,1134900,TIMB
2013-02-01,22.129999,22.23,21.85,22.139999,1057600,TIMB
2013-02-04,22.16,22.200001,21.799999,21.879999,1182300,TIMB
2013-02-05,21.84,22.030001,21.629999,21.690001,1465700,TIMB
2013-02-06,21.440001,21.889999,21.389999,21.790001,1931200,TIMB
2013-02-07,21.76,21.809999,21.26,21.43,1597300,TIMB
2013-02-08,21.280001,21.59,21.120001,21.48,1587000,TIMB
2013-02-11,21.42,21.66,21.280001,21.52,697800,TIMB
2013-02-12,21.59,21.889999,21.51,21.59,563100,TIMB
2013-02-13,21.52,21.76,21.42,21.48,847400,TIMB
2013-02-14,21.42,21.440001,21.27,21.43,616900,TIMB
2013-02-15,20.950001,20.950001,20.610001,20.75,1199400,TIMB
2013-02-19,20.83,20.879999,20.5,20.66,771100,TIMB
2013-02-20,20.6,20.799999,20.110001,20.32,887200,TIMB
2013-02-21,20.209999,20.280001,19.950001,20.08,1136200,TIMB
2013-02-22,20.860001,20.940001,20.219999,20.879999,1202600,TIMB
2013-02-25,21.379999,21.719999,21.02,21.110001,1769300,TIMB
2013-02-26,21.629999,21.889999,21.52,21.73,1969800,TIMB
2013-02-27,22.01,22.17,21.77,22.01,1284900,TIMB
2013-02-28,21.99,22.01,21.700001,21.76,1221400,TIMB
2013-03-01,21.459999,22.01,21.459999,21.959999,885800,TIMB
2013-03-04,21.870001,21.940001,21.57,21.700001,547700,TIMB
2013-03-05,22.120001,22.139999,21.65,21.74,680600,TIMB
2013-03-06,22.16,22.639999,22.030001,22.290001,969600,TIMB
2013-03-07,22.66,22.68,22.120001,22.15,1230100,TIMB
2013-03-08,22.280001,22.790001,22.219999,22.52,685500,TIMB
2013-03-11,22.690001,22.799999,22.23,22.379999,680900,TIMB
2013-03-12,21.790001,21.950001,21.379999,21.610001,1120800,TIMB
2013-03-13,21.379999,21.540001,21.08,21.1,1184700,TIMB
2013-03-14,21.120001,21.299999,20.92,21.07,958300,TIMB
2013-03-15,21.25,21.25,20.809999,20.9,1038400,TIMB
2013-03-18,20.83,21.07,20.639999,20.950001,620900,TIMB
2013-03-19,21.030001,21.09,20.610001,21.030001,664700,TIMB
2013-03-20,20.889999,21.219999,20.790001,20.92,999600,TIMB
2013-03-21,20.75,20.91,20.620001,20.73,994900,TIMB
2013-03-22,20.85,21.27,20.85,21.190001,995000,TIMB
2013-03-25,21.139999,21.34,20.84,21.0,810100,TIMB
2013-03-26,21.190001,21.870001,21.190001,21.83,1207800,TIMB
2013-03-27,21.700001,22.0,21.52,21.83,822100,TIMB
2013-03-28,21.889999,22.1,21.530001,21.879999,768800,TIMB
2013-04-01,21.879999,21.93,21.65,21.790001,463500,TIMB
2013-04-02,21.85,21.959999,21.27,21.389999,874500,TIMB
2013-04-03,21.309999,21.629999,21.049999,21.23,702800,TIMB
2013-04-04,21.23,21.540001,21.09,21.16,1001400,TIMB
2013-04-05,21.27,21.389999,20.74,21.290001,949100,TIMB
2013-04-08,21.25,21.42,21.07,21.41,523000,TIMB
2013-04-09,21.709999,21.98,21.66,21.809999,890300,TIMB
2013-04-10,22.1,22.219999,21.75,21.860001,913700,TIMB
2013-04-11,21.860001,21.98,21.67,21.77,508200,TIMB
2013-04-12,21.870001,22.15,21.309999,21.84,736200,TIMB
2013-04-15,20.91,21.43,20.870001,20.98,1201400,TIMB
2013-04-16,21.4,21.610001,21.129999,21.41,964800,TIMB
2013-04-17,21.200001,21.48,20.860001,20.98,1143800,TIMB
2013-04-18,20.950001,20.969999,20.51,20.6,1689100,TIMB
2013-04-19,20.889999,20.969999,20.379999,20.639999,917000,TIMB
2013-04-22,20.530001,20.700001,20.4,20.49,932100,TIMB
2013-04-23,20.610001,20.65,20.32,20.6,1243500,TIMB
2013-04-24,20.610001,20.91,20.49,20.709999,879800,TIMB
2013-04-25,20.77,21.27,20.620001,21.200001,1258700,TIMB
2013-04-26,21.26,21.299999,20.629999,20.809999,658200,TIMB
2013-04-29,20.92,20.940001,20.58,20.65,907000,TIMB
2013-04-30,20.549999,21.200001,20.41,20.860001,1252300,TIMB
2013-05-01,20.959999,20.959999,20.34,20.41,604900,TIMB
2013-05-02,20.639999,20.780001,20.34,20.48,617500,TIMB
2013-05-03,20.549999,20.9,20.469999,20.629999,882500,TIMB
2013-05-06,20.52,20.690001,20.370001,20.440001,1237300,TIMB
2013-05-07,20.35,20.549999,20.32,20.4,726300,TIMB
2013-05-08,20.450001,20.540001,20.33,20.49,952400,TIMB
2013-05-09,20.530001,20.540001,20.16,20.26,509400,TIMB
2013-05-10,20.139999,20.719999,20.059999,20.57,1459100,TIMB
2013-05-13,20.01,20.5,19.969999,20.35,855600,TIMB
2013-05-14,20.280001,20.49,20.120001,20.17,727700,TIMB
2013-05-15,20.16,20.23,20.040001,20.200001,827100,TIMB
2013-05-16,20.110001,20.52,20.08,20.34,836100,TIMB
2013-05-17,20.360001,20.42,20.200001,20.290001,947700,TIMB
2013-05-20,20.32,20.469999,20.200001,20.450001,1039100,TIMB
2013-05-21,20.370001,20.66,20.190001,20.549999,876400,TIMB
2013-05-22,20.559999,20.959999,20.450001,20.620001,811400,TIMB
2013-05-23,20.5,20.75,20.280001,20.65,680400,TIMB
2013-05-24,20.67,20.67,20.110001,20.49,749500,TIMB
2013-05-28,20.68,20.809999,20.299999,20.35,725300,TIMB
2013-05-29,20.02,20.049999,19.32,19.530001,1203800,TIMB
2013-05-30,19.639999,19.85,19.51,19.719999,957100,TIMB
2013-05-31,19.280001,19.41,19.059999,19.16,1859800,TIMB
2013-06-03,19.02,19.42,18.780001,19.379999,796200,TIMB
2013-06-04,19.67,19.73,19.290001,19.469999,485200,TIMB
2013-06-05,19.51,19.51,18.92,19.01,566600,TIMB
2013-06-06,18.82,19.049999,18.799999,19.02,466000,TIMB
2013-06-07,18.65,19.110001,18.540001,18.790001,551700,TIMB
2013-06-10,18.77,19.200001,18.68,19.110001,1159200,TIMB
2013-06-11,18.360001,18.799999,18.360001,18.639999,1202400,TIMB
2013-06-12,18.74,18.75,18.4,18.549999,722900,TIMB
2013-06-13,18.65,19.16,18.639999,19.120001,1009500,TIMB
2013-06-14,19.09,19.17,18.940001,19.02,581600,TIMB
2013-06-17,19.02,19.139999,18.809999,18.940001,795700,TIMB
2013-06-18,18.870001,19.27,18.75,19.200001,1265700,TIMB
2013-06-19,19.200001,19.34,18.610001,18.610001,1359200,TIMB
2013-06-20,17.719999,18.290001,17.639999,18.030001,1015000,TIMB
2013-06-21,17.83,17.92,17.52,17.629999,1184100,TIMB
2013-06-24,17.040001,17.639999,16.85,17.42,1219600,TIMB
2013-06-25,17.59,18.01,17.23,17.92,970200,TIMB
2013-06-26,18.040001,18.450001,17.809999,18.129999,1231500,TIMB
2013-06-27,18.139999,18.559999,18.110001,18.43,1056600,TIMB
2013-06-28,17.93,18.65,17.91,18.6,1035800,TIMB
2013-07-01,18.4,18.84,18.4,18.690001,1290100,TIMB
2013-07-02,18.610001,18.889999,18.27,18.379999,1403200,TIMB
2013-07-03,18.360001,18.5,18.16,18.24,910500,TIMB
2013-07-05,18.139999,18.280001,17.84,18.040001,1526200,TIMB
2013-07-08,18.25,18.440001,18.129999,18.35,620900,TIMB
2013-07-09,18.43,18.52,18.17,18.27,958900,TIMB
2013-07-10,18.309999,18.57,18.299999,18.41,466400,TIMB
2013-07-11,18.67,18.780001,18.450001,18.77,477900,TIMB
2013-07-12,18.700001,18.76,18.209999,18.309999,698700,TIMB
2013-07-15,18.299999,18.98,18.27,18.950001,1029500,TIMB
2013-07-16,19.030001,19.030001,18.549999,18.68,726400,TIMB
2013-07-17,18.870001,18.98,18.700001,18.84,698600,TIMB
2013-07-18,18.77,19.290001,18.77,19.26,690900,TIMB
2013-07-19,19.110001,19.26,19.0,19.15,712300,TIMB
2013-07-22,19.219999,19.700001,19.139999,19.639999,589800,TIMB
2013-07-23,19.98,20.139999,19.459999,19.51,663000,TIMB
2013-07-24,19.34,19.43,18.690001,18.98,640300,TIMB
2013-07-25,18.870001,19.26,18.83,19.129999,843100,TIMB
2013-07-26,19.049999,19.25,18.91,19.120001,719400,TIMB
