Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,16.290001,16.370001,16.18,16.200001,460000,TKC
2013-01-03,16.200001,16.51,16.18,16.459999,323100,TKC
2013-01-04,16.48,16.540001,16.440001,16.51,200700,TKC
2013-01-07,16.5,16.549999,16.41,16.49,214500,TKC
2013-01-08,16.76,16.780001,16.57,16.629999,447000,TKC
2013-01-09,16.82,16.879999,16.719999,16.83,315900,TKC
2013-01-10,17.07,17.1,16.85,16.98,505000,TKC
2013-01-11,17.35,17.389999,17.18,17.290001,470600,TKC
2013-01-14,17.290001,17.35,17.18,17.290001,464500,TKC
2013-01-15,17.25,17.27,17.15,17.200001,400200,TKC
2013-01-16,17.379999,17.610001,17.35,17.59,506800,TKC
2013-01-17,17.66,17.799999,17.65,17.76,506700,TKC
2013-01-18,17.57,17.57,17.26,17.370001,264800,TKC
2013-01-22,17.07,17.309999,17.0,17.290001,244600,TKC
2013-01-23,17.26,17.370001,17.23,17.360001,234900,TKC
2013-01-24,17.34,17.35,17.200001,17.27,351200,TKC
2013-01-25,17.33,17.43,16.67,17.049999,675000,TKC
2013-01-28,16.73,16.76,16.49,16.52,1316900,TKC
2013-01-29,16.73,16.879999,16.67,16.870001,306600,TKC
2013-01-30,15.85,15.86,15.47,15.64,837600,TKC
2013-01-31,15.78,15.86,15.6,15.64,697600,TKC
2013-02-01,15.62,15.68,15.43,15.59,862700,TKC
2013-02-04,15.51,15.69,15.42,15.57,1565700,TKC
2013-02-05,15.66,15.66,15.5,15.57,273100,TKC
2013-02-06,15.51,15.53,15.35,15.43,492100,TKC
2013-02-07,15.92,16.16,15.75,15.82,415600,TKC
2013-02-08,15.89,16.07,15.89,15.95,331200,TKC
2013-02-11,15.92,15.97,15.83,15.85,901900,TKC
2013-02-12,15.97,16.030001,15.91,15.97,294400,TKC
2013-02-13,16.030001,16.07,15.81,15.82,336000,TKC
2013-02-14,15.61,15.75,15.58,15.68,172600,TKC
2013-02-15,15.72,15.76,15.65,15.74,339300,TKC
2013-02-19,16.209999,16.27,16.08,16.129999,655700,TKC
2013-02-20,16.08,16.129999,15.83,15.85,420800,TKC
2013-02-21,15.74,15.91,15.65,15.86,355800,TKC
2013-02-22,15.93,16.18,15.93,16.16,644100,TKC
