Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,24.74,24.9,24.65,24.809999,3265000,CMS
2013-01-03,24.82,25.01,24.74,24.879999,2510000,CMS
2013-01-04,24.92,25.1,24.870001,25.1,1864700,CMS
2013-01-07,25.0,25.07,24.75,24.799999,1377800,CMS
2013-01-08,24.809999,24.870001,24.66,24.76,2054800,CMS
2013-01-09,24.780001,24.83,24.6,24.809999,1784000,CMS
2013-01-10,24.889999,24.950001,24.790001,24.950001,2052700,CMS
2013-01-11,24.93,25.01,24.84,24.889999,1955200,CMS
2013-01-14,24.93,24.950001,24.82,24.92,2211500,CMS
2013-01-15,24.92,24.940001,24.799999,24.940001,1977600,CMS
2013-01-16,24.860001,24.950001,24.75,24.77,1833700,CMS
2013-01-17,24.85,24.98,24.799999,24.91,1962000,CMS
2013-01-18,24.940001,25.09,24.879999,25.09,2274000,CMS
2013-01-22,25.09,25.43,25.049999,25.389999,1627100,CMS
2013-01-23,25.33,25.33,25.059999,25.18,2156600,CMS
2013-01-24,25.219999,25.469999,25.18,25.280001,1288700,CMS
2013-01-25,25.280001,25.35,25.120001,25.23,3408200,CMS
2013-01-28,25.27,25.309999,25.09,25.26,1653600,CMS
2013-01-29,25.32,25.559999,25.280001,25.549999,1643600,CMS
2013-01-30,25.51,25.719999,25.459999,25.66,2386500,CMS
2013-01-31,25.620001,25.74,25.540001,25.700001,1936000,CMS
2013-02-01,25.790001,25.93,25.719999,25.83,2616700,CMS
2013-02-04,25.68,25.82,25.66,25.76,2002700,CMS
2013-02-05,25.85,25.969999,25.82,25.870001,1933300,CMS
2013-02-06,25.58,25.68,25.43,25.67,1619000,CMS
2013-02-07,25.65,25.790001,25.530001,25.65,1552000,CMS
2013-02-08,25.690001,25.76,25.540001,25.66,927300,CMS
2013-02-11,25.65,25.709999,25.620001,25.67,1859400,CMS
2013-02-12,25.58,25.860001,25.51,25.84,1627000,CMS
2013-02-13,25.84,25.98,25.719999,25.860001,1457300,CMS
2013-02-14,25.83,25.92,25.68,25.75,2744200,CMS
2013-02-15,25.74,25.91,25.719999,25.77,2345100,CMS
2013-02-19,25.84,26.09,25.84,26.09,2086600,CMS
2013-02-20,26.08,26.26,26.0,26.049999,1628100,CMS
2013-02-21,25.959999,26.15,25.84,26.120001,2150200,CMS
2013-02-22,26.190001,26.4,26.059999,26.4,1885100,CMS
2013-02-25,26.51,26.790001,26.129999,26.129999,2551300,CMS
2013-02-26,26.280001,26.49,26.139999,26.18,3035500,CMS
2013-02-27,26.219999,26.42,26.16,26.379999,2292100,CMS
2013-02-28,26.41,26.75,26.33,26.610001,1983600,CMS
2013-03-01,26.610001,26.74,25.99,26.450001,7626600,CMS
2013-03-04,26.440001,26.93,26.389999,26.879999,3597900,CMS
2013-03-05,26.969999,27.07,26.889999,27.0,2156500,CMS
2013-03-06,27.08,27.15,26.83,26.889999,2381600,CMS
2013-03-07,26.950001,27.049999,26.83,26.85,1380400,CMS
2013-03-08,26.889999,27.129999,26.709999,27.08,2657000,CMS
2013-03-11,27.01,27.209999,27.0,27.18,2501400,CMS
2013-03-12,27.219999,27.23,26.860001,26.969999,2719800,CMS
2013-03-13,26.950001,27.15,26.9,27.110001,1223200,CMS
2013-03-14,27.15,27.360001,27.059999,27.35,2010700,CMS
2013-03-15,27.24,27.549999,27.190001,27.440001,5559600,CMS
2013-03-18,27.290001,27.370001,27.16,27.200001,2402200,CMS
2013-03-19,27.200001,27.32,26.940001,27.09,2574500,CMS
2013-03-20,27.190001,27.32,27.139999,27.27,2353900,CMS
2013-03-21,27.200001,27.25,27.08,27.129999,1985900,CMS
2013-03-22,27.15,27.379999,27.059999,27.33,1861600,CMS
2013-03-25,27.43,27.57,27.08,27.209999,2816400,CMS
2013-03-26,27.290001,27.42,27.219999,27.35,2250100,CMS
2013-03-27,27.25,27.5,27.24,27.450001,1658100,CMS
2013-03-28,27.459999,27.950001,27.389999,27.940001,2240100,CMS
2013-04-01,27.940001,27.959999,27.67,27.799999,2258300,CMS
2013-04-02,27.92,28.01,27.73,27.85,1971000,CMS
2013-04-03,27.940001,27.99,27.67,27.790001,1988200,CMS
2013-04-04,27.83,28.15,27.809999,28.139999,1969600,CMS
2013-04-05,27.959999,28.26,27.889999,28.209999,1410700,CMS
2013-04-08,28.16,28.41,28.07,28.41,1899800,CMS
2013-04-09,28.5,28.5,28.209999,28.25,1377800,CMS
2013-04-10,28.25,28.469999,28.25,28.469999,1334100,CMS
2013-04-11,28.469999,28.52,28.34,28.450001,2026500,CMS
2013-04-12,28.389999,28.76,28.370001,28.73,1459600,CMS
2013-04-15,28.639999,28.77,28.280001,28.290001,1758800,CMS
2013-04-16,28.379999,28.700001,28.1,28.690001,1651100,CMS
2013-04-17,28.610001,28.66,28.33,28.530001,1579300,CMS
2013-04-18,28.6,28.799999,28.530001,28.66,2032600,CMS
2013-04-19,28.76,29.09,28.620001,29.09,1413600,CMS
2013-04-22,29.08,29.18,28.879999,29.059999,1051500,CMS
2013-04-23,29.129999,29.139999,28.719999,29.0,2291800,CMS
2013-04-24,29.0,29.34,28.84,29.18,1978800,CMS
2013-04-25,29.389999,29.51,29.15,29.24,5797100,CMS
2013-04-26,29.280001,29.610001,29.280001,29.43,5431000,CMS
2013-04-29,29.5,29.83,29.370001,29.75,5344600,CMS
2013-04-30,29.790001,29.940001,29.6,29.940001,2431500,CMS
2013-05-01,29.98,29.98,29.41,29.450001,1834100,CMS
2013-05-02,29.450001,29.51,29.17,29.33,2235200,CMS
2013-05-03,29.450001,29.68,29.360001,29.389999,1834600,CMS
2013-05-06,29.389999,29.48,28.92,28.969999,2510700,CMS
2013-05-07,28.99,29.290001,28.959999,29.280001,2124000,CMS
2013-05-08,29.25,29.360001,28.9,28.98,1352300,CMS
2013-05-09,28.959999,29.08,28.27,28.370001,2118800,CMS
2013-05-10,28.360001,28.459999,28.139999,28.42,1565100,CMS
2013-05-13,28.33,28.459999,28.16,28.360001,1974000,CMS
2013-05-14,28.360001,28.629999,28.129999,28.610001,1646400,CMS
2013-05-15,28.6,29.24,28.530001,28.950001,1763700,CMS
2013-05-16,28.889999,28.92,28.59,28.66,1809300,CMS
2013-05-17,28.73,29.139999,28.700001,29.1,1724600,CMS
2013-05-20,29.1,29.18,28.889999,28.959999,1550600,CMS
2013-05-21,28.93,29.040001,28.559999,28.809999,2133300,CMS
2013-05-22,28.77,29.17,28.219999,28.33,2114500,CMS
2013-05-23,27.959999,28.190001,27.58,27.950001,2750100,CMS
2013-05-24,27.860001,27.91,27.42,27.530001,2122800,CMS
2013-05-28,27.690001,27.950001,27.34,27.52,2444000,CMS
2013-05-29,27.360001,27.389999,26.790001,27.09,2649100,CMS
2013-05-30,27.360001,27.690001,27.18,27.190001,1982200,CMS
2013-05-31,27.120001,27.5,26.950001,26.950001,2240000,CMS
2013-06-03,26.969999,27.200001,26.620001,26.98,3240400,CMS
2013-06-04,26.93,27.02,26.48,26.629999,3502000,CMS
2013-06-05,26.549999,26.58,26.290001,26.34,2361200,CMS
2013-06-06,26.370001,26.93,26.309999,26.93,2964900,CMS
2013-06-07,26.99,27.18,26.75,27.040001,1545900,CMS
2013-06-10,27.15,27.25,26.82,27.15,2309400,CMS
2013-06-11,26.91,27.129999,26.860001,26.959999,2194700,CMS
2013-06-12,27.120001,27.129999,26.52,26.52,2220100,CMS
2013-06-13,26.51,27.23,26.459999,27.200001,2666200,CMS
2013-06-14,27.190001,27.459999,27.16,27.4,2088800,CMS
2013-06-17,27.559999,27.709999,27.280001,27.4,2012200,CMS
2013-06-18,27.469999,27.6,27.280001,27.57,1734800,CMS
2013-06-19,27.530001,27.6,26.85,26.85,1584700,CMS
2013-06-20,26.690001,26.74,25.879999,25.950001,3000100,CMS
2013-06-21,26.1,26.48,25.76,26.4,2888000,CMS
2013-06-24,26.139999,26.76,25.809999,26.6,3354400,CMS
2013-06-25,26.74,27.110001,26.52,27.0,2415400,CMS
2013-06-26,27.190001,27.5,27.040001,27.43,1962200,CMS
2013-06-27,27.5,27.719999,27.450001,27.52,2085500,CMS
2013-06-28,26.43,27.459999,26.25,27.17,9299600,CMS
