Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,3.14,3.26,3.12,3.24,1419600,EBR
2013-01-03,3.28,3.4,3.28,3.36,1340400,EBR
2013-01-04,3.41,3.56,3.36,3.39,1794800,EBR
2013-01-07,3.41,3.46,3.33,3.34,2160500,EBR
2013-01-08,3.27,3.28,3.04,3.1,2141200,EBR
2013-01-09,3.17,3.22,3.14,3.22,725500,EBR
2013-01-10,3.26,3.26,3.18,3.2,416200,EBR
2013-01-11,3.18,3.22,3.13,3.21,1078200,EBR
2013-01-14,3.23,3.28,3.19,3.22,1040100,EBR
2013-01-15,3.16,3.32,3.16,3.31,1794000,EBR
2013-01-16,3.29,3.35,3.27,3.33,1292800,EBR
2013-01-17,3.36,3.52,3.35,3.42,2256900,EBR
2013-01-18,3.5,3.63,3.49,3.57,1213600,EBR
2013-01-22,3.95,3.99,3.86,3.93,2476900,EBR
2013-01-23,3.93,3.95,3.76,3.76,2311300,EBR
2013-01-24,3.73,3.74,3.53,3.59,1880000,EBR
2013-01-25,3.61,3.64,3.43,3.5,756200,EBR
2013-01-28,3.59,3.59,3.48,3.51,953600,EBR
2013-01-29,3.57,3.59,3.48,3.53,910000,EBR
2013-01-30,3.53,3.53,3.43,3.48,669600,EBR
2013-01-31,3.45,3.62,3.41,3.55,1616300,EBR
2013-02-01,3.61,3.65,3.53,3.58,1142200,EBR
2013-02-04,3.55,3.55,3.46,3.46,1046300,EBR
2013-02-05,3.51,3.54,3.45,3.47,787300,EBR
2013-02-06,3.47,3.56,3.37,3.5,1045400,EBR
2013-02-07,3.54,3.56,3.43,3.44,626700,EBR
2013-02-08,3.5,3.53,3.44,3.47,945000,EBR
2013-02-11,3.55,3.55,3.4,3.42,325000,EBR
2013-02-12,3.45,3.46,3.35,3.4,579800,EBR
2013-02-13,3.4,3.56,3.38,3.51,697400,EBR
2013-02-14,3.48,3.62,3.47,3.58,1062400,EBR
2013-02-15,3.54,3.56,3.4,3.4,741100,EBR
2013-02-19,3.43,3.44,3.35,3.37,680300,EBR
2013-02-20,3.37,3.39,3.22,3.23,1075200,EBR
2013-02-21,3.16,3.17,3.1,3.15,1044900,EBR
2013-02-22,3.14,3.15,3.07,3.07,997900,EBR
2013-02-25,3.1,3.19,3.09,3.15,1103900,EBR
2013-02-26,3.23,3.36,3.15,3.35,1336000,EBR
2013-02-27,3.37,3.46,3.35,3.37,1031500,EBR
2013-02-28,3.43,3.54,3.42,3.49,1716600,EBR
2013-03-01,3.37,3.44,3.34,3.38,1150900,EBR
2013-03-04,3.44,3.46,3.31,3.34,745200,EBR
2013-03-05,3.4,3.45,3.3,3.31,558700,EBR
2013-03-06,3.36,3.56,3.36,3.47,1619600,EBR
2013-03-07,3.68,3.8,3.65,3.78,1959900,EBR
2013-03-08,3.74,3.77,3.66,3.69,1092400,EBR
2013-03-11,3.69,3.7,3.63,3.66,553500,EBR
2013-03-12,3.73,3.79,3.7,3.74,940100,EBR
2013-03-13,3.75,3.76,3.62,3.64,888400,EBR
2013-03-14,3.68,3.69,3.45,3.47,1275100,EBR
2013-03-15,3.42,3.44,3.35,3.4,1586100,EBR
2013-03-18,3.32,3.38,3.31,3.35,689300,EBR
2013-03-19,3.37,3.43,3.31,3.36,858100,EBR
2013-03-20,3.33,3.34,3.22,3.26,1465100,EBR
2013-03-21,3.26,3.29,3.15,3.15,1032100,EBR
2013-03-22,3.17,3.23,3.15,3.17,453300,EBR
2013-03-25,3.18,3.21,3.14,3.17,476300,EBR
2013-03-26,3.2,3.29,3.13,3.15,1298200,EBR
2013-03-27,3.1,3.19,3.05,3.12,1014500,EBR
2013-03-28,3.25,3.52,3.25,3.42,2166600,EBR
2013-04-01,3.48,3.52,3.42,3.46,1205000,EBR
2013-04-02,3.48,3.48,3.31,3.32,824200,EBR
2013-04-03,3.3,3.34,3.18,3.19,1337300,EBR
2013-04-04,3.23,3.25,3.14,3.17,1542100,EBR
2013-04-05,3.18,3.3,3.16,3.19,2078900,EBR
2013-04-08,3.21,3.21,3.1,3.1,1798200,EBR
2013-04-09,3.17,3.19,3.1,3.15,3263300,EBR
2013-04-10,3.17,3.22,3.11,3.16,2897000,EBR
2013-04-11,3.15,3.16,3.04,3.1,1848600,EBR
2013-04-12,3.08,3.14,3.01,3.07,1357600,EBR
2013-04-15,2.97,2.98,2.79,2.8,1804200,EBR
2013-04-16,2.82,2.9,2.77,2.78,1015800,EBR
2013-04-17,2.75,2.78,2.62,2.62,2044300,EBR
2013-04-18,2.61,2.62,2.5,2.57,1479300,EBR
2013-04-19,2.58,2.61,2.55,2.61,655500,EBR
2013-04-22,2.61,2.68,2.54,2.67,657000,EBR
2013-04-23,2.7,2.71,2.66,2.68,770700,EBR
2013-04-24,2.68,2.73,2.63,2.71,1880800,EBR
2013-04-25,2.69,2.76,2.64,2.69,1154300,EBR
2013-04-26,2.68,2.68,2.57,2.6,685900,EBR
2013-04-29,2.62,2.67,2.57,2.62,1630300,EBR
2013-04-30,2.61,2.69,2.6,2.69,1695300,EBR
2013-05-01,2.69,2.77,2.64,2.71,703000,EBR
2013-05-02,2.57,2.59,2.48,2.51,1225800,EBR
2013-05-03,2.54,2.58,2.48,2.49,919300,EBR
2013-05-06,2.48,2.49,2.38,2.41,1525700,EBR
2013-05-07,2.44,2.47,2.42,2.44,496300,EBR
2013-05-08,2.47,2.51,2.42,2.46,787900,EBR
2013-05-09,2.46,2.47,2.39,2.39,661100,EBR
2013-05-10,2.4,2.43,2.37,2.41,1084600,EBR
2013-05-13,2.41,2.41,2.37,2.38,567200,EBR
2013-05-14,2.37,2.39,2.28,2.29,1313500,EBR
2013-05-15,2.29,2.34,2.28,2.33,625300,EBR
2013-05-16,2.47,2.59,2.47,2.54,2197400,EBR
2013-05-17,2.65,2.76,2.51,2.54,1951600,EBR
2013-05-20,2.52,2.57,2.42,2.57,1528000,EBR
2013-05-21,2.59,2.75,2.56,2.71,2415800,EBR
2013-05-22,2.82,3.0,2.79,2.9,3521600,EBR
2013-05-23,2.94,3.05,2.87,2.95,2235700,EBR
2013-05-24,2.97,3.0,2.93,2.97,1674100,EBR
2013-05-28,3.05,3.06,2.99,3.02,1052400,EBR
2013-05-29,2.97,3.01,2.83,2.83,897500,EBR
2013-05-30,2.87,2.91,2.71,2.81,1046300,EBR
2013-05-31,2.74,2.75,2.55,2.58,3071900,EBR
2013-06-03,2.64,2.75,2.56,2.7,958500,EBR
2013-06-04,2.71,2.71,2.6,2.62,710000,EBR
2013-06-05,2.61,2.66,2.5,2.51,849600,EBR
2013-06-06,2.48,2.54,2.45,2.53,666100,EBR
2013-06-07,2.44,2.47,2.33,2.38,939900,EBR
2013-06-10,2.34,2.4,2.3,2.39,1143800,EBR
2013-06-11,2.25,2.35,2.23,2.29,952800,EBR
2013-06-12,2.31,2.33,2.15,2.23,1090500,EBR
2013-06-13,2.24,2.38,2.24,2.38,780600,EBR
2013-06-14,2.35,2.36,2.23,2.24,629700,EBR
2013-06-17,2.27,2.3,2.21,2.25,540500,EBR
2013-06-18,2.25,2.34,2.19,2.33,813400,EBR
2013-06-19,2.31,2.36,2.16,2.17,915400,EBR
2013-06-20,2.1,2.16,2.01,2.11,1926700,EBR
2013-06-21,2.07,2.1,2.02,2.02,2910200,EBR
2013-06-24,2.0,2.07,1.92,2.03,1121900,EBR
2013-06-25,2.07,2.09,2.03,2.07,443400,EBR
2013-06-26,2.12,2.15,2.07,2.12,738900,EBR
2013-06-27,2.11,2.17,2.1,2.13,1047800,EBR
2013-06-28,2.09,2.12,2.05,2.12,949600,EBR
2013-07-01,2.09,2.12,2.06,2.06,619900,EBR
2013-07-02,2.05,2.06,1.96,2.0,734500,EBR
2013-07-03,2.0,2.05,1.97,2.01,346500,EBR
2013-07-05,1.99,1.99,1.88,1.94,2115000,EBR
2013-07-08,1.94,1.98,1.94,1.95,470300,EBR
2013-07-09,2.01,2.05,1.98,1.99,316400,EBR
2013-07-10,1.97,2.01,1.95,1.99,657600,EBR
2013-07-11,2.05,2.1,1.99,2.1,803600,EBR
2013-07-12,2.08,2.13,2.04,2.13,680800,EBR
2013-07-15,2.12,2.22,2.11,2.21,1225800,EBR
2013-07-16,2.21,2.22,2.13,2.18,557200,EBR
2013-07-17,2.18,2.23,2.16,2.18,674500,EBR
2013-07-18,2.18,2.21,2.13,2.15,520000,EBR
2013-07-19,2.04,2.09,1.99,2.08,515300,EBR
2013-07-22,2.1,2.19,2.1,2.18,430500,EBR
2013-07-23,2.2,2.2,2.15,2.2,524900,EBR
2013-07-24,2.2,2.21,2.1,2.11,575600,EBR
2013-07-25,2.12,2.2,2.11,2.2,505200,EBR
2013-07-26,2.17,2.22,2.15,2.21,752300,EBR
2013-07-29,2.18,2.19,2.12,2.15,599200,EBR
2013-07-30,2.14,2.14,2.06,2.09,666400,EBR
2013-07-31,2.02,2.05,2.0,2.03,784600,EBR
2013-08-01,2.04,2.04,1.98,2.03,839500,EBR
2013-08-02,2.04,2.06,2.01,2.02,796900,EBR
2013-08-05,2.0,2.05,1.98,2.03,314800,EBR
2013-08-06,2.01,2.02,1.96,1.97,1062800,EBR
2013-08-07,1.94,1.98,1.91,1.92,1136100,EBR
2013-08-08,1.96,2.07,1.92,2.07,974500,EBR
2013-08-09,2.08,2.16,2.05,2.15,888600,EBR
2013-08-12,2.16,2.28,2.15,2.18,1077300,EBR
2013-08-13,2.18,2.19,2.14,2.17,1178200,EBR
2013-08-14,2.19,2.22,2.16,2.19,711800,EBR
2013-08-15,2.11,2.17,2.06,2.16,771200,EBR
2013-08-16,2.15,2.15,2.08,2.14,1580500,EBR
2013-08-19,2.13,2.15,2.06,2.06,1462700,EBR
2013-08-20,2.06,2.1,2.04,2.04,569100,EBR
2013-08-21,2.02,2.08,2.01,2.03,1271500,EBR
2013-08-22,2.05,2.09,2.03,2.08,633100,EBR
2013-08-23,2.09,2.17,2.07,2.17,329900,EBR
2013-08-26,2.15,2.16,2.07,2.08,1968200,EBR
2013-08-27,2.05,2.1,2.04,2.1,1685800,EBR
2013-08-28,2.09,2.16,2.08,2.12,2158200,EBR
2013-08-29,2.12,2.17,2.1,2.14,806100,EBR
2013-08-30,2.16,2.16,2.08,2.12,3350100,EBR
2013-09-03,2.2,2.28,2.2,2.26,1750400,EBR
2013-09-04,2.26,2.28,2.22,2.27,622600,EBR
2013-09-05,2.3,2.36,2.27,2.36,648800,EBR
2013-09-06,2.37,2.47,2.36,2.45,1757900,EBR
2013-09-09,2.5,2.72,2.46,2.68,2446700,EBR
2013-09-10,2.72,2.75,2.63,2.7,1823000,EBR
2013-09-11,2.69,2.71,2.6,2.71,1211000,EBR
2013-09-12,2.66,2.7,2.62,2.67,1108000,EBR
2013-09-13,2.65,2.7,2.62,2.69,762800,EBR
2013-09-16,2.73,2.74,2.62,2.64,1244600,EBR
2013-09-17,2.67,2.73,2.67,2.73,975900,EBR
2013-09-18,2.72,2.9,2.68,2.89,1995300,EBR
2013-09-19,2.86,2.89,2.76,2.84,1699600,EBR
2013-09-20,2.83,2.85,2.72,2.79,1162900,EBR
2013-09-23,2.77,2.82,2.75,2.81,959600,EBR
2013-09-24,2.78,2.81,2.76,2.79,1371800,EBR
2013-09-25,2.75,2.77,2.71,2.75,974800,EBR
2013-09-26,2.75,2.81,2.72,2.74,515800,EBR
2013-09-27,2.73,2.75,2.71,2.71,686700,EBR
2013-09-30,2.74,2.82,2.72,2.81,1774100,EBR
