Date,Open,High,Low,Close,Volume,Symbol
2013-01-02,17.497499,17.6425,17.452499,17.629999,8953200,NEE
2013-01-03,17.65,17.7075,17.5825,17.6325,4909200,NEE
2013-01-04,17.66,17.737499,17.612499,17.719999,3739200,NEE
2013-01-07,17.7125,17.735001,17.594999,17.637501,5578400,NEE
2013-01-08,17.645,17.825001,17.5975,17.825001,7972400,NEE
2013-01-09,17.827499,17.827499,17.6325,17.700001,5231600,NEE
2013-01-10,17.764999,17.877501,17.690001,17.872499,5876400,NEE
2013-01-11,17.952499,17.969999,17.855,17.945,6177600,NEE
2013-01-14,17.895,17.987499,17.875,17.922501,5605200,NEE
2013-01-15,17.885,17.9825,17.855,17.969999,3957600,NEE
2013-01-16,17.91,17.9625,17.807501,17.827499,5654400,NEE
2013-01-17,17.74,17.8475,17.655001,17.77,5892400,NEE
2013-01-18,17.825001,17.907499,17.7925,17.887501,7058000,NEE
2013-01-22,17.870001,18.01,17.8675,17.995001,8861600,NEE
2013-01-23,17.9,17.959999,17.8375,17.9475,7762800,NEE
2013-01-24,17.959999,18.0875,17.93,18.025,4448400,NEE
2013-01-25,18.1075,18.129999,17.9175,18.125,4953200,NEE
2013-01-28,18.2125,18.2125,17.975,18.1,6053200,NEE
2013-01-29,18.1325,18.217501,18.035,18.1525,7754000,NEE
2013-01-30,18.135,18.139999,18.0,18.0,8636400,NEE
2013-01-31,18.0,18.055,17.93,18.012501,8068400,NEE
2013-02-01,18.112499,18.1775,18.065001,18.07,6379600,NEE
2013-02-04,18.0425,18.0975,17.98,17.997499,5545200,NEE
2013-02-05,18.075001,18.115,18.014999,18.040001,5838000,NEE
2013-02-06,18.0,18.002501,17.907499,18.002501,9534000,NEE
2013-02-07,18.057501,18.157499,17.9575,18.0625,9359600,NEE
2013-02-08,18.065001,18.0725,17.98,18.025,4228000,NEE
2013-02-11,18.002501,18.055,17.995001,18.045,4388400,NEE
2013-02-12,18.032499,18.139999,18.0075,18.122499,7118800,NEE
2013-02-13,18.145,18.23,18.105,18.137501,6005600,NEE
2013-02-14,18.084999,18.16,17.959999,18.049999,7118000,NEE
2013-02-15,18.094999,18.15,18.057501,18.125,9880400,NEE
2013-02-19,18.172501,18.26,18.137501,18.225,10432800,NEE
2013-02-20,18.225,18.352501,18.209999,18.235001,23429200,NEE
2013-02-21,18.26,18.27,18.129999,18.1325,5299600,NEE
2013-02-22,18.15,18.26,18.15,18.1875,23989600,NEE
2013-02-25,18.2125,18.375,18.047501,18.047501,27490000,NEE
